Node	X	Y	tel	GEOID
1	-97.861763	30.550045	0.145358306	48491020338
2	-97.873341	30.595955	0.187933426	48491020342
3	-97.842574	30.537706	0.063426689	48491020325
4	-97.967226	30.531993	0.082728592	48453036300
5	-97.901257	30.49655	0.196470588	48453037500
6	-97.882086	30.460701	0.291030534	48453035600
7	-97.827879	30.498174	0.106106106	48491020336
8	-98.083907	30.434403	0.311357702	48453035200
9	-98.053644	30.488843	0.185840708	48453036400
10	-97.968645	30.405429	0.257126236	48453037600
11	-98.056627	30.367501	0.26626506	48453035300
12	-97.941993	30.421566	0.360814249	48453031400
13	-97.888347	30.416288	0.242374728	48453035800
14	-97.839977	30.449261	0.242374728	48453035800
15	-97.83899	30.398674	0.163159984	48453034600
16	-98.076591	30.33372	0.389807163	48453036500
17	-97.972406	30.320471	0.2858661	48453037000
18	-98.009337	30.349621	0.355724546	48453035400
19	-97.984566	30.367501	0.325088339	48453033100
20	-97.926677	30.382464	0.231811895	48453031500
21	-97.937276	30.351176	0.231811895	48453031500
22	-97.86814	30.373525	0.298729322	48453035000
23	-97.834683	30.374974	0.262764933	48453032900
24	-97.845706	30.351794	0.262764933	48453032900
25	-97.974997	30.221922	0.303532278	48453036600
26	-97.964299	30.292875	0.303532278	48453036600
27	-97.939978	30.32358	0.243938066	48453034000
28	-97.905759	30.343668	0.32345915	48453035100
29	-97.89921	30.321831	0.243938066	48453034000
30	-97.705243	30.653697	0.185393258	48491020121
31	-97.869942	30.344763	0.228007181	48453033900
32	-97.858595	30.332143	0.228007181	48453033900
33	-97.841425	30.318718	0.278715297	48453001912
34	-97.832125	30.30131	0.278715297	48453001912
35	-97.919182	30.304379	0.260150376	48453001916
36	-97.888816	30.298805	0.260150376	48453001916
37	-97.921387	30.352597	0.231811895	48453031500
38	-97.871556	30.308173	0.260150376	48453001916
39	-97.779089	30.351189	0.310016788	48453030700
40	-97.744053	30.384802	0.282141071	48453030100
41	-97.833651	30.288711	0.305203938	48453001917
42	-97.902792	30.286234	0.222291407	48453001921
43	-98.013199	30.272366	0.303532278	48453036600
44	-97.879621	30.286428	0.222291407	48453001921
45	-97.899068	30.267169	0.170097198	48453001920
46	-97.86426	30.287223	0.222291407	48453001921
47	-97.665825	30.513457	0.128732581	48491020701
48	-97.703502	30.308846	0.146453089	48453002105
49	-97.843688	30.286457	0.305203938	48453001917
50	-97.836009	30.279555	0.305203938	48453001917
51	-97.932402	30.205053	0.288273616	48453031100
52	-97.873192	30.273341	0.222291407	48453001921
53	-97.909655	30.196482	0.294225722	48453036700
54	-97.901713	30.172804	0.307310149	48453033300
55	-97.851746	30.260857	0.244360902	48453001914
56	-97.829376	30.259205	0.244360902	48453001914
57	-97.825581	30.247459	0.244360902	48453001914
58	-97.819398	30.235346	0.267729522	48453001915
59	-97.895281	30.25396	0.170097198	48453001920
60	-97.879541	30.24144	0.170097198	48453001920
61	-97.872037	30.246756	0.170097198	48453001920
62	-97.858211	30.245081	0.267729522	48453001915
63	-97.852166	30.240247	0.267729522	48453001915
64	-97.928478	30.267416	0.303532278	48453036600
65	-97.93101	30.237106	0.303532278	48453036600
66	-97.915824	30.244016	0.197619048	48453033000
67	-97.909155	30.249879	0.197619048	48453033000
68	-97.892018	30.238308	0.197619048	48453033000
69	-97.985156	30.244942	0.303532278	48453036600
70	-97.943499	30.250014	0.303532278	48453036600
71	-97.954558	30.209143	0.288273616	48453031100
72	-97.947086	30.21593	0.288273616	48453031100
73	-97.905353	30.221875	0.288273616	48453031100
74	-97.884729	30.210384	0.283476315	48453034800
75	-97.883969	30.222138	0.355263158	48453034700
76	-97.928999	30.22221	0.288273616	48453031100
77	-97.858915	30.230631	0.195698925	48453032000
78	-97.850001	30.229226	0.195698925	48453032000
79	-97.839501	30.232836	0.195698925	48453032000
80	-97.835974	30.224841	0.195698925	48453032000
81	-97.862221	30.225853	0.216	48453031200
82	-97.865677	30.217987	0.216	48453031200
83	-97.849136	30.220626	0.216	48453031200
84	-97.858294	30.214768	0.216	48453031200
85	-97.836175	30.214574	0.094972067	48453033400
86	-97.845563	30.206238	0.166054787	48453033500
87	-97.773059	30.39592	0.292278719	48453032600
88	-97.872225	30.20472	0.283476315	48453034800
89	-97.858353	30.188692	0.221513605	48453031300
90	-97.937337	30.194893	0.288273616	48453031100
91	-97.920445	30.209985	0.288273616	48453031100
92	-97.895714	30.191616	0.294225722	48453036700
93	-97.914187	30.179056	0.307310149	48453033300
94	-97.890011	30.183883	0.304561059	48453036800
95	-97.809077	30.342242	0.278715297	48453001912
96	-97.868659	30.166515	0.307310149	48453033300
97	-97.866404	30.152804	0.307310149	48453033300
98	-97.829257	30.204417	0.159390159	48453031000
99	-97.841393	30.188004	0.2050673	48453031700
100	-97.842194	30.17107	0.198770492	48453031900
101	-97.854535	30.164297	0.346286701	48453037100
102	-97.842915	30.133666	0.15828877	48453033200
103	-97.832171	30.599148	0.1335578	48491020340
104	-97.799189	30.579994	0.248759745	48491020339
105	-97.756155	30.589421	0.192586093	48491020604
106	-97.692748	30.614041	0.192586093	48491020604
107	-97.663039	30.627603	0.144616266	48491021405
108	-97.671384	30.575265	0.153166001	48491021510
109	-97.644672	30.569989	0.392491468	48491021516
110	-97.803089	30.522036	0.159012346	48491020350
111	-97.768768	30.518674	0.400912316	48491020345
112	-97.737027	30.527329	0.211868132	48491020310
113	-97.739952	30.542739	0.294736842	48491020606
114	-97.693987	30.540723	0.289048991	48491020607
115	-97.683218	30.544608	0.054894785	48491021513
116	-97.664092	30.550837	0.240562546	48491021515
117	-97.811989	30.480535	0.096988259	48491020356
118	-97.806242	30.471692	0.15024954	48491020334
119	-97.793977	30.500992	0.292716266	48491020311
120	-97.758083	30.483751	0.183542161	48491020508
121	-97.733466	30.506262	0.080709534	48491020515
122	-97.710151	30.516396	0.21071953	48491020505
123	-97.699474	30.526432	0.114091424	48491020602
124	-97.693185	30.529538	0.114091424	48491020602
125	-97.677935	30.530948	0.103501946	48491021502
126	-97.657977	30.537547	0.177862273	48491021518
127	-97.628339	30.537873	0.095391211	48491021511
128	-97.687699	30.525447	0.094202899	48491021503
129	-97.674702	30.522907	0.094202899	48491021503
130	-97.660354	30.527937	0.022875817	48491021517
131	-97.684306	30.514658	0.094202899	48491021503
132	-97.675414	30.517125	0.094202899	48491021503
133	-97.609093	30.468471	0.187793427	48453046100
134	-97.649805	30.51606	0.095391211	48491021511
135	-97.690696	30.520364	0.114091424	48491020602
136	-97.681971	30.510451	0.128732581	48491020701
137	-97.675429	30.512392	0.128732581	48491020701
138	-97.659832	30.516269	0.128732581	48491020701
139	-97.748408	30.477235	0.244833068	48491020503
140	-97.699917	30.499365	0.244833068	48491020503
141	-97.681264	30.506831	0.128732581	48491020701
142	-97.687935	30.489825	0.048154093	48491020512
143	-97.678514	30.500887	0.128732581	48491020701
144	-97.668835	30.503811	0.05898643	48491020704
145	-97.648706	30.505463	0.150190921	48491020712
146	-97.621085	30.512273	0.308744504	48491020706
147	-97.698393	30.481309	0.139949109	48491020513
148	-97.683939	30.482178	0.048154093	48491020512
149	-97.669035	30.488674	0.119490358	48491020709
150	-97.631009	30.492029	0.062654169	48491020713
151	-97.816014	30.454371	0.143419327	48491020404
152	-97.804425	30.460688	0.171779141	48491020403
153	-97.786828	30.463568	0.166608208	48491020408
154	-97.769391	30.469152	0.225965085	48491020409
155	-97.734708	30.465101	0.198752711	48491020411
156	-97.703262	30.473658	0.139949109	48491020513
157	-97.68639	30.460659	0.146148556	48453045600
158	-97.671883	30.453786	0.199143469	48453045700
159	-97.654187	30.467254	0.133220911	48453046400
160	-97.635163	30.460126	0.22622108	48453042700
161	-97.799555	30.452107	0.100977995	48491020405
162	-97.78093	30.443651	0.109159627	48491020406
163	-97.785175	30.45527	0.166608208	48491020408
164	-97.771871	30.458188	0.225965085	48491020409
165	-97.776564	30.449527	0.109159627	48491020406
166	-97.763846	30.452449	0.294991264	48491020410
167	-97.704426	30.453141	0.175988428	48453043000
168	-97.76236	30.446519	0.294991264	48491020410
169	-97.755978	30.442063	0.198752711	48491020411
170	-97.731102	30.442247	0.193216569	48453034100
171	-97.712671	30.43446	0.248135593	48453042000
172	-97.681327	30.444289	0.181122449	48453042300
173	-97.679807	30.431584	0.08311229	48453042900
174	-97.654831	30.43806	0.084551148	48453044100
175	-97.632319	30.429712	0.110732538	48453044400
176	-97.613692	30.446884	0.061290323	48453046300
177	-97.756928	30.412276	0.207843137	48453002500
178	-97.825646	30.440343	0.185261424	48453034300
179	-97.812579	30.433092	0.185261424	48453034300
180	-97.80419	30.426198	0.185261424	48453034300
181	-97.792283	30.440545	0.444096951	48453033700
182	-97.790268	30.430965	0.213202498	48453033800
183	-97.745077	30.432578	0.140939597	48453034200
184	-97.836201	30.419188	0.163159984	48453034600
185	-97.806945	30.409079	0.24010163	48453030500
186	-97.785683	30.418049	0.292278719	48453032600
187	-97.782925	30.44012	0.100977995	48491020405
188	-97.772391	30.427536	0.141268534	48453032700
189	-97.776502	30.416096	0.292278719	48453032600
190	-97.757609	30.421041	0.207843137	48453002500
191	-97.734935	30.422727	0.259927798	48453031600
192	-97.724833	30.421209	0.21460374	48453041300
193	-97.687169	30.419626	0.289855072	48453045200
194	-97.628126	30.474927	0.160555435	48453046200
195	-97.774264	30.402543	0.292278719	48453032600
