Tail,Tail_x,Tail_y,Tail_geoid,Head,Head_x,Head_y,Head_geoid,Flow,Cost
719,-97.942473,29.884042,48209010100,1259,-97.942571,29.884912,48209010100,20.412759,0.240000
1259,-97.942571,29.884912,48209010100,719,-97.942473,29.884042,48209010100,1.086853,0.240000
909,-97.940672,29.884244,48209010100,1260,-97.940536,29.88521,48209010100,7.527915,0.280000
1260,-97.940536,29.88521,48209010100,909,-97.940672,29.884244,48209010100,41.289419,0.280000
705,-97.945474,29.88051,48209010100,1528,-97.943378,29.881903,48209010100,182.233754,0.640000
1528,-97.943378,29.881903,48209010100,705,-97.945474,29.88051,48209010100,364.818897,0.640000
719,-97.942473,29.884042,48209010100,1278,-97.94376,29.883846,48209010100,8.630106,0.320000
1278,-97.94376,29.883846,48209010100,719,-97.942473,29.884042,48209010100,15.250932,0.320000
705,-97.945474,29.88051,48209010100,1577,-97.94591,29.878314,48209010100,76.691149,0.600000
1577,-97.94591,29.878314,48209010100,705,-97.945474,29.88051,48209010100,88.503330,0.600000
705,-97.945474,29.88051,48209010100,1581,-97.947202,29.880625,48209010100,192.438045,0.400000
1581,-97.947202,29.880625,48209010100,705,-97.945474,29.88051,48209010100,308.797915,0.400000
910,-97.939316,29.875972,48209010500,1632,-97.93981,29.875412,48209010500,113.998748,0.200000
1632,-97.93981,29.875412,48209010500,910,-97.939316,29.875972,48209010500,403.752571,0.200000
704,-97.942358,29.881756,48209010100,1655,-97.942005,29.879804,48209010500,34.382668,0.560000
1655,-97.942005,29.879804,48209010500,704,-97.942358,29.881756,48209010100,49.042885,0.560000
908,-97.94009,29.881982,48209010100,1652,-97.939989,29.88011,48209010500,0.000000,0.520000
1652,-97.939989,29.88011,48209010500,908,-97.94009,29.881982,48209010100,0.000000,0.520000
704,-97.942358,29.881756,48209010100,1664,-97.942749,29.88265,48209010100,60.327362,0.280000
1664,-97.942749,29.88265,48209010100,704,-97.942358,29.881756,48209010100,57.344527,0.280000
704,-97.942358,29.881756,48209010100,1665,-97.941092,29.882348,48209010100,0.086096,0.360000
1665,-97.941092,29.882348,48209010100,704,-97.942358,29.881756,48209010100,102.582205,0.360000
719,-97.942473,29.884042,48209010100,1280,-97.941438,29.884391,48209010100,89.432770,0.280000
1280,-97.941438,29.884391,48209010100,719,-97.942473,29.884042,48209010100,35.450130,0.280000
704,-97.942358,29.881756,48209010100,1654,-97.943323,29.88144,48209010100,3.232552,0.240000
1654,-97.943323,29.88144,48209010100,704,-97.942358,29.881756,48209010100,3.234682,0.240000
719,-97.942473,29.884042,48209010100,1667,-97.942407,29.882698,48209010100,20.484018,0.360000
1667,-97.942407,29.882698,48209010100,719,-97.942473,29.884042,48209010100,141.149679,0.360000
908,-97.94009,29.881982,48209010100,1656,-97.941035,29.882041,48209010100,24.755084,0.240000
1656,-97.941035,29.882041,48209010100,908,-97.94009,29.881982,48209010100,49.076700,0.240000
909,-97.940672,29.884244,48209010100,1668,-97.940445,29.882965,48209010100,17.290078,0.360000
1668,-97.940445,29.882965,48209010100,909,-97.940672,29.884244,48209010100,40.050081,0.360000
909,-97.940672,29.884244,48209010100,1280,-97.941438,29.884391,48209010100,50.629748,0.200000
1280,-97.941438,29.884391,48209010100,909,-97.940672,29.884244,48209010100,10.890355,0.200000
913,-97.941105,29.88739,48209010200,1902,-97.941802,29.886562,48209010200,67.359219,0.280000
1902,-97.941802,29.886562,48209010200,913,-97.941105,29.88739,48209010200,0.000000,0.280000
913,-97.941105,29.88739,48209010200,1905,-97.940314,29.886604,48209010200,4.347433,0.280000
1905,-97.940314,29.886604,48209010200,913,-97.941105,29.88739,48209010200,65.957848,0.280000
913,-97.941105,29.88739,48209010200,1906,-97.941299,29.888282,48209010200,14.126014,0.240000
1906,-97.941299,29.888282,48209010200,913,-97.941105,29.88739,48209010200,20.501746,0.240000
702,-97.939213,29.887069,48209010200,1896,-97.93914,29.885398,48209010100,1412.218474,0.480000
1896,-97.93914,29.885398,48209010100,702,-97.939213,29.887069,48209010200,2241.210206,0.480000
702,-97.939213,29.887069,48209010200,1897,-97.939234,29.88764,48209010200,1.086858,0.160000
1897,-97.939234,29.88764,48209010200,702,-97.939213,29.887069,48209010200,5.434291,0.160000
376,-97.738873,30.27864,48453000700,2780,-97.739643,30.276807,48453000700,1288.714761,0.520000
2780,-97.739643,30.276807,48453000700,376,-97.738873,30.27864,48453000700,1803.015772,0.520000
405,-97.74621,30.265461,48453001102,3048,-97.746952,30.265967,48453001102,223.531356,0.240000
3048,-97.746952,30.265967,48453001102,405,-97.74621,30.265461,48453001102,465.171452,0.240000
849,-97.748407,30.269483,48453001102,3023,-97.747413,30.268103,48453001102,178.008814,0.440000
3023,-97.747413,30.268103,48453001102,849,-97.748407,30.269483,48453001102,548.471482,0.440000
849,-97.748407,30.269483,48453001102,3172,-97.749152,30.269871,48453001101,227.294119,0.200000
3172,-97.749152,30.269871,48453001101,849,-97.748407,30.269483,48453001102,780.489555,0.200000
849,-97.748407,30.269483,48453001102,3050,-97.746957,30.270073,48453001101,294.989532,0.400000
3050,-97.746957,30.270073,48453001101,849,-97.748407,30.269483,48453001102,0.000000,0.400000
379,-97.740184,30.270625,48453001101,3303,-97.738686,30.270825,48453001101,865.031871,0.360000
3303,-97.738686,30.270825,48453001101,379,-97.740184,30.270625,48453001101,2059.860975,0.360000
379,-97.740184,30.270625,48453001101,3304,-97.740772,30.268341,48453001101,524.134903,0.640000
3304,-97.740772,30.268341,48453001101,379,-97.740184,30.270625,48453001101,2276.669000,0.640000
377,-97.740269,30.274993,48453000700,3309,-97.73713,30.275019,48453000700,417.866328,0.760000
3309,-97.73713,30.275019,48453000700,377,-97.740269,30.274993,48453000700,1495.010603,0.760000
382,-97.738381,30.266557,48453001103,3311,-97.740092,30.267027,48453001103,248.225220,0.440000
3311,-97.740092,30.267027,48453001103,382,-97.738381,30.266557,48453001103,10.173183,0.440000
405,-97.74621,30.265461,48453001102,3046,-97.746417,30.26374,48453001102,190.238137,0.480000
3046,-97.746417,30.26374,48453001102,405,-97.74621,30.265461,48453001102,683.251559,0.480000
405,-97.74621,30.265461,48453001102,3324,-97.743505,30.265003,48453001103,23.000130,0.640000
3324,-97.743505,30.265003,48453001103,405,-97.74621,30.265461,48453001102,17.521769,0.640000
380,-97.744601,30.268129,48453001102,3327,-97.74247,30.267767,48453001103,49.982695,0.520000
3327,-97.74247,30.267767,48453001103,380,-97.744601,30.268129,48453001102,130.195856,0.520000
406,-97.742416,30.264483,48453001103,3328,-97.742929,30.26276,48453001103,0.000000,0.480000
3328,-97.742929,30.26276,48453001103,406,-97.742416,30.264483,48453001103,1.280403,0.480000
406,-97.742416,30.264483,48453001103,3329,-97.74156,30.26646,48453001103,134.805910,0.600000
3329,-97.74156,30.26646,48453001103,406,-97.742416,30.264483,48453001103,34.242409,0.600000
406,-97.742416,30.264483,48453001103,3324,-97.743505,30.265003,48453001103,393.130213,0.280000
3324,-97.743505,30.265003,48453001103,406,-97.742416,30.264483,48453001103,1228.774225,0.280000
405,-97.74621,30.265461,48453001102,3335,-97.745092,30.267456,48453001102,421.205145,0.600000
3335,-97.745092,30.267456,48453001102,405,-97.74621,30.265461,48453001102,462.963858,0.600000
380,-97.744601,30.268129,48453001102,3053,-97.745963,30.26867,48453001102,761.197057,0.360000
3053,-97.745963,30.26867,48453001102,380,-97.744601,30.268129,48453001102,1301.745454,0.360000
380,-97.744601,30.268129,48453001102,3325,-97.744177,30.267205,48453001102,444.742710,0.280000
3325,-97.744177,30.267205,48453001102,380,-97.744601,30.268129,48453001102,1288.019200,0.280000
380,-97.744601,30.268129,48453001102,3297,-97.74345,30.269081,48453001101,469.220780,0.400000
3297,-97.74345,30.269081,48453001101,380,-97.744601,30.268129,48453001102,992.623542,0.400000
406,-97.742416,30.264483,48453001103,3331,-97.741224,30.264046,48453001103,573.109137,0.320000
3331,-97.741224,30.264046,48453001103,406,-97.742416,30.264483,48453001103,1676.985410,0.320000
381,-97.741182,30.267364,48453001103,3327,-97.74247,30.267767,48453001103,203.307790,0.320000
3327,-97.74247,30.267767,48453001103,381,-97.741182,30.267364,48453001103,274.697712,0.320000
381,-97.741182,30.267364,48453001103,3304,-97.740772,30.268341,48453001101,607.417488,0.280000
