Tail,Tail_x,Tail_y,Tail_geoid,Head,Head_x,Head_y,Head_geoid,Flow,Cost
719,-97.942473,29.884042,48209010100,1259,-97.942571,29.884912,48209010100,22.054821,0.240000
1259,-97.942571,29.884912,48209010100,719,-97.942473,29.884042,48209010100,1.086857,0.240000
909,-97.940672,29.884244,48209010100,1260,-97.940536,29.88521,48209010100,7.527917,0.280000
1260,-97.940536,29.88521,48209010100,909,-97.940672,29.884244,48209010100,41.281701,0.280000
705,-97.945474,29.88051,48209010100,1528,-97.943378,29.881903,48209010100,180.399650,0.640000
1528,-97.943378,29.881903,48209010100,705,-97.945474,29.88051,48209010100,376.199698,0.640000
719,-97.942473,29.884042,48209010100,1278,-97.94376,29.883846,48209010100,8.630683,0.320000
1278,-97.94376,29.883846,48209010100,719,-97.942473,29.884042,48209010100,11.212970,0.320000
705,-97.945474,29.88051,48209010100,1577,-97.94591,29.878314,48209010100,73.215050,0.600000
1577,-97.94591,29.878314,48209010100,705,-97.945474,29.88051,48209010100,89.380260,0.600000
705,-97.945474,29.88051,48209010100,1581,-97.947202,29.880625,48209010100,183.063755,0.400000
1581,-97.947202,29.880625,48209010100,705,-97.945474,29.88051,48209010100,318.208985,0.400000
910,-97.939316,29.875972,48209010500,1632,-97.93981,29.875412,48209010500,132.281201,0.200000
1632,-97.93981,29.875412,48209010500,910,-97.939316,29.875972,48209010500,350.247633,0.200000
704,-97.942358,29.881756,48209010100,1655,-97.942005,29.879804,48209010500,32.537444,0.560000
1655,-97.942005,29.879804,48209010500,704,-97.942358,29.881756,48209010100,50.164961,0.560000
908,-97.94009,29.881982,48209010100,1652,-97.939989,29.88011,48209010500,0.000000,0.520000
1652,-97.939989,29.88011,48209010500,908,-97.94009,29.881982,48209010100,0.000000,0.520000
704,-97.942358,29.881756,48209010100,1664,-97.942749,29.88265,48209010100,59.756580,0.280000
1664,-97.942749,29.88265,48209010100,704,-97.942358,29.881756,48209010100,60.163218,0.280000
704,-97.942358,29.881756,48209010100,1665,-97.941092,29.882348,48209010100,0.000000,0.360000
1665,-97.941092,29.882348,48209010100,704,-97.942358,29.881756,48209010100,103.269496,0.360000
719,-97.942473,29.884042,48209010100,1280,-97.941438,29.884391,48209010100,83.883736,0.280000
1280,-97.941438,29.884391,48209010100,719,-97.942473,29.884042,48209010100,32.287891,0.280000
704,-97.942358,29.881756,48209010100,1654,-97.943323,29.88144,48209010100,3.232552,0.240000
1654,-97.943323,29.88144,48209010100,704,-97.942358,29.881756,48209010100,3.232552,0.240000
719,-97.942473,29.884042,48209010100,1667,-97.942407,29.882698,48209010100,19.603449,0.360000
1667,-97.942407,29.882698,48209010100,719,-97.942473,29.884042,48209010100,151.217691,0.360000
908,-97.94009,29.881982,48209010100,1656,-97.941035,29.882041,48209010100,23.266202,0.240000
1656,-97.941035,29.882041,48209010100,908,-97.94009,29.881982,48209010100,50.156037,0.240000
909,-97.940672,29.884244,48209010100,1668,-97.940445,29.882965,48209010100,17.269316,0.360000
1668,-97.940445,29.882965,48209010100,909,-97.940672,29.884244,48209010100,41.387863,0.360000
909,-97.940672,29.884244,48209010100,1280,-97.941438,29.884391,48209010100,48.053236,0.200000
1280,-97.941438,29.884391,48209010100,909,-97.940672,29.884244,48209010100,10.887875,0.200000
913,-97.941105,29.88739,48209010200,1902,-97.941802,29.886562,48209010200,65.085962,0.280000
1902,-97.941802,29.886562,48209010200,913,-97.941105,29.88739,48209010200,0.000000,0.280000
913,-97.941105,29.88739,48209010200,1905,-97.940314,29.886604,48209010200,4.347433,0.280000
1905,-97.940314,29.886604,48209010200,913,-97.941105,29.88739,48209010200,66.469673,0.280000
913,-97.941105,29.88739,48209010200,1906,-97.941299,29.888282,48209010200,13.968420,0.240000
1906,-97.941299,29.888282,48209010200,913,-97.941105,29.88739,48209010200,21.438218,0.240000
702,-97.939213,29.887069,48209010200,1896,-97.93914,29.885398,48209010100,1360.734092,0.480000
1896,-97.93914,29.885398,48209010100,702,-97.939213,29.887069,48209010200,2324.581597,0.480000
702,-97.939213,29.887069,48209010200,1897,-97.939234,29.88764,48209010200,1.086858,0.160000
1897,-97.939234,29.88764,48209010200,702,-97.939213,29.887069,48209010200,5.434291,0.160000
376,-97.738873,30.27864,48453000700,2780,-97.739643,30.276807,48453000700,1086.668309,0.520000
2780,-97.739643,30.276807,48453000700,376,-97.738873,30.27864,48453000700,2067.887375,0.520000
405,-97.74621,30.265461,48453001102,3048,-97.746952,30.265967,48453001102,300.511385,0.240000
3048,-97.746952,30.265967,48453001102,405,-97.74621,30.265461,48453001102,424.654134,0.240000
849,-97.748407,30.269483,48453001102,3023,-97.747413,30.268103,48453001102,132.676924,0.440000
3023,-97.747413,30.268103,48453001102,849,-97.748407,30.269483,48453001102,330.054390,0.440000
849,-97.748407,30.269483,48453001102,3172,-97.749152,30.269871,48453001101,170.491442,0.200000
3172,-97.749152,30.269871,48453001101,849,-97.748407,30.269483,48453001102,798.208738,0.200000
849,-97.748407,30.269483,48453001102,3050,-97.746957,30.270073,48453001101,212.011411,0.400000
3050,-97.746957,30.270073,48453001101,849,-97.748407,30.269483,48453001102,0.000000,0.400000
379,-97.740184,30.270625,48453001101,3303,-97.738686,30.270825,48453001101,604.938533,0.360000
3303,-97.738686,30.270825,48453001101,379,-97.740184,30.270625,48453001101,1819.008660,0.360000
379,-97.740184,30.270625,48453001101,3304,-97.740772,30.268341,48453001101,321.634095,0.640000
3304,-97.740772,30.268341,48453001101,379,-97.740184,30.270625,48453001101,1941.815295,0.640000
377,-97.740269,30.274993,48453000700,3309,-97.73713,30.275019,48453000700,336.062704,0.760000
3309,-97.73713,30.275019,48453000700,377,-97.740269,30.274993,48453000700,1297.980224,0.760000
382,-97.738381,30.266557,48453001103,3311,-97.740092,30.267027,48453001103,197.612948,0.440000
3311,-97.740092,30.267027,48453001103,382,-97.738381,30.266557,48453001103,8.000000,0.440000
405,-97.74621,30.265461,48453001102,3046,-97.746417,30.26374,48453001102,143.426297,0.480000
3046,-97.746417,30.26374,48453001102,405,-97.74621,30.265461,48453001102,558.260722,0.480000
405,-97.74621,30.265461,48453001102,3324,-97.743505,30.265003,48453001103,14.214870,0.640000
3324,-97.743505,30.265003,48453001103,405,-97.74621,30.265461,48453001102,13.783922,0.640000
380,-97.744601,30.268129,48453001102,3327,-97.74247,30.267767,48453001103,34.067293,0.520000
3327,-97.74247,30.267767,48453001103,380,-97.744601,30.268129,48453001102,40.029206,0.520000
406,-97.742416,30.264483,48453001103,3328,-97.742929,30.26276,48453001103,0.000000,0.480000
3328,-97.742929,30.26276,48453001103,406,-97.742416,30.264483,48453001103,0.903208,0.480000
406,-97.742416,30.264483,48453001103,3329,-97.74156,30.26646,48453001103,58.327013,0.600000
3329,-97.74156,30.26646,48453001103,406,-97.742416,30.264483,48453001103,26.000000,0.600000
406,-97.742416,30.264483,48453001103,3324,-97.743505,30.265003,48453001103,367.444566,0.280000
3324,-97.743505,30.265003,48453001103,406,-97.742416,30.264483,48453001103,1074.506250,0.280000
405,-97.74621,30.265461,48453001102,3335,-97.745092,30.267456,48453001102,167.862575,0.600000
3335,-97.745092,30.267456,48453001102,405,-97.74621,30.265461,48453001102,391.029390,0.600000
380,-97.744601,30.268129,48453001102,3053,-97.745963,30.26867,48453001102,510.709337,0.360000
3053,-97.745963,30.26867,48453001102,380,-97.744601,30.268129,48453001102,1355.419818,0.360000
380,-97.744601,30.268129,48453001102,3325,-97.744177,30.267205,48453001102,334.080235,0.280000
3325,-97.744177,30.267205,48453001102,380,-97.744601,30.268129,48453001102,913.420833,0.280000
380,-97.744601,30.268129,48453001102,3297,-97.74345,30.269081,48453001101,387.030672,0.400000
3297,-97.74345,30.269081,48453001101,380,-97.744601,30.268129,48453001102,874.551375,0.400000
406,-97.742416,30.264483,48453001103,3331,-97.741224,30.264046,48453001103,465.375077,0.320000
3331,-97.741224,30.264046,48453001103,406,-97.742416,30.264483,48453001103,1417.851548,0.320000
381,-97.741182,30.267364,48453001103,3327,-97.74247,30.267767,48453001103,41.350765,0.320000
3327,-97.74247,30.267767,48453001103,381,-97.741182,30.267364,48453001103,41.570341,0.320000
381,-97.741182,30.267364,48453001103,3304,-97.740772,30.268341,48453001101,619.171005,0.280000
3304,-97.740772,30.268341,48453001101,381,-97.741182,30.267364,48453001103,329.344351,0.280000
381,-97.741182,30.267364,48453001103,3311,-97.740092,30.267027,48453001103,241.867204,0.280000
3311,-97.740092,30.267027,48453001103,381,-97.741182,30.267364,48453001103,1872.788066,0.280000
381,-97.741182,30.267364,48453001103,3329,-97.74156,30.26646,48453001103,389.886351,0.280000
3329,-97.74156,30.26646,48453001103,381,-97.741182,30.267364,48453001103,1020.105853,0.280000
378,-97.743373,30.271875,48453001101,3322,-97.742775,30.27095,48453001101,190.922002,0.280000
3322,-97.742775,30.27095,48453001101,378,-97.743373,30.271875,48453001101,354.336541,0.280000
378,-97.743373,30.271875,48453001101,3337,-97.742107,30.272779,48453001101,165.064112,0.400000
3337,-97.742107,30.272779,48453001101,378,-97.743373,30.271875,48453001101,356.009772,0.400000
377,-97.740269,30.274993,48453000700,2779,-97.743195,30.276069,48453000700,267.717545,0.760000
2779,-97.743195,30.276069,48453000700,377,-97.740269,30.274993,48453000700,475.492047,0.760000
378,-97.743373,30.271875,48453001101,3341,-97.744542,30.272475,48453001101,210.500683,0.320000
3341,-97.744542,30.272475,48453001101,378,-97.743373,30.271875,48453001101,648.132253,0.320000
379,-97.740184,30.270625,48453001101,3343,-97.741096,30.271477,48453001101,663.678301,0.320000
3343,-97.741096,30.271477,48453001101,379,-97.740184,30.270625,48453001101,579.565236,0.320000
379,-97.740184,30.270625,48453001101,3307,-97.739349,30.272069,48453001101,0.000000,0.440000
3307,-97.739349,30.272069,48453001101,379,-97.740184,30.270625,48453001101,4.478826,0.440000
377,-97.740269,30.274993,48453000700,2780,-97.739643,30.276807,48453000700,85.772141,0.520000
2780,-97.739643,30.276807,48453000700,377,-97.740269,30.274993,48453000700,430.411423,0.520000
382,-97.738381,30.266557,48453001103,3312,-97.738174,30.267616,48453001101,70.405103,0.280000
3312,-97.738174,30.267616,48453001101,382,-97.738381,30.266557,48453001103,126.066976,0.280000
382,-97.738381,30.266557,48453001103,3299,-97.738673,30.265681,48453001103,79.137443,0.240000
3299,-97.738673,30.265681,48453001103,382,-97.738381,30.266557,48453001103,206.850391,0.240000
382,-97.738381,30.266557,48453001103,3345,-97.73691,30.265964,48453001103,0.000000,0.400000
3345,-97.73691,30.265964,48453001103,382,-97.738381,30.266557,48453001103,461.830221,0.400000
384,-97.733763,30.27371,48453000700,3357,-97.734578,30.273141,48453000700,459.690750,0.240000
3357,-97.734578,30.273141,48453000700,384,-97.733763,30.27371,48453000700,1437.572498,0.240000
383,-97.736137,30.270537,48453001101,3314,-97.73793,30.269638,48453001101,184.357435,0.480000
3314,-97.73793,30.269638,48453001101,383,-97.736137,30.270537,48453001101,404.795136,0.480000
383,-97.736137,30.270537,48453001101,3362,-97.736834,30.272631,48453001101,200.837599,0.600000
3362,-97.736834,30.272631,48453001101,383,-97.736137,30.270537,48453001101,195.698848,0.600000
383,-97.736137,30.270537,48453001101,3315,-97.735483,30.269824,48453001101,160.577859,0.240000
3315,-97.735483,30.269824,48453001101,383,-97.736137,30.270537,48453001101,405.372384,0.240000
383,-97.736137,30.270537,48453001101,3364,-97.736033,30.271252,48453001101,216.021212,0.200000
3364,-97.736033,30.271252,48453001101,383,-97.736137,30.270537,48453001101,737.051590,0.200000
360,-97.742966,30.290562,48453000606,3764,-97.742467,30.295288,48453000601,70.532391,1.320000
3764,-97.742467,30.295288,48453000601,360,-97.742966,30.290562,48453000606,270.733181,1.320000
359,-97.743151,30.284903,48453000608,3796,-97.742861,30.287673,48453000608,2.137564,0.760000
3796,-97.742861,30.287673,48453000608,359,-97.743151,30.284903,48453000608,2.278889,0.760000
376,-97.738873,30.27864,48453000700,3797,-97.737823,30.280378,48453000700,731.762362,0.560000
3797,-97.737823,30.280378,48453000700,376,-97.738873,30.27864,48453000700,326.515088,0.560000
376,-97.738873,30.27864,48453000700,2763,-97.736099,30.277798,48453000700,14.999998,0.720000
2763,-97.736099,30.277798,48453000700,376,-97.738873,30.27864,48453000700,2000.692879,0.720000
362,-97.735154,30.285008,48453000601,3801,-97.736852,30.289381,48453000601,1106.273969,1.280000
3801,-97.736852,30.289381,48453000601,362,-97.735154,30.285008,48453000601,2768.000344,1.280000
362,-97.735154,30.285008,48453000601,3800,-97.738992,30.2807,48453000700,1478.364980,1.520000
3800,-97.738992,30.2807,48453000700,362,-97.735154,30.285008,48453000601,5004.025653,1.520001
362,-97.735154,30.285008,48453000601,3798,-97.741238,30.287567,48453000601,479.182083,1.600000
3798,-97.741238,30.287567,48453000601,362,-97.735154,30.285008,48453000601,1035.169123,1.600000
361,-97.738284,30.291737,48453000601,3766,-97.740848,30.291879,48453000601,1481.610568,0.600000
3766,-97.740848,30.291879,48453000601,361,-97.738284,30.291737,48453000601,4191.865218,0.600000
359,-97.743151,30.284903,48453000608,3799,-97.741492,30.285325,48453000601,278.415201,0.400000
3799,-97.741492,30.285325,48453000601,359,-97.743151,30.284903,48453000608,70.292442,0.400000
359,-97.743151,30.284903,48453000608,3809,-97.744542,30.282227,48453000700,84.378550,0.800000
3809,-97.744542,30.282227,48453000700,359,-97.743151,30.284903,48453000608,520.727753,0.800000
359,-97.743151,30.284903,48453000608,3611,-97.744569,30.285003,48453000608,76.965752,0.360000
3611,-97.744569,30.285003,48453000608,359,-97.743151,30.284903,48453000608,239.595141,0.360000
376,-97.738873,30.27864,48453000700,3807,-97.741962,30.279445,48453000700,298.300392,0.760000
3807,-97.741962,30.279445,48453000700,376,-97.738873,30.27864,48453000700,659.937125,0.760000
360,-97.742966,30.290562,48453000606,3766,-97.740848,30.291879,48453000601,94.921141,0.640000
3766,-97.740848,30.291879,48453000601,360,-97.742966,30.290562,48453000606,26.743790,0.640000
360,-97.742966,30.290562,48453000606,3796,-97.742861,30.287673,48453000608,224.831669,0.800000
