Tail,Tail_x,Tail_y,Tail_geoid,Head,Head_x,Head_y,Head_geoid,Flow,Cost
719,-97.942473,29.884042,48209010100,1259,-97.942571,29.884912,48209010100,2.058480,0.240000
1259,-97.942571,29.884912,48209010100,719,-97.942473,29.884042,48209010100,0.071196,0.240000
909,-97.940672,29.884244,48209010100,1260,-97.940536,29.88521,48209010100,0.000000,0.280000
1260,-97.940536,29.88521,48209010100,909,-97.940672,29.884244,48209010100,5.827558,0.280000
705,-97.945474,29.88051,48209010100,1528,-97.943378,29.881903,48209010100,26.565013,0.640000
1528,-97.943378,29.881903,48209010100,705,-97.945474,29.88051,48209010100,161.450445,0.640000
719,-97.942473,29.884042,48209010100,1278,-97.94376,29.883846,48209010100,0.457009,0.320000
1278,-97.94376,29.883846,48209010100,719,-97.942473,29.884042,48209010100,0.788754,0.320000
705,-97.945474,29.88051,48209010100,1577,-97.94591,29.878314,48209010100,11.148739,0.600000
1577,-97.94591,29.878314,48209010100,705,-97.945474,29.88051,48209010100,10.987668,0.600000
705,-97.945474,29.88051,48209010100,1581,-97.947202,29.880625,48209010100,56.555198,0.400000
1581,-97.947202,29.880625,48209010100,705,-97.945474,29.88051,48209010100,85.718753,0.400000
910,-97.939316,29.875972,48209010500,1632,-97.93981,29.875412,48209010500,45.391621,0.200000
1632,-97.93981,29.875412,48209010500,910,-97.939316,29.875972,48209010500,64.362960,0.200000
704,-97.942358,29.881756,48209010100,1655,-97.942005,29.879804,48209010500,9.712296,0.560000
1655,-97.942005,29.879804,48209010500,704,-97.942358,29.881756,48209010100,8.198420,0.560000
908,-97.94009,29.881982,48209010100,1652,-97.939989,29.88011,48209010500,0.000000,0.520000
1652,-97.939989,29.88011,48209010500,908,-97.94009,29.881982,48209010100,0.000000,0.520000
704,-97.942358,29.881756,48209010100,1664,-97.942749,29.88265,48209010100,8.759640,0.280000
1664,-97.942749,29.88265,48209010100,704,-97.942358,29.881756,48209010100,16.997635,0.280000
704,-97.942358,29.881756,48209010100,1665,-97.941092,29.882348,48209010100,0.000000,0.360000
1665,-97.941092,29.882348,48209010100,704,-97.942358,29.881756,48209010100,30.936574,0.360000
719,-97.942473,29.884042,48209010100,1280,-97.941438,29.884391,48209010100,24.166171,0.280000
1280,-97.941438,29.884391,48209010100,719,-97.942473,29.884042,48209010100,8.062449,0.280000
704,-97.942358,29.881756,48209010100,1654,-97.943323,29.88144,48209010100,0.228658,0.240000
1654,-97.943323,29.88144,48209010100,704,-97.942358,29.881756,48209010100,0.223619,0.240000
719,-97.942473,29.884042,48209010100,1667,-97.942407,29.882698,48209010100,3.664099,0.360000
1667,-97.942407,29.882698,48209010100,719,-97.942473,29.884042,48209010100,38.878187,0.360000
908,-97.94009,29.881982,48209010100,1656,-97.941035,29.882041,48209010100,7.036397,0.240000
1656,-97.941035,29.882041,48209010100,908,-97.94009,29.881982,48209010100,15.204850,0.240000
909,-97.940672,29.884244,48209010100,1668,-97.940445,29.882965,48209010100,2.821301,0.360000
1668,-97.940445,29.882965,48209010100,909,-97.940672,29.884244,48209010100,14.500765,0.360000
909,-97.940672,29.884244,48209010100,1280,-97.941438,29.884391,48209010100,12.786037,0.200000
1280,-97.941438,29.884391,48209010100,909,-97.940672,29.884244,48209010100,0.768228,0.200000
913,-97.941105,29.88739,48209010200,1902,-97.941802,29.886562,48209010200,14.869600,0.280000
1902,-97.941802,29.886562,48209010200,913,-97.941105,29.88739,48209010200,0.000000,0.280000
913,-97.941105,29.88739,48209010200,1905,-97.940314,29.886604,48209010200,0.275440,0.280000
1905,-97.940314,29.886604,48209010200,913,-97.941105,29.88739,48209010200,26.925259,0.280000
913,-97.941105,29.88739,48209010200,1906,-97.941299,29.888282,48209010200,1.079301,0.240000
1906,-97.941299,29.888282,48209010200,913,-97.941105,29.88739,48209010200,4.160611,0.240000
702,-97.939213,29.887069,48209010200,1896,-97.93914,29.885398,48209010100,285.496158,0.480000
1896,-97.93914,29.885398,48209010100,702,-97.939213,29.887069,48209010200,915.692020,0.480000
702,-97.939213,29.887069,48209010200,1897,-97.939234,29.88764,48209010200,0.067786,0.160000
1897,-97.939234,29.88764,48209010200,702,-97.939213,29.887069,48209010200,0.340097,0.160000
376,-97.738873,30.27864,48453000700,2780,-97.739643,30.276807,48453000700,170.020264,0.520000
2780,-97.739643,30.276807,48453000700,376,-97.738873,30.27864,48453000700,1504.938249,0.520000
405,-97.74621,30.265461,48453001102,3048,-97.746952,30.265967,48453001102,17.674657,0.240000
3048,-97.746952,30.265967,48453001102,405,-97.74621,30.265461,48453001102,437.863198,0.240000
849,-97.748407,30.269483,48453001102,3023,-97.747413,30.268103,48453001102,15.059700,0.440000
3023,-97.747413,30.268103,48453001102,849,-97.748407,30.269483,48453001102,161.557905,0.440000
849,-97.748407,30.269483,48453001102,3172,-97.749152,30.269871,48453001101,13.099703,0.200000
3172,-97.749152,30.269871,48453001101,849,-97.748407,30.269483,48453001102,623.920533,0.200000
849,-97.748407,30.269483,48453001102,3050,-97.746957,30.270073,48453001101,9.965869,0.400000
3050,-97.746957,30.270073,48453001101,849,-97.748407,30.269483,48453001102,0.000000,0.400000
379,-97.740184,30.270625,48453001101,3303,-97.738686,30.270825,48453001101,27.826875,0.360000
3303,-97.738686,30.270825,48453001101,379,-97.740184,30.270625,48453001101,1244.929508,0.360000
379,-97.740184,30.270625,48453001101,3304,-97.740772,30.268341,48453001101,29.323156,0.640000
3304,-97.740772,30.268341,48453001101,379,-97.740184,30.270625,48453001101,1380.937179,0.640000
377,-97.740269,30.274993,48453000700,3309,-97.73713,30.275019,48453000700,44.966976,0.760000
3309,-97.73713,30.275019,48453000700,377,-97.740269,30.274993,48453000700,812.201210,0.760000
382,-97.738381,30.266557,48453001103,3311,-97.740092,30.267027,48453001103,4.557508,0.440000
3311,-97.740092,30.267027,48453001103,382,-97.738381,30.266557,48453001103,0.237955,0.440000
405,-97.74621,30.265461,48453001102,3046,-97.746417,30.26374,48453001102,20.677600,0.480000
3046,-97.746417,30.26374,48453001102,405,-97.74621,30.265461,48453001102,197.918035,0.480000
405,-97.74621,30.265461,48453001102,3324,-97.743505,30.265003,48453001103,1.186148,0.640000
3324,-97.743505,30.265003,48453001103,405,-97.74621,30.265461,48453001102,0.511280,0.640000
380,-97.744601,30.268129,48453001102,3327,-97.74247,30.267767,48453001103,0.732619,0.520000
3327,-97.74247,30.267767,48453001103,380,-97.744601,30.268129,48453001102,1.872474,0.520000
406,-97.742416,30.264483,48453001103,3328,-97.742929,30.26276,48453001103,0.022570,0.480000
3328,-97.742929,30.26276,48453001103,406,-97.742416,30.264483,48453001103,0.000000,0.480000
406,-97.742416,30.264483,48453001103,3329,-97.74156,30.26646,48453001103,1.727035,0.600000
3329,-97.74156,30.26646,48453001103,406,-97.742416,30.264483,48453001103,3.579860,0.600000
406,-97.742416,30.264483,48453001103,3324,-97.743505,30.265003,48453001103,32.979309,0.280000
3324,-97.743505,30.265003,48453001103,406,-97.742416,30.264483,48453001103,641.403098,0.280000
405,-97.74621,30.265461,48453001102,3335,-97.745092,30.267456,48453001102,10.076499,0.600000
3335,-97.745092,30.267456,48453001102,405,-97.74621,30.265461,48453001102,212.318177,0.600000
380,-97.744601,30.268129,48453001102,3053,-97.745963,30.26867,48453001102,37.700355,0.360000
3053,-97.745963,30.26867,48453001102,380,-97.744601,30.268129,48453001102,1105.223317,0.360000
380,-97.744601,30.268129,48453001102,3325,-97.744177,30.267205,48453001102,35.030828,0.280000
3325,-97.744177,30.267205,48453001102,380,-97.744601,30.268129,48453001102,502.165445,0.280000
380,-97.744601,30.268129,48453001102,3297,-97.74345,30.269081,48453001101,21.235426,0.400000
3297,-97.74345,30.269081,48453001101,380,-97.744601,30.268129,48453001102,597.239579,0.400000
406,-97.742416,30.264483,48453001103,3331,-97.741224,30.264046,48453001103,50.251432,0.320000
3331,-97.741224,30.264046,48453001103,406,-97.742416,30.264483,48453001103,990.894273,0.320000
381,-97.741182,30.267364,48453001103,3327,-97.74247,30.267767,48453001103,1.470937,0.320000
3327,-97.74247,30.267767,48453001103,381,-97.741182,30.267364,48453001103,4.462167,0.320000
381,-97.741182,30.267364,48453001103,3304,-97.740772,30.268341,48453001101,55.198379,0.280000
3304,-97.740772,30.268341,48453001101,381,-97.741182,30.267364,48453001103,171.837407,0.280000
381,-97.741182,30.267364,48453001103,3311,-97.740092,30.267027,48453001103,46.038076,0.280000
3311,-97.740092,30.267027,48453001103,381,-97.741182,30.267364,48453001103,1306.327919,0.280000
381,-97.741182,30.267364,48453001103,3329,-97.74156,30.26646,48453001103,28.424314,0.280000
3329,-97.74156,30.26646,48453001103,381,-97.741182,30.267364,48453001103,652.771724,0.280000
378,-97.743373,30.271875,48453001101,3322,-97.742775,30.27095,48453001101,15.034632,0.280000
3322,-97.742775,30.27095,48453001101,378,-97.743373,30.271875,48453001101,214.771083,0.280000
378,-97.743373,30.271875,48453001101,3337,-97.742107,30.272779,48453001101,7.111555,0.400000
3337,-97.742107,30.272779,48453001101,378,-97.743373,30.271875,48453001101,211.826843,0.400000
377,-97.740269,30.274993,48453000700,2779,-97.743195,30.276069,48453000700,16.593786,0.760000
2779,-97.743195,30.276069,48453000700,377,-97.740269,30.274993,48453000700,360.785314,0.760000
378,-97.743373,30.271875,48453001101,3341,-97.744542,30.272475,48453001101,12.842933,0.320000
3341,-97.744542,30.272475,48453001101,378,-97.743373,30.271875,48453001101,534.523898,0.320000
379,-97.740184,30.270625,48453001101,3343,-97.741096,30.271477,48453001101,41.144140,0.320000
3343,-97.741096,30.271477,48453001101,379,-97.740184,30.270625,48453001101,266.439443,0.320000
379,-97.740184,30.270625,48453001101,3307,-97.739349,30.272069,48453001101,0.000000,0.440000
3307,-97.739349,30.272069,48453001101,379,-97.740184,30.270625,48453001101,7.608331,0.440000
