Tail,Tail_x,Tail_y,Tail_geoid,Head,Head_x,Head_y,Head_geoid,Flow,Cost
719,-97.942473,29.884042,48209010100,1259,-97.942571,29.884912,48209010100,42.653387,0.240000
1259,-97.942571,29.884912,48209010100,719,-97.942473,29.884042,48209010100,1.896386,0.240000
909,-97.940672,29.884244,48209010100,1260,-97.940536,29.88521,48209010100,12.279408,0.280000
1260,-97.940536,29.88521,48209010100,909,-97.940672,29.884244,48209010100,70.204011,0.280000
705,-97.945474,29.88051,48209010100,1528,-97.943378,29.881903,48209010100,260.622497,0.640000
1528,-97.943378,29.881903,48209010100,705,-97.945474,29.88051,48209010100,420.772371,0.640000
719,-97.942473,29.884042,48209010100,1278,-97.94376,29.883846,48209010100,26.865015,0.320000
1278,-97.94376,29.883846,48209010100,719,-97.942473,29.884042,48209010100,20.144248,0.320000
705,-97.945474,29.88051,48209010100,1577,-97.94591,29.878314,48209010100,27.985482,0.600000
1577,-97.94591,29.878314,48209010100,705,-97.945474,29.88051,48209010100,304.649286,0.600000
705,-97.945474,29.88051,48209010100,1581,-97.947202,29.880625,48209010100,130.392021,0.400000
1581,-97.947202,29.880625,48209010100,705,-97.945474,29.88051,48209010100,518.387482,0.400000
910,-97.939316,29.875972,48209010500,1632,-97.93981,29.875412,48209010500,70.394803,0.200000
1632,-97.93981,29.875412,48209010500,910,-97.939316,29.875972,48209010500,0.306913,0.200000
704,-97.942358,29.881756,48209010100,1655,-97.942005,29.879804,48209010500,9.092548,0.560000
1655,-97.942005,29.879804,48209010500,704,-97.942358,29.881756,48209010100,116.176271,0.560000
908,-97.94009,29.881982,48209010100,1652,-97.939989,29.88011,48209010500,0.000000,0.520000
1652,-97.939989,29.88011,48209010500,908,-97.94009,29.881982,48209010100,0.002937,0.520000
704,-97.942358,29.881756,48209010100,1664,-97.942749,29.88265,48209010100,75.807861,0.280000
1664,-97.942749,29.88265,48209010100,704,-97.942358,29.881756,48209010100,92.813725,0.280000
704,-97.942358,29.881756,48209010100,1665,-97.941092,29.882348,48209010100,0.000000,0.360000
1665,-97.941092,29.882348,48209010100,704,-97.942358,29.881756,48209010100,130.596590,0.360000
719,-97.942473,29.884042,48209010100,1280,-97.941438,29.884391,48209010100,41.905138,0.280000
1280,-97.941438,29.884391,48209010100,719,-97.942473,29.884042,48209010100,63.818502,0.280000
704,-97.942358,29.881756,48209010100,1654,-97.943323,29.88144,48209010100,6.099591,0.240000
1654,-97.943323,29.88144,48209010100,704,-97.942358,29.881756,48209010100,7.175812,0.240000
719,-97.942473,29.884042,48209010100,1667,-97.942407,29.882698,48209010100,17.576461,0.360000
1667,-97.942407,29.882698,48209010100,719,-97.942473,29.884042,48209010100,228.308904,0.360000
908,-97.94009,29.881982,48209010100,1656,-97.941035,29.882041,48209010100,4.995927,0.240000
1656,-97.941035,29.882041,48209010100,908,-97.94009,29.881982,48209010100,82.891253,0.240000
909,-97.940672,29.884244,48209010100,1668,-97.940445,29.882965,48209010100,19.340965,0.360000
1668,-97.940445,29.882965,48209010100,909,-97.940672,29.884244,48209010100,62.689718,0.360000
909,-97.940672,29.884244,48209010100,1280,-97.941438,29.884391,48209010100,21.680741,0.200000
1280,-97.941438,29.884391,48209010100,909,-97.940672,29.884244,48209010100,21.943489,0.200000
913,-97.941105,29.88739,48209010200,1902,-97.941802,29.886562,48209010200,51.533623,0.280000
1902,-97.941802,29.886562,48209010200,913,-97.941105,29.88739,48209010200,0.000000,0.280000
913,-97.941105,29.88739,48209010200,1905,-97.940314,29.886604,48209010200,7.406991,0.280000
1905,-97.940314,29.886604,48209010200,913,-97.941105,29.88739,48209010200,111.418788,0.280000
913,-97.941105,29.88739,48209010200,1906,-97.941299,29.888282,48209010200,20.059386,0.240000
1906,-97.941299,29.888282,48209010200,913,-97.941105,29.88739,48209010200,32.244971,0.240000
702,-97.939213,29.887069,48209010200,1896,-97.93914,29.885398,48209010100,1299.566658,0.480000
1896,-97.93914,29.885398,48209010100,702,-97.939213,29.887069,48209010200,3698.837123,0.480000
702,-97.939213,29.887069,48209010200,1897,-97.939234,29.88764,48209010200,2.433342,0.160000
1897,-97.939234,29.88764,48209010200,702,-97.939213,29.887069,48209010200,11.545515,0.160000
376,-97.738873,30.27864,48453000700,2780,-97.739643,30.276807,48453000700,84.999237,0.520000
2780,-97.739643,30.276807,48453000700,376,-97.738873,30.27864,48453000700,113.494547,0.520000
405,-97.74621,30.265461,48453001102,3048,-97.746952,30.265967,48453001102,255.146454,0.240000
3048,-97.746952,30.265967,48453001102,405,-97.74621,30.265461,48453001102,136.163141,0.240000
849,-97.748407,30.269483,48453001102,3023,-97.747413,30.268103,48453001102,87.511885,0.440000
3023,-97.747413,30.268103,48453001102,849,-97.748407,30.269483,48453001102,178.690731,0.440000
849,-97.748407,30.269483,48453001102,3172,-97.749152,30.269871,48453001101,150.953523,0.200000
3172,-97.749152,30.269871,48453001101,849,-97.748407,30.269483,48453001102,236.746214,0.200000
849,-97.748407,30.269483,48453001102,3050,-97.746957,30.270073,48453001101,252.534592,0.400000
3050,-97.746957,30.270073,48453001101,849,-97.748407,30.269483,48453001102,0.000000,0.400000
379,-97.740184,30.270625,48453001101,3303,-97.738686,30.270825,48453001101,656.820326,0.360000
3303,-97.738686,30.270825,48453001101,379,-97.740184,30.270625,48453001101,640.330396,0.360000
379,-97.740184,30.270625,48453001101,3304,-97.740772,30.268341,48453001101,308.741230,0.640000
3304,-97.740772,30.268341,48453001101,379,-97.740184,30.270625,48453001101,701.374972,0.640000
377,-97.740269,30.274993,48453000700,3309,-97.73713,30.275019,48453000700,73.965181,0.760000
3309,-97.73713,30.275019,48453000700,377,-97.740269,30.274993,48453000700,292.863073,0.760000
382,-97.738381,30.266557,48453001103,3311,-97.740092,30.267027,48453001103,158.954296,0.440000
3311,-97.740092,30.267027,48453001103,382,-97.738381,30.266557,48453001103,2.385767,0.440000
405,-97.74621,30.265461,48453001102,3046,-97.746417,30.26374,48453001102,138.835309,0.480000
3046,-97.746417,30.26374,48453001102,405,-97.74621,30.265461,48453001102,253.628297,0.480000
405,-97.74621,30.265461,48453001102,3324,-97.743505,30.265003,48453001103,10.278863,0.640000
3324,-97.743505,30.265003,48453001103,405,-97.74621,30.265461,48453001102,3.854974,0.640000
380,-97.744601,30.268129,48453001102,3327,-97.74247,30.267767,48453001103,13.267478,0.520000
3327,-97.74247,30.267767,48453001103,380,-97.744601,30.268129,48453001102,10.574889,0.520000
406,-97.742416,30.264483,48453001103,3328,-97.742929,30.26276,48453001103,0.000000,0.480000
3328,-97.742929,30.26276,48453001103,406,-97.742416,30.264483,48453001103,0.000000,0.480000
406,-97.742416,30.264483,48453001103,3329,-97.74156,30.26646,48453001103,199.400244,0.600000
3329,-97.74156,30.26646,48453001103,406,-97.742416,30.264483,48453001103,7.739476,0.600000
406,-97.742416,30.264483,48453001103,3324,-97.743505,30.265003,48453001103,117.269787,0.280000
3324,-97.743505,30.265003,48453001103,406,-97.742416,30.264483,48453001103,440.195220,0.280000
405,-97.74621,30.265461,48453001102,3335,-97.745092,30.267456,48453001102,197.739373,0.600000
3335,-97.745092,30.267456,48453001102,405,-97.74621,30.265461,48453001102,153.960637,0.600000
380,-97.744601,30.268129,48453001102,3053,-97.745963,30.26867,48453001102,382.994764,0.360000
3053,-97.745963,30.26867,48453001102,380,-97.744601,30.268129,48453001102,206.218347,0.360000
380,-97.744601,30.268129,48453001102,3325,-97.744177,30.267205,48453001102,285.376567,0.280000
3325,-97.744177,30.267205,48453001102,380,-97.744601,30.268129,48453001102,614.430262,0.280000
380,-97.744601,30.268129,48453001102,3297,-97.74345,30.269081,48453001101,528.361191,0.400000
3297,-97.74345,30.269081,48453001101,380,-97.744601,30.268129,48453001102,333.145118,0.400000
406,-97.742416,30.264483,48453001103,3331,-97.741224,30.264046,48453001103,555.329968,0.320000
3331,-97.741224,30.264046,48453001103,406,-97.742416,30.264483,48453001103,521.155857,0.320000
381,-97.741182,30.267364,48453001103,3327,-97.74247,30.267767,48453001103,10.927408,0.320000
3327,-97.74247,30.267767,48453001103,381,-97.741182,30.267364,48453001103,13.385182,0.320000
381,-97.741182,30.267364,48453001103,3304,-97.740772,30.268341,48453001101,763.555503,0.280000
3304,-97.740772,30.268341,48453001101,381,-97.741182,30.267364,48453001103,37.591664,0.280000
381,-97.741182,30.267364,48453001103,3311,-97.740092,30.267027,48453001103,250.975137,0.280000
3311,-97.740092,30.267027,48453001103,381,-97.741182,30.267364,48453001103,518.339074,0.280000
381,-97.741182,30.267364,48453001103,3329,-97.74156,30.26646,48453001103,236.541952,0.280000
3329,-97.74156,30.26646,48453001103,381,-97.741182,30.267364,48453001103,606.478787,0.280000
378,-97.743373,30.271875,48453001101,3322,-97.742775,30.27095,48453001101,117.402425,0.280000
3322,-97.742775,30.27095,48453001101,378,-97.743373,30.271875,48453001101,302.852480,0.280000
378,-97.743373,30.271875,48453001101,3337,-97.742107,30.272779,48453001101,225.644493,0.400000
3337,-97.742107,30.272779,48453001101,378,-97.743373,30.271875,48453001101,0.094890,0.400000
377,-97.740269,30.274993,48453000700,2779,-97.743195,30.276069,48453000700,56.512228,0.760000
2779,-97.743195,30.276069,48453000700,377,-97.740269,30.274993,48453000700,88.264903,0.760000
378,-97.743373,30.271875,48453001101,3341,-97.744542,30.272475,48453001101,185.953082,0.320000
3341,-97.744542,30.272475,48453001101,378,-97.743373,30.271875,48453001101,79.722470,0.320000
379,-97.740184,30.270625,48453001101,3343,-97.741096,30.271477,48453001101,533.321423,0.320000
3343,-97.741096,30.271477,48453001101,379,-97.740184,30.270625,48453001101,123.628559,0.320000
