Origin,Origin_x,Origin_y,Origin_geoid,P_r_aug,Total_Demand,Demand_Not_Traveling,Total_Travel_Time,Average_Travel_Time
1,-97.861763,30.550045,48491020338,824.907098,193.832380,631.074718,9392.121746,48.454865
2,-97.873341,30.595955,48491020342,373.122118,78.025834,295.096284,3778.251840,48.423088
3,-97.842574,30.537706,48491020325,959.882146,267.291106,692.591040,11434.862607,42.780558
4,-97.967226,30.531993,48453036300,2495.444620,1943.695710,551.748910,156093.997531,80.307837
5,-97.901257,30.49655,48453037500,553.806735,310.521589,243.285146,15916.196649,51.256329
6,-97.882086,30.460701,48453035600,2907.036338,1299.622084,1607.414254,61249.787677,47.128922
7,-97.827879,30.498174,48491020336,1999.118701,622.066092,1377.052609,25807.615490,41.486935
8,-98.083907,30.434403,48453035200,461.778199,292.596528,169.181671,61517.280003,210.246104
9,-98.053644,30.488843,48453036400,340.228261,137.164548,203.063713,24153.512221,176.091509
10,-97.968645,30.405429,48453037600,2456.675802,1820.530565,636.145237,1620966.432153,890.381333
11,-98.056627,30.367501,48453035300,958.111658,515.013989,443.097669,107055.015914,207.868171
12,-97.941993,30.421566,48453031400,1900.855891,1039.637711,861.218180,74926.748844,72.070057
13,-97.888347,30.416288,48453035800,558.323509,285.294832,273.028677,25250.155971,88.505480
14,-97.839977,30.449261,48453035800,925.259526,296.006277,629.253249,13526.468295,45.696559
15,-97.83899,30.398674,48453034600,635.724858,322.081227,313.643631,16243.602986,50.433250
16,-98.076591,30.33372,48453036500,2867.945826,1662.523237,1205.422589,285777.496491,171.893836
17,-97.972406,30.320471,48453037000,908.793155,276.138458,632.654697,32050.581549,116.067069
18,-98.009337,30.349621,48453035400,1649.915410,574.923717,1074.991693,97804.650308,170.117613
19,-97.984566,30.367501,48453033100,7746.198950,4143.072477,3603.126473,500853.371945,120.889358
20,-97.926677,30.382464,48453031500,1403.302125,637.558602,765.743523,69247.235791,108.613131
21,-97.937276,30.351176,48453031500,597.509903,243.511860,353.998043,28258.509329,116.045721
22,-97.86814,30.373525,48453035000,353.643761,165.705392,187.938369,9115.231418,55.008659
