Origin,Origin_x,Origin_y,Origin_geoid,P_r_aug,Total_Demand,Demand_Not_Traveling,Total_Travel_Time,Average_Travel_Time
1,-97.861763,30.550045,48491020338,824.907098,703.447254,121.459844,19142.677903,27.212670
2,-97.873341,30.595955,48491020342,373.122118,303.644677,69.477441,8522.093193,28.066006
3,-97.842574,30.537706,48491020325,959.882146,894.522386,65.359760,22417.661798,25.061041
4,-97.967226,30.531993,48453036300,2495.444620,2286.277202,209.167418,193582.976913,84.671700
5,-97.901257,30.49655,48453037500,553.806735,437.044733,116.762002,23022.043168,52.676629
6,-97.882086,30.460701,48453035600,2907.036338,2065.173121,841.863217,87548.300611,42.392717
7,-97.827879,30.498174,48491020336,1999.118701,1775.488166,223.630535,49426.653965,27.838346
8,-98.083907,30.434403,48453035200,461.778199,319.481158,142.297041,59756.635854,187.042755
9,-98.053644,30.488843,48453036400,340.228261,277.290162,62.938099,37409.721594,134.911824
10,-97.968645,30.405429,48453037600,2456.675802,1824.998121,631.677681,1620400.688403,887.891702
11,-98.056627,30.367501,48453035300,958.111658,703.352716,254.758942,105093.663306,149.418152
12,-97.941993,30.421566,48453031400,1900.855891,1224.306204,676.549687,79614.053886,65.027894
13,-97.888347,30.416288,48453035800,558.323509,421.396478,136.927031,34199.949564,81.158603
14,-97.839977,30.449261,48453035800,925.259526,705.546716,219.712810,22904.251347,32.463125
15,-97.83899,30.398674,48453034600,635.724858,522.815478,112.909380,24957.919504,47.737530
16,-98.076591,30.33372,48453036500,2867.945826,1763.915710,1104.030116,274980.904176,155.892315
17,-97.972406,30.320471,48453037000,908.793155,641.758816,267.034339,49886.934748,77.734709
18,-98.009337,30.349621,48453035400,1649.915410,1054.768585,595.146825,132519.818948,125.638762
19,-97.984566,30.367501,48453033100,7746.198950,5247.469896,2498.729054,541992.463006,103.286436
20,-97.926677,30.382464,48453031500,1403.302125,1066.598380,336.703745,94373.188096,88.480528
21,-97.937276,30.351176,48453031500,597.509903,452.299804,145.210099,37150.916456,82.137812
