Origin,Origin_x,Origin_y,Origin_geoid,P_r_aug,Total_Demand,Demand_Not_Traveling,Total_Travel_Time,Average_Travel_Time
1,-97.861763,30.550045,48491020338,824.907098,696.277129,128.629969,17479.215774,25.103820
2,-97.873341,30.595955,48491020342,373.122118,300.969254,72.152864,7805.914509,25.935920
3,-97.842574,30.537706,48491020325,959.882146,879.407483,80.474663,19885.761010,22.612681
4,-97.967226,30.531993,48453036300,2495.444620,2280.457539,214.987081,186418.644620,81.746159
5,-97.901257,30.49655,48453037500,553.806735,434.222662,119.584073,21706.463375,49.989246
6,-97.882086,30.460701,48453035600,2907.036338,2081.758663,825.277675,82702.908297,39.727424
7,-97.827879,30.498174,48491020336,1999.118701,1733.959056,265.159645,43016.838026,24.808451
8,-98.083907,30.434403,48453035200,461.778199,320.059552,141.718647,59124.924901,184.731012
9,-98.053644,30.488843,48453036400,340.228261,276.751393,63.476868,36605.755898,132.269455
10,-97.968645,30.405429,48453037600,2456.675802,1825.037234,631.638568,1618896.499945,887.048478
11,-98.056627,30.367501,48453035300,958.111658,703.120330,254.991328,101918.644302,144.951923
12,-97.941993,30.421566,48453031400,1900.855891,1237.692554,663.163337,77408.336550,62.542460
13,-97.888347,30.416288,48453035800,558.323509,417.666026,140.657483,32191.595258,77.074967
14,-97.839977,30.449261,48453035800,925.259526,704.668736,220.590790,20762.694027,29.464475
15,-97.83899,30.398674,48453034600,635.724858,502.582770,133.142088,22200.414725,44.172654
16,-98.076591,30.33372,48453036500,2867.945826,1738.696064,1129.249762,260987.711021,150.105425
17,-97.972406,30.320471,48453037000,908.793155,656.322049,252.471106,49802.721746,75.881531
18,-98.009337,30.349621,48453035400,1649.915410,1069.675593,580.239817,132356.517415,123.735194
19,-97.984566,30.367501,48453033100,7746.198950,5313.874436,2432.324514,524592.437415,98.721271
20,-97.926677,30.382464,48453031500,1403.302125,1075.771065,327.531060,90673.407601,84.286899
21,-97.937276,30.351176,48453031500,597.509903,452.761103,144.748800,35278.099019,77.917689
22,-97.86814,30.373525,48453035000,353.643761,246.571416,107.072345,11470.649997,46.520599
23,-97.834683,30.374974,48453032900,800.287488,511.204517,289.082971,18899.302106,36.970139
24,-97.845706,30.351794,48453032900,896.593271,601.159872,295.433399,20959.762558,34.865538
25,-97.974997,30.221922,48453036600,198.142707,135.870120,62.272587,9726.288963,71.585194
26,-97.964299,30.292875,48453036600,1109.886324,779.144887,330.741437,65625.183781,84.227189
27,-97.939978,30.32358,48453034000,490.700541,363.847418,126.853123,24855.630314,68.313334
28,-97.905759,30.343668,48453035100,371.004944,262.152659,108.852285,19990.292553,76.254396
29,-97.89921,30.321831,48453034000,935.108578,715.537279,219.571299,139565.494716,195.049928
30,-97.705243,30.653697,48491020121,633.434482,514.744095,118.690387,13095.791967,25.441364
31,-97.869942,30.344763,48453033900,1554.418604,1194.428571,359.990033,217024.741774,181.697547
32,-97.858595,30.332143,48453033900,664.513953,506.133642,158.380311,93452.965113,184.640888
33,-97.841425,30.318718,48453001912,847.099623,354.586121,492.513502,10726.392906,30.250459
34,-97.832125,30.30131,48453001912,341.058113,152.870657,188.187456,4976.359759,32.552747
35,-97.919182,30.304379,48453001916,202.743902,141.473172,61.270730,6951.868177,49.139127
36,-97.888816,30.298805,48453001916,800.162602,543.591440,256.571162,29562.772601,54.384176
37,-97.921387,30.352597,48453031500,1377.266835,1057.562247,319.704588,181933.958790,172.031442
38,-97.871556,30.308173,48453001916,433.871951,279.253275,154.618676,15312.284600,54.832963
39,-97.779089,30.351189,48453030700,1507.283050,550.896057,956.386993,13867.187646,25.172058
40,-97.744053,30.384802,48453030100,327.362370,156.830288,170.532082,2694.512233,17.181071
41,-97.833651,30.288711,48453001917,918.255061,597.917924,320.337137,23194.111156,38.791463
42,-97.902792,30.286234,48453001921,199.303443,154.918301,44.385142,3524.388147,22.749979
43,-98.013199,30.272366,48453036600,231.166492,159.037166,72.129326,15697.744067,98.704878
44,-97.879621,30.286428,48453001921,207.018415,145.770607,61.247808,4530.900066,31.082398
45,-97.899068,30.267169,48453001920,107.241474,82.045710,25.195764,1957.234316,23.855413
46,-97.86426,30.287223,48453001921,694.347478,490.826065,203.521413,17075.843807,34.790010
47,-97.665825,30.513457,48491020701,537.148515,455.568725,81.579790,8691.577722,19.078522
48,-97.703502,30.308846,48453002105,727.552279,221.894062,505.658217,4687.931010,21.126888
49,-97.843688,30.286457,48453001917,889.469635,569.914971,319.554664,22057.844097,38.703746
50,-97.836009,30.279555,48453001917,1197.473684,764.120689,433.352995,28787.551821,37.674090
51,-97.932402,30.205053,48453031100,181.249428,118.721368,62.528060,3078.426373,25.929842
52,-97.873192,30.273341,48453001921,299.598078,194.110770,105.487308,4484.199217,23.101239
53,-97.909655,30.196482,48453036700,349.970249,224.624381,125.345868,5990.587874,26.669357
54,-97.901713,30.172804,48453033300,83.731557,55.161773,28.569784,1240.425195,22.487044
55,-97.851746,30.260857,48453001914,291.144279,172.201191,118.943088,3768.197132,21.882527
56,-97.829376,30.259205,48453001914,247.472637,141.315101,106.157536,3099.795778,21.935347
57,-97.825581,30.247459,48453001914,2491.930347,1321.280120,1170.650227,28808.317975,21.803339
58,-97.819398,30.235346,48453001915,23.215465,10.807797,12.407668,205.406579,19.005406
59,-97.895281,30.25396,48453001920,66.272821,52.491749,13.781072,1088.268116,20.732175
60,-97.879541,30.24144,48453001920,196.408543,142.504824,53.903719,2961.834648,20.784101
61,-97.872037,30.246756,48453001920,774.789528,552.020640,222.768888,11787.038185,21.352532
62,-97.858211,30.245081,48453001915,647.301802,393.795901,253.505901,7867.317438,19.978160
63,-97.852166,30.240247,48453001915,662.323574,389.411716,272.911858,7850.039161,20.158713
64,-97.928478,30.267416,48453036600,419.258482,289.802113,129.456369,8073.223143,27.857710
65,-97.93101,30.237106,48453036600,643.245890,444.826405,198.419485,18811.309199,42.289102
66,-97.915824,30.244016,48453033000,396.320475,304.028959,92.291516,11933.574723,39.251441
67,-97.909155,30.249879,48453033000,324.035608,239.084110,84.951498,6424.590387,26.871674
68,-97.892018,30.238308,48453033000,2790.445105,2086.923256,703.521849,58461.751537,28.013369
69,-97.985156,30.244942,48453036600,272.805177,187.774420,85.030757,10965.143527,58.395300
70,-97.943499,30.250014,48453036600,89.020637,61.732978,27.287659,2982.165508,48.307494
71,-97.954558,30.209143,48453031100,206.540046,147.236495,59.303551,10846.835294,73.669475
72,-97.947086,30.21593,48453031100,282.411899,198.695646,83.716253,11533.935884,58.048257
73,-97.905353,30.221875,48453031100,1157.748284,786.641645,371.106639,20428.595360,25.969379
74,-97.884729,30.210384,48453034800,2428.391463,1619.424597,808.966866,37337.712492,23.056160
75,-97.883969,30.222138,48453034700,1062.448980,605.060616,457.388364,13173.388648,21.772015
76,-97.928999,30.22221,48453031100,341.423341,240.499161,100.924180,11055.414622,45.968620
77,-97.858915,30.230631,48453032000,201.417112,139.245195,62.171917,2417.084581,17.358477
78,-97.850001,30.229226,48453032000,1445.975936,832.577094,613.398842,16786.128994,20.161651
79,-97.839501,30.232836,48453032000,1871.189840,1003.669403,867.520437,19805.185992,19.732778
80,-97.835974,30.224841,48453032000,621.657754,384.208556,237.449198,6765.750409,17.609578
81,-97.862221,30.225853,48453031200,554.846939,346.415069,208.431870,6440.472728,18.591780
82,-97.865677,30.217987,48453031200,1201.530612,781.187172,420.343440,15711.932666,20.112891
83,-97.849136,30.220626,48453031200,589.285714,361.679993,227.605721,6764.506797,18.703016
84,-97.858294,30.214768,48453031200,570.153061,360.671846,209.481215,7497.894240,20.788687
85,-97.836175,30.214574,48453033400,282.864198,201.102612,81.761586,3230.643924,16.064654
86,-97.845563,30.206238,48453033500,3525.411447,2507.314270,1018.097177,53182.216633,21.210830
87,-97.773059,30.39592,48453032600,316.508781,187.478148,129.030633,4322.314614,23.055031
88,-97.872225,30.20472,48453034800,919.718376,599.202749,320.515627,12541.253952,20.929901
89,-97.858353,30.188692,48453031300,2408.519933,1669.896770,738.623163,36471.961627,21.840848
90,-97.937337,30.194893,48453031100,74.466819,51.895888,22.570931,2114.829600,40.751391
91,-97.920445,30.209985,48453031100,189.679634,121.989366,67.690268,3040.195809,24.921810
92,-97.895714,30.191616,48453036700,698.523615,458.842082,239.681533,11825.107625,25.771628
93,-97.914187,30.179056,48453033300,20.211066,16.374910,3.836156,387.782771,23.681521
94,-97.890011,30.183883,48453036800,2156.911141,1415.927899,740.983242,39736.071605,28.063626
95,-97.809077,30.342242,48453001912,715.390189,384.586839,330.803350,10952.646272,28.478994
96,-97.868659,30.166515,48453033300,1384.457992,986.727902,397.730090,35093.657084,35.565688
97,-97.866404,30.152804,48453033300,421.545082,290.773577,130.771505,8947.299219,30.770675
98,-97.829257,30.204417,48453031000,2168.663643,1539.419666,629.243977,31912.863259,20.730451
99,-97.841393,30.188004,48453031700,1431.567729,992.224387,439.343342,20240.901559,20.399520
100,-97.842194,30.17107,48453031900,1620.010231,1125.066656,494.943575,22949.102841,20.397994
101,-97.854535,30.164297,48453037100,3420.459708,2254.597007,1165.862701,78286.454553,34.723037
102,-97.842915,30.133666,48453033200,927.871664,749.559580,178.312084,23877.101653,31.854842
103,-97.832171,30.599148,48491020340,511.286269,435.424082,75.862187,11782.281853,27.059325
104,-97.799189,30.579994,48491020339,107.821698,81.310352,26.511346,1772.461741,21.798722
105,-97.756155,30.589421,48491020604,404.996740,326.207319,78.789421,7970.265412,24.433129
106,-97.692748,30.614041,48491020604,1174.118989,945.412368,228.706621,23125.878936,24.461155
107,-97.663039,30.627603,48491021405,918.885839,778.036980,140.848859,18594.015204,23.898627
108,-97.671384,30.575265,48491021510,98.012125,83.211677,14.800448,1502.019678,18.050588
