Origin,Origin_x,Origin_y,Origin_geoid,P_r_aug,Total_Demand,Demand_Not_Traveling,Total_Travel_Time,Average_Travel_Time
1,-97.861763,30.550045,48491020338,824.907098,691.887052,133.020046,16626.841678,24.031150
2,-97.873341,30.595955,48491020342,373.122118,300.495357,72.626761,7516.141163,25.012503
3,-97.842574,30.537706,48491020325,959.882146,865.437578,94.444568,18527.584959,21.408344
4,-97.967226,30.531993,48453036300,2495.444620,2268.497189,226.947431,180789.291041,79.695620
5,-97.901257,30.49655,48453037500,553.806735,432.763095,121.043640,20965.092050,48.444732
6,-97.882086,30.460701,48453035600,2907.036338,2094.036457,812.999881,79132.114568,37.789273
7,-97.827879,30.498174,48491020336,1999.118701,1701.456222,297.662479,39693.505809,23.329137
8,-98.083907,30.434403,48453035200,461.778199,319.427397,142.350802,58413.908251,182.870689
9,-98.053644,30.488843,48453036400,340.228261,276.181705,64.046556,36036.634493,130.481614
10,-97.968645,30.405429,48453037600,2456.675802,1825.067619,631.608183,1615745.344497,885.307113
11,-98.056627,30.367501,48453035300,958.111658,700.947083,257.164575,99944.983614,142.585633
12,-97.941993,30.421566,48453031400,1900.855891,1241.273829,659.582062,74826.987781,60.282418
13,-97.888347,30.416288,48453035800,558.323509,415.400057,142.923452,30903.720476,74.395080
14,-97.839977,30.449261,48453035800,925.259526,704.440097,220.819429,19598.260834,27.821047
15,-97.83899,30.398674,48453034600,635.724858,490.228072,145.496786,20626.508249,42.075331
16,-98.076591,30.33372,48453036500,2867.945826,1735.186861,1132.758965,258169.775403,148.784999
17,-97.972406,30.320471,48453037000,908.793155,656.624140,252.169015,48832.496968,74.369025
18,-98.009337,30.349621,48453035400,1649.915410,1076.863026,573.052384,131688.796662,122.289273
19,-97.984566,30.367501,48453033100,7746.198950,5349.302092,2396.896858,517601.796237,96.760622
20,-97.926677,30.382464,48453031500,1403.302125,1074.616849,328.685276,87936.717873,81.830764
21,-97.937276,30.351176,48453031500,597.509903,454.447278,143.062625,34680.178174,76.312875
22,-97.86814,30.373525,48453035000,353.643761,241.403581,112.240180,10620.061130,43.992973
23,-97.834683,30.374974,48453032900,800.287488,471.225702,329.061786,16672.601564,35.381350
24,-97.845706,30.351794,48453032900,896.593271,563.594290,332.998981,18622.455930,33.042308
25,-97.974997,30.221922,48453036600,198.142707,135.782178,62.360529,9365.422372,68.973871
26,-97.964299,30.292875,48453036600,1109.886324,781.710885,328.175439,64390.240983,82.370915
27,-97.939978,30.32358,48453034000,490.700541,363.054583,127.645958,24229.565712,66.738080
28,-97.905759,30.343668,48453035100,371.004944,260.945232,110.059712,19162.707969,73.435747
29,-97.89921,30.321831,48453034000,935.108578,716.440536,218.668042,137012.400994,191.240437
30,-97.705243,30.653697,48491020121,633.434482,510.245863,123.188619,12425.821547,24.352616
31,-97.869942,30.344763,48453033900,1554.418604,1191.490736,362.927868,212188.927687,178.086930
32,-97.858595,30.332143,48453033900,664.513953,505.178840,159.335113,91437.333201,180.999927
33,-97.841425,30.318718,48453001912,847.099623,327.538076,519.561547,9566.009962,29.205795
34,-97.832125,30.30131,48453001912,341.058113,131.611834,209.446279,4120.945612,31.311361
35,-97.919182,30.304379,48453001916,202.743902,138.035023,64.708879,6499.729486,47.087539
36,-97.888816,30.298805,48453001916,800.162602,517.252269,282.910333,26761.928161,51.738638
37,-97.921387,30.352597,48453031500,1377.266835,1057.151335,320.115500,178605.232443,168.949541
38,-97.871556,30.308173,48453001916,433.871951,263.026697,170.845254,13666.559972,51.958832
39,-97.779089,30.351189,48453030700,1507.283050,485.865324,1021.417726,12144.993945,24.996626
40,-97.744053,30.384802,48453030100,327.362370,149.761398,177.600972,2496.501896,16.669862
