Origin,Origin_x,Origin_y,Origin_geoid,P_r_aug,Total_Demand,Demand_Not_Traveling,Total_Travel_Time,Average_Travel_Time
1,-97.861763,30.550045,48491020338,824.907098,231.529577,593.377521,16057.317597,69.353202
2,-97.873341,30.595955,48491020342,373.122118,45.943466,327.178652,2939.547395,63.981838
3,-97.842574,30.537706,48491020325,959.882146,469.918635,489.963511,32388.495110,68.923624
4,-97.967226,30.531993,48453036300,2495.444620,2068.857179,426.587441,281260.558465,135.949722
5,-97.901257,30.49655,48453037500,553.806735,371.607340,182.199395,29288.900125,78.816797
6,-97.882086,30.460701,48453035600,2907.036338,1607.712962,1299.323376,119556.262720,74.364184
7,-97.827879,30.498174,48491020336,1999.118701,732.397091,1266.721610,44646.531727,60.959461
8,-98.083907,30.434403,48453035200,461.778199,237.517059,224.261140,49908.035578,210.124004
9,-98.053644,30.488843,48453036400,340.228261,80.308855,259.919406,15939.267638,198.474597
10,-97.968645,30.405429,48453037600,2456.675802,1822.607129,634.068673,1713912.781409,940.363260
11,-98.056627,30.367501,48453035300,958.111658,662.827115,295.284543,153539.639746,231.643571
12,-97.941993,30.421566,48453031400,1900.855891,987.349510,913.506381,96907.475814,98.149110
13,-97.888347,30.416288,48453035800,558.323509,273.212115,285.111394,30891.632757,113.068312
14,-97.839977,30.449261,48453035800,925.259526,284.016253,641.243273,18522.718687,65.217108
15,-97.83899,30.398674,48453034600,635.724858,295.386534,340.338324,23044.639997,78.015202
16,-98.076591,30.33372,48453036500,2867.945826,1462.102483,1405.843343,292240.539478,199.876919
17,-97.972406,30.320471,48453037000,908.793155,227.422614,681.370541,29012.340156,127.570164
18,-98.009337,30.349621,48453035400,1649.915410,387.798475,1262.116935,67488.902450,174.030861
19,-97.984566,30.367501,48453033100,7746.198950,4024.162226,3722.036724,548971.248650,136.418767
20,-97.926677,30.382464,48453031500,1403.302125,496.517411,906.784714,65303.869826,131.523827
21,-97.937276,30.351176,48453031500,597.509903,249.476301,348.033602,33269.178524,133.356068
22,-97.86814,30.373525,48453035000,353.643761,100.534349,253.109412,7541.806527,75.017212
23,-97.834683,30.374974,48453032900,800.287488,394.715321,405.572167,26250.961942,66.506063
24,-97.845706,30.351794,48453032900,896.593271,379.745541,516.847730,22637.607888,59.612571
25,-97.974997,30.221922,48453036600,198.142707,70.225491,127.917216,6920.238804,98.543117
26,-97.964299,30.292875,48453036600,1109.886324,146.802418,963.083906,18632.623524,126.923138
27,-97.939978,30.32358,48453034000,490.700541,100.478986,390.221555,12464.181537,124.047644
28,-97.905759,30.343668,48453035100,371.004944,103.953155,267.051789,12265.145296,117.987235
29,-97.89921,30.321831,48453034000,935.108578,674.214673,260.893905,157021.244105,232.895026
30,-97.705243,30.653697,48491020121,633.434482,140.663531,492.770951,9363.825049,66.568961
31,-97.869942,30.344763,48453033900,1554.418604,1052.389195,502.029409,240640.251355,228.660891
32,-97.858595,30.332143,48453033900,664.513953,416.673877,247.840076,92918.803896,223.001270
33,-97.841425,30.318718,48453001912,847.099623,68.207274,778.892349,2743.120877,40.217424
34,-97.832125,30.30131,48453001912,341.058113,31.908742,309.149371,1537.422438,48.181857
35,-97.919182,30.304379,48453001916,202.743902,17.081424,185.662478,1298.818108,76.036877
36,-97.888816,30.298805,48453001916,800.162602,37.977221,762.185381,2881.285465,75.868782
37,-97.921387,30.352597,48453031500,1377.266835,1033.904284,343.362551,209049.533885,202.194282
38,-97.871556,30.308173,48453001916,433.871951,16.357261,417.514690,1176.688907,71.936792
39,-97.779089,30.351189,48453030700,1507.283050,59.964246,1447.318804,2877.728154,47.990734
40,-97.744053,30.384802,48453030100,327.362370,4.044365,323.318005,189.990376,46.976568
41,-97.833651,30.288711,48453001917,918.255061,563.192948,355.062113,31776.604307,56.422234
42,-97.902792,30.286234,48453001921,199.303443,5.232929,194.070514,242.718726,46.382960
43,-98.013199,30.272366,48453036600,231.166492,146.059261,85.107231,22090.616579,151.244203
44,-97.879621,30.286428,48453001921,207.018415,93.451564,113.566851,3786.761197,40.521111
45,-97.899068,30.267169,48453001920,107.241474,4.951937,102.289537,222.898190,45.012324
46,-97.86426,30.287223,48453001921,694.347478,328.604291,365.743187,14977.537314,45.579251
47,-97.665825,30.513457,48491020701,537.148515,93.836323,443.312192,4531.196474,48.288300
48,-97.703502,30.308846,48453002105,727.552279,7.812975,719.739304,367.929696,47.092141
49,-97.843688,30.286457,48453001917,889.469635,513.806903,375.662732,24982.837697,48.623009
50,-97.836009,30.279555,48453001917,1197.473684,611.776534,585.697150,28718.895719,46.943441
51,-97.932402,30.205053,48453031100,181.249428,26.231683,155.017745,1063.602918,40.546500
