Origin,Origin_x,Origin_y,Origin_geoid,P_r_aug,Total_Demand,Demand_Not_Traveling,Total_Travel_Time,Average_Travel_Time
1,-97.861763,30.550045,48491020338,824.907098,823.501255,1.405843,18485.921072,22.447957
2,-97.873341,30.595955,48491020342,373.122118,372.300775,0.821343,9006.336289,24.191022
3,-97.842574,30.537706,48491020325,959.882146,959.240483,0.641663,19706.241121,20.543588
4,-97.967226,30.531993,48453036300,2495.444620,2489.830541,5.614079,192766.583134,77.421567
5,-97.901257,30.49655,48453037500,553.806735,542.035028,11.771707,24069.153056,44.405162
6,-97.882086,30.460701,48453035600,2907.036338,2846.643844,60.392494,107086.295794,37.618438
7,-97.827879,30.498174,48491020336,1999.118701,1996.546657,2.572044,47670.105597,23.876279
8,-98.083907,30.434403,48453035200,461.778199,432.424898,29.353301,51466.153463,119.017554
9,-98.053644,30.488843,48453036400,340.228261,338.329147,1.899114,38776.285132,114.611128
10,-97.968645,30.405429,48453037600,2456.675802,1828.008759,628.667043,1619573.965460,885.977136
11,-98.056627,30.367501,48453035300,958.111658,941.243235,16.868423,69156.303092,73.473360
12,-97.941993,30.421566,48453031400,1900.855891,1485.505988,415.349903,79075.774580,53.231542
13,-97.888347,30.416288,48453035800,558.323509,549.566310,8.757199,38448.436267,69.961414
14,-97.839977,30.449261,48453035800,925.259526,921.339022,3.920504,24716.958409,26.827213
15,-97.83899,30.398674,48453034600,635.724858,633.526482,2.198376,25688.251255,40.548031
16,-98.076591,30.33372,48453036500,2867.945826,2714.424735,153.521091,306392.587142,112.875698
17,-97.972406,30.320471,48453037000,908.793155,904.735255,4.057900,54532.373561,60.274399
18,-98.009337,30.349621,48453035400,1649.915410,1598.470834,51.444576,178819.277932,111.868965
19,-97.984566,30.367501,48453033100,7746.198950,7353.453901,392.745049,587894.913957,79.948133
20,-97.926677,30.382464,48453031500,1403.302125,1396.923217,6.378908,101534.809095,72.684603
21,-97.937276,30.351176,48453031500,597.509903,594.630904,2.878999,35148.308196,59.109454
22,-97.86814,30.373525,48453035000,353.643761,351.169934,2.473827,14615.856884,41.620468
23,-97.834683,30.374974,48453032900,800.287488,794.939768,5.347720,25957.562202,32.653496
24,-97.845706,30.351794,48453032900,896.593271,890.647942,5.945329,25538.236453,28.673772
25,-97.974997,30.221922,48453036600,198.142707,196.823510,1.319197,12314.888214,62.568177
26,-97.964299,30.292875,48453036600,1109.886324,1103.643360,6.242964,81943.875551,74.248510
27,-97.939978,30.32358,48453034000,490.700541,488.969657,1.730884,28062.052759,57.390172
28,-97.905759,30.343668,48453035100,371.004944,368.344526,2.660418,21871.240510,59.377129
29,-97.89921,30.321831,48453034000,935.108578,927.233909,7.874669,148046.280969,159.664438
30,-97.705243,30.653697,48491020121,633.434482,632.010147,1.424335,15639.776493,24.746085
