Origin,Origin_x,Origin_y,Origin_geoid,P_r_aug,Total_Demand,Demand_Not_Traveling,Total_Travel_Time,Average_Travel_Time
1,-97.861763,30.550045,48491020338,824.907098,803.912104,20.994994,23585.780463,29.338755
2,-97.873341,30.595955,48491020342,373.122118,354.067483,19.054635,12276.597024,34.673043
3,-97.842574,30.537706,48491020325,959.882146,951.585232,8.296914,26486.007640,27.833563
4,-97.967226,30.531993,48453036300,2495.444620,2479.140719,16.303901,212337.083822,85.649468
5,-97.901257,30.49655,48453037500,553.806735,458.514660,95.292075,24706.379131,53.883510
6,-97.882086,30.460701,48453035600,2907.036338,2169.514244,737.522094,108665.688520,50.087566
7,-97.827879,30.498174,48491020336,1999.118701,1984.814683,14.304018,59652.390210,30.054388
8,-98.083907,30.434403,48453035200,461.778199,317.501243,144.276956,60140.299629,189.417525
9,-98.053644,30.488843,48453036400,340.228261,340.164601,0.063660,20830.671424,61.237034
10,-97.968645,30.405429,48453037600,2456.675802,1833.006609,623.669193,1634784.011903,891.859311
11,-98.056627,30.367501,48453035300,958.111658,703.797349,254.314309,104422.942321,148.370753
12,-97.941993,30.421566,48453031400,1900.855891,1228.801586,672.054305,81964.072826,66.702447
13,-97.888347,30.416288,48453035800,558.323509,418.455498,139.868011,35196.396336,84.110249
14,-97.839977,30.449261,48453035800,925.259526,781.308205,143.951321,29997.763605,38.394277
15,-97.83899,30.398674,48453034600,635.724858,529.535511,106.189347,27047.008529,51.076855
16,-98.076591,30.33372,48453036500,2867.945826,1757.652576,1110.293250,275653.045758,156.830223
17,-97.972406,30.320471,48453037000,908.793155,658.244164,250.548991,54382.302999,82.617220
18,-98.009337,30.349621,48453035400,1649.915410,1085.217493,564.697917,143462.547482,132.197047
19,-97.984566,30.367501,48453033100,7746.198950,5240.162876,2506.036074,559693.754700,106.808465
20,-97.926677,30.382464,48453031500,1403.302125,1064.229120,339.073005,97843.163072,91.938062
21,-97.937276,30.351176,48453031500,597.509903,460.438797,137.071106,40457.602567,87.867493
22,-97.86814,30.373525,48453035000,353.643761,245.385003,108.258758,13048.207632,53.174430
23,-97.834683,30.374974,48453032900,800.287488,607.750032,192.537456,27283.894400,44.893283
24,-97.845706,30.351794,48453032900,896.593271,662.837422,233.755849,28234.292525,42.596105
25,-97.974997,30.221922,48453036600,198.142707,137.305973,60.836734,10724.670882,78.107825
26,-97.964299,30.292875,48453036600,1109.886324,768.846973,341.039351,68700.360714,89.355051
27,-97.939978,30.32358,48453034000,490.700541,366.132180,124.568361,25838.595714,70.571769
