Origin,Origin_x,Origin_y,Origin_geoid,P_r_aug,Total_Demand,Demand_Not_Traveling,Total_Travel_Time,Average_Travel_Time
1,-97.861763,30.550045,48491020338,824.907098,705.720710,119.186388,19569.187934,27.729366
2,-97.873341,30.595955,48491020342,373.122118,303.047639,70.074479,8491.925059,28.021750
3,-97.842574,30.537706,48491020325,959.882146,898.660235,61.221911,22667.000065,25.223103
4,-97.967226,30.531993,48453036300,2495.444620,2289.640041,205.804579,195023.600125,85.176533
5,-97.901257,30.49655,48453037500,553.806735,444.439218,109.367517,23175.290346,52.145016
6,-97.882086,30.460701,48453035600,2907.036338,2060.131076,846.905262,86897.029729,42.180340
7,-97.827879,30.498174,48491020336,1999.118701,1786.112990,213.005711,50027.882385,28.009360
8,-98.083907,30.434403,48453035200,461.778199,315.332712,146.445487,57946.169877,183.762000
9,-98.053644,30.488843,48453036400,340.228261,276.216829,64.011432,37104.337692,134.330474
10,-97.968645,30.405429,48453037600,2456.675802,1825.000259,631.675543,1618345.251135,886.764395
11,-98.056627,30.367501,48453035300,958.111658,702.858896,255.252762,104244.922091,148.315576
12,-97.941993,30.421566,48453031400,1900.855891,1214.486903,686.368988,77559.964786,63.862331
13,-97.888347,30.416288,48453035800,558.323509,423.101521,135.221988,33872.643955,80.057958
14,-97.839977,30.449261,48453035800,925.259526,701.789048,223.470478,23018.394448,32.799592
15,-97.83899,30.398674,48453034600,635.724858,540.261409,95.463449,25099.067464,46.457265
16,-98.076591,30.33372,48453036500,2867.945826,1767.462912,1100.482914,275176.110012,155.689892
17,-97.972406,30.320471,48453037000,908.793155,655.979405,252.813750,51070.223267,77.853394
18,-98.009337,30.349621,48453035400,1649.915410,1072.721320,577.194090,135953.240008,126.736774
19,-97.984566,30.367501,48453033100,7746.198950,5230.686870,2515.512080,545875.923840,104.360276
20,-97.926677,30.382464,48453031500,1403.302125,1069.484994,333.817131,94795.098262,88.636212
21,-97.937276,30.351176,48453031500,597.509903,458.156077,139.353826,38811.277443,84.711912
22,-97.86814,30.373525,48453035000,353.643761,251.458058,102.185703,12130.278681,48.239769
23,-97.834683,30.374974,48453032900,800.287488,683.072249,117.215239,23765.210701,34.791650
24,-97.845706,30.351794,48453032900,896.593271,716.864434,179.728837,26679.133662,37.216428
25,-97.974997,30.221922,48453036600,198.142707,140.678440,57.464267,11085.374779,78.799387
26,-97.964299,30.292875,48453036600,1109.886324,767.709050,342.177274,66818.202124,87.035840
27,-97.939978,30.32358,48453034000,490.700541,370.835495,119.865046,26968.713184,72.724196
28,-97.905759,30.343668,48453035100,371.004944,248.032757,122.972187,18790.085723,75.756468
29,-97.89921,30.321831,48453034000,935.108578,704.226595,230.881983,138393.420286,196.518310
30,-97.705243,30.653697,48491020121,633.434482,516.402341,117.032141,14780.573436,28.622205
31,-97.869942,30.344763,48453033900,1554.418604,1198.694734,355.723870,220105.414787,183.620907
32,-97.858595,30.332143,48453033900,664.513953,503.309886,161.204067,97941.115077,194.594062
33,-97.841425,30.318718,48453001912,847.099623,839.737732,7.361891,17606.319017,20.966450
34,-97.832125,30.30131,48453001912,341.058113,336.423548,4.634565,8718.280015,25.914595
35,-97.919182,30.304379,48453001916,202.743902,159.757379,42.986523,7946.699830,49.742302
36,-97.888816,30.298805,48453001916,800.162602,638.327216,161.835386,35942.383953,56.307146
37,-97.921387,30.352597,48453031500,1377.266835,1057.906675,319.360160,184006.290753,173.934332
38,-97.871556,30.308173,48453001916,433.871951,357.640463,76.231488,20071.460955,56.121896
39,-97.779089,30.351189,48453030700,1507.283050,1485.845604,21.437446,23654.816096,15.920104
40,-97.744053,30.384802,48453030100,327.362370,316.949425,10.412945,3675.926814,11.597834
41,-97.833651,30.288711,48453001917,918.255061,661.498562,256.756499,25362.812503,38.341448
42,-97.902792,30.286234,48453001921,199.303443,158.287948,41.015495,4342.400676,27.433552
43,-98.013199,30.272366,48453036600,231.166492,159.965590,71.200902,16759.148866,104.767212
44,-97.879621,30.286428,48453001921,207.018415,168.263108,38.755307,5718.919425,33.987958
45,-97.899068,30.267169,48453001920,107.241474,90.214626,17.026848,2594.608953,28.760402
46,-97.86426,30.287223,48453001921,694.347478,564.570292,129.777186,20507.335893,36.323796
47,-97.665825,30.513457,48491020701,537.148515,469.229769,67.918746,10612.363493,22.616561
48,-97.703502,30.308846,48453002105,727.552279,725.120789,2.431490,8835.712463,12.185159
49,-97.843688,30.286457,48453001917,889.469635,648.393670,241.075965,25073.423887,38.670063
50,-97.836009,30.279555,48453001917,1197.473684,875.402916,322.070768,32883.538534,37.563890
51,-97.932402,30.205053,48453031100,181.249428,132.844502,48.404926,4288.608565,32.282921
52,-97.873192,30.273341,48453001921,299.598078,248.776304,50.821774,6745.994515,27.116708
53,-97.909655,30.196482,48453036700,349.970249,255.139639,94.830610,8253.592894,32.349316
54,-97.901713,30.172804,48453033300,83.731557,59.248397,24.483160,1670.366683,28.192606
55,-97.851746,30.260857,48453001914,291.144279,242.608637,48.535642,6270.685572,25.846918
56,-97.829376,30.259205,48453001914,247.472637,211.469102,36.003535,5508.394789,26.048225
57,-97.825581,30.247459,48453001914,2491.930347,2228.053740,263.876607,53227.612750,23.889735
58,-97.819398,30.235346,48453001915,23.215465,20.912555,2.302910,370.071705,17.696149
59,-97.895281,30.25396,48453001920,66.272821,55.803208,10.469613,1470.463934,26.350885
60,-97.879541,30.24144,48453001920,196.408543,170.484595,25.923948,4900.734413,28.745908
61,-97.872037,30.246756,48453001920,774.789528,687.610905,87.178623,18522.967359,26.938152
62,-97.858211,30.245081,48453001915,647.301802,530.607992,116.693810,13140.909097,24.765758
63,-97.852166,30.240247,48453001915,662.323574,562.231120,100.092454,13285.478457,23.629924
64,-97.928478,30.267416,48453036600,419.258482,298.990928,120.267554,9786.902613,32.733109
65,-97.93101,30.237106,48453036600,643.245890,454.514214,188.731676,22142.739689,48.717376
66,-97.915824,30.244016,48453033000,396.320475,319.223282,77.097193,14749.341437,46.203840
67,-97.909155,30.249879,48453033000,324.035608,263.238460,60.797148,8822.689033,33.515958
68,-97.892018,30.238308,48453033000,2790.445105,2276.990842,513.454263,77603.741573,34.081710
69,-97.985156,30.244942,48453036600,272.805177,192.327092,80.478085,12352.820239,64.228186
70,-97.943499,30.250014,48453036600,89.020637,61.375388,27.645249,3286.988327,53.555480
71,-97.954558,30.209143,48453031100,206.540046,148.621092,57.918954,11951.687927,80.417172
72,-97.947086,30.21593,48453031100,282.411899,202.386287,80.025612,12865.960085,63.571303
73,-97.905353,30.221875,48453031100,1157.748284,828.841308,328.906976,26456.848105,31.920282
74,-97.884729,30.210384,48453034800,2428.391463,1838.803842,589.587621,52588.113146,28.599088
75,-97.883969,30.222138,48453034700,1062.448980,746.793463,315.655517,20665.423431,27.672207
76,-97.928999,30.22221,48453031100,341.423341,244.276742,97.146599,12701.120862,51.994802
77,-97.858915,30.230631,48453032000,201.417112,174.148616,27.268496,4018.456118,23.074867
78,-97.850001,30.229226,48453032000,1445.975936,1339.498100,106.477836,32176.041321,24.020968
79,-97.839501,30.232836,48453032000,1871.189840,1749.131033,122.058807,39256.937681,22.443680
80,-97.835974,30.224841,48453032000,621.657754,550.984774,70.672980,12790.653522,23.214169
81,-97.862221,30.225853,48453031200,554.846939,475.429695,79.417244,11695.211435,24.599245
82,-97.865677,30.217987,48453031200,1201.530612,1006.145993,195.384619,26065.020967,25.905804
83,-97.849136,30.220626,48453031200,589.285714,501.265935,88.019779,12179.128703,24.296741
84,-97.858294,30.214768,48453031200,570.153061,478.251747,91.901314,12731.285563,26.620469
85,-97.836175,30.214574,48453033400,282.864198,267.851145,15.013053,5646.862724,21.082093
86,-97.845563,30.206238,48453033500,3525.411447,3089.558610,435.852837,81455.384559,26.364732
87,-97.773059,30.39592,48453032600,316.508781,252.414872,64.093909,5565.573646,22.049310
88,-97.872225,30.20472,48453034800,919.718376,697.288398,222.429978,18817.828531,26.987153
89,-97.858353,30.188692,48453031300,2408.519933,1942.916937,465.602996,51902.637685,26.713771
90,-97.937337,30.194893,48453031100,74.466819,52.862293,21.604526,2333.611922,44.145113
91,-97.920445,30.209985,48453031100,189.679634,140.348459,49.331175,4419.194082,31.487300
92,-97.895714,30.191616,48453036700,698.523615,509.242903,189.280712,16064.011156,31.544890
93,-97.914187,30.179056,48453033300,20.211066,13.397280,6.813786,348.207496,25.990910
94,-97.890011,30.183883,48453036800,2156.911141,1552.013701,604.897440,51491.234159,33.177049
95,-97.809077,30.342242,48453001912,715.390189,708.733616,6.656573,14749.338573,20.810835
96,-97.868659,30.166515,48453033300,1384.457992,956.221173,428.236819,39816.965436,41.639912
97,-97.866404,30.152804,48453033300,421.545082,292.992461,128.552621,10958.878622,37.403279
98,-97.829257,30.204417,48453031000,2168.663643,1893.601262,275.062381,49848.290214,26.324597
99,-97.841393,30.188004,48453031700,1431.567729,1202.208605,229.359124,30951.379290,25.745432
100,-97.842194,30.17107,48453031900,1620.010231,1350.274071,269.736160,35716.255810,26.451116
101,-97.854535,30.164297,48453037100,3420.459708,2237.807626,1182.652082,89786.693558,40.122615
102,-97.842915,30.133666,48453033200,927.871664,785.533420,142.338244,29794.183372,37.928601
103,-97.832171,30.599148,48491020340,511.286269,444.600585,66.685684,13509.968169,30.386753
104,-97.799189,30.579994,48491020339,107.821698,81.078843,26.742855,1895.441412,23.377756
105,-97.756155,30.589421,48491020604,404.996740,326.591484,78.405256,8555.225961,26.195496
106,-97.692748,30.614041,48491020604,1174.118989,949.037975,225.081014,26240.694654,27.649784
107,-97.663039,30.627603,48491021405,918.885839,785.370520,133.515319,20926.200001,26.645003
108,-97.671384,30.575265,48491021510,98.012125,82.980096,15.032029,1562.828965,18.833781
109,-97.644672,30.569989,48491021516,90.533708,53.743877,36.789831,1147.233959,21.346319
110,-97.803089,30.522036,48491020350,762.199061,641.131692,121.067369,15639.157528,24.393050
111,-97.768768,30.518674,48491020345,1180.127749,720.086215,460.041534,20145.986498,27.977187
112,-97.737027,30.527329,48491020310,1714.180145,1351.358403,362.821742,33392.037014,24.709978
113,-97.739952,30.542739,48491020606,657.910448,465.394926,192.515522,11997.699380,25.779609
114,-97.693987,30.540723,48491020607,23.911634,17.051729,6.859905,325.367117,19.081181
115,-97.683218,30.544608,48491021513,733.251694,693.555819,39.695875,16133.783549,23.262415
116,-97.664092,30.550837,48491021515,4378.240739,3341.551201,1036.689538,92887.679373,27.797772
117,-97.811989,30.480535,48491020356,727.565291,658.472593,69.092698,15516.848942,23.564912
