Origin,Origin_x,Origin_y,Origin_geoid,P_r_aug,Total_Demand,Demand_Not_Traveling,Total_Travel_Time,Average_Travel_Time
1,-97.861763,30.550045,48491020338,824.907098,705.000000,119.907098,19756.241722,28.023038
2,-97.873341,30.595955,48491020342,373.122118,303.000000,70.122118,8541.982941,28.191363
3,-97.842574,30.537706,48491020325,959.882146,899.000000,60.882146,23001.161314,25.585274
4,-97.967226,30.531993,48453036300,2495.444620,2289.000000,206.444620,196174.031370,85.702941
5,-97.901257,30.49655,48453037500,553.806735,445.000000,108.806735,23299.624998,52.358708
6,-97.882086,30.460701,48453035600,2907.036338,2061.000000,846.036338,87918.035957,42.657950
7,-97.827879,30.498174,48491020336,1999.118701,1787.000000,212.118701,50799.349061,28.427168
8,-98.083907,30.434403,48453035200,461.778199,318.000000,143.778199,58899.414059,185.218283
9,-98.053644,30.488843,48453036400,340.228261,277.000000,63.228261,37474.488791,135.286963
10,-97.968645,30.405429,48453037600,2456.675802,1825.000000,631.675802,1619810.620608,887.567463
11,-98.056627,30.367501,48453035300,958.111658,703.000000,255.111658,106326.481997,151.246774
12,-97.941993,30.421566,48453031400,1900.855891,1215.000000,685.855891,78841.888143,64.890443
13,-97.888347,30.416288,48453035800,558.323509,423.000000,135.323509,34469.332151,81.487783
14,-97.839977,30.449261,48453035800,925.259526,701.000000,224.259526,23411.122242,33.396751
15,-97.83899,30.398674,48453034600,635.724858,532.000000,103.724858,25643.399496,48.201879
16,-98.076591,30.33372,48453036500,2867.945826,1750.000000,1117.945826,274281.487997,156.732279
17,-97.972406,30.320471,48453037000,908.793155,649.000000,259.793155,51972.996184,80.081658
18,-98.009337,30.349621,48453035400,1649.915410,1063.000000,586.915410,135317.927422,127.298144
19,-97.984566,30.367501,48453033100,7746.198950,5228.000000,2518.198950,548150.893941,104.849062
20,-97.926677,30.382464,48453031500,1403.302125,1078.000000,325.302125,96549.242792,89.563305
21,-97.937276,30.351176,48453031500,597.509903,459.000000,138.509903,39008.182986,84.985148
22,-97.86814,30.373525,48453035000,353.643761,248.000000,105.643761,12384.889085,49.939069
23,-97.834683,30.374974,48453032900,800.287488,590.000000,210.287488,21978.603846,37.251871
24,-97.845706,30.351794,48453032900,896.593271,661.000000,235.593271,26742.918638,40.458273
25,-97.974997,30.221922,48453036600,198.142707,138.000000,60.142707,11171.009042,80.949341
26,-97.964299,30.292875,48453036600,1109.886324,773.000000,336.886324,68520.998718,88.642948
27,-97.939978,30.32358,48453034000,490.700541,371.000000,119.700541,27682.032834,74.614644
28,-97.905759,30.343668,48453035100,371.004944,251.000000,120.004944,19483.969127,77.625375
29,-97.89921,30.321831,48453034000,935.108578,707.000000,228.108578,140664.436792,198.959599
30,-97.705243,30.653697,48491020121,633.434482,516.000000,117.434482,14859.575753,28.797627
31,-97.869942,30.344763,48453033900,1554.418604,1200.000000,354.418604,223392.858805,186.160716
32,-97.858595,30.332143,48453033900,664.513953,513.000000,151.513953,100642.292298,196.183806
33,-97.841425,30.318718,48453001912,847.099623,611.000000,236.099623,14322.157292,23.440519
34,-97.832125,30.30131,48453001912,341.058113,246.000000,95.058113,7071.736272,28.746895
35,-97.919182,30.304379,48453001916,202.743902,150.000000,52.743902,7798.356206,51.989041
36,-97.888816,30.298805,48453001916,800.162602,592.000000,208.162602,34786.519005,58.761012
37,-97.921387,30.352597,48453031500,1377.266835,1058.000000,319.266835,186195.372925,175.988065
38,-97.871556,30.308173,48453001916,433.871951,321.000000,112.871951,18688.858927,58.220744
39,-97.779089,30.351189,48453030700,1507.283050,1040.000000,467.283050,19093.034723,18.358687
40,-97.744053,30.384802,48453030100,327.362370,235.000000,92.362370,2945.487148,12.533988
41,-97.833651,30.288711,48453001917,918.255061,638.000000,280.255061,25872.698311,40.552819
42,-97.902792,30.286234,48453001921,199.303443,155.000000,44.303443,4441.888748,28.657347
43,-98.013199,30.272366,48453036600,231.166492,161.000000,70.166492,17021.025184,105.720653
44,-97.879621,30.286428,48453001921,207.018415,161.000000,46.018415,5710.149997,35.466770
45,-97.899068,30.267169,48453001920,107.241474,89.000000,18.241474,2705.106241,30.394452
46,-97.86426,30.287223,48453001921,694.347478,540.000000,154.347478,20740.677973,38.408663
47,-97.665825,30.513457,48491020701,537.148515,468.000000,69.148515,10746.370285,22.962330
48,-97.703502,30.308846,48453002105,727.552279,621.000000,106.552279,8068.261694,12.992370
49,-97.843688,30.286457,48453001917,889.469635,618.000000,271.469635,25358.631920,41.033385
50,-97.836009,30.279555,48453001917,1197.473684,832.000000,365.473684,33103.563365,39.787937
51,-97.932402,30.205053,48453031100,181.249428,129.000000,52.249428,4307.819627,33.393951
52,-97.873192,30.273341,48453001921,299.598078,233.000000,66.598078,6644.312123,28.516361
53,-97.909655,30.196482,48453036700,349.970249,247.000000,102.970249,8247.702849,33.391510
54,-97.901713,30.172804,48453033300,83.731557,58.000000,25.731557,1692.910578,29.188113
55,-97.851746,30.260857,48453001914,291.144279,220.000000,71.144279,6036.404205,27.438201
56,-97.829376,30.259205,48453001914,247.472637,187.000000,60.472637,5082.727290,27.180360
57,-97.825581,30.247459,48453001914,2491.930347,1883.000000,608.930347,46483.360740,24.685800
58,-97.819398,30.235346,48453001915,23.215465,17.000000,6.215465,320.287238,18.840426
59,-97.895281,30.25396,48453001920,66.272821,55.000000,11.272821,1530.401740,27.825486
60,-97.879541,30.24144,48453001920,196.408543,163.000000,33.408543,4953.420348,30.389082
61,-97.872037,30.246756,48453001920,774.789528,643.000000,131.789528,18269.481878,28.412880
62,-97.858211,30.245081,48453001915,647.301802,474.000000,173.301802,12391.439869,26.142278
63,-97.852166,30.240247,48453001915,662.323574,485.000000,177.323574,12129.865872,25.010033
64,-97.928478,30.267416,48453036600,419.258482,292.000000,127.258482,9874.847926,33.817972
65,-97.93101,30.237106,48453036600,643.245890,448.000000,195.245890,22405.330143,50.011898
66,-97.915824,30.244016,48453033000,396.320475,318.000000,78.320475,15109.601958,47.514472
67,-97.909155,30.249879,48453033000,324.035608,260.000000,64.035608,9080.886011,34.926485
68,-97.892018,30.238308,48453033000,2790.445105,2239.000000,551.445105,79180.384833,35.364174
69,-97.985156,30.244942,48453036600,272.805177,190.000000,82.805177,12412.418724,65.328520
70,-97.943499,30.250014,48453036600,89.020637,62.000000,27.020637,3377.470495,54.475331
71,-97.954558,30.209143,48453031100,206.540046,147.000000,59.540046,12067.689551,82.093126
72,-97.947086,30.21593,48453031100,282.411899,201.000000,81.411899,13076.021796,65.054835
73,-97.905353,30.221875,48453031100,1157.748284,824.000000,333.748284,27166.626326,32.969207
74,-97.884729,30.210384,48453034800,2428.391463,1740.000000,688.391463,52340.184896,30.080566
75,-97.883969,30.222138,48453034700,1062.448980,685.000000,377.448980,20098.084523,29.340269
76,-97.928999,30.22221,48453031100,341.423341,243.000000,98.423341,12915.569312,53.150491
77,-97.858915,30.230631,48453032000,201.417112,162.000000,39.417112,3990.630138,24.633519
78,-97.850001,30.229226,48453032000,1445.975936,1163.000000,282.975936,29033.809267,24.964582
79,-97.839501,30.232836,48453032000,1871.189840,1505.000000,366.189840,35084.388574,23.311886
80,-97.835974,30.224841,48453032000,621.657754,500.000000,121.657754,12171.163910,24.342328
