Origin,Origin_x,Origin_y,Origin_geoid,P_r_aug,Total_Demand,Demand_Not_Traveling,Total_Travel_Time,Average_Travel_Time
1,-97.861763,30.550045,48491020338,824.907098,705.000000,119.907098,19085.457616,27.071571
2,-97.873341,30.595955,48491020342,373.122118,303.000000,70.122118,8050.145342,26.568136
3,-97.842574,30.537706,48491020325,959.882146,899.000000,60.882146,22672.504969,25.219694
4,-97.967226,30.531993,48453036300,2495.444620,2289.000000,206.444620,199065.557875,86.966168
5,-97.901257,30.49655,48453037500,553.806735,445.000000,108.806735,22870.879109,51.395234
6,-97.882086,30.460701,48453035600,2907.036338,2061.000000,846.036338,85865.498416,41.662056
7,-97.827879,30.498174,48491020336,1999.118701,1787.000000,212.118701,49833.908076,27.886910
8,-98.083907,30.434403,48453035200,461.778199,318.000000,143.778199,56895.197780,178.915716
9,-98.053644,30.488843,48453036400,340.228261,277.000000,63.228261,37593.763744,135.717559
10,-97.968645,30.405429,48453037600,2456.675802,1825.000000,631.675802,1626592.632394,891.283634
11,-98.056627,30.367501,48453035300,958.111658,703.000000,255.111658,102406.926367,145.671304
12,-97.941993,30.421566,48453031400,1900.855891,1215.000000,685.855891,74697.320089,61.479276
13,-97.888347,30.416288,48453035800,558.323509,423.000000,135.323509,34290.943373,81.066060
14,-97.839977,30.449261,48453035800,925.259526,701.000000,224.259526,21328.174855,30.425356
15,-97.83899,30.398674,48453034600,635.724858,532.000000,103.724858,24830.948961,46.674716
16,-98.076591,30.33372,48453036500,2867.945826,1750.000000,1117.945826,262548.584626,150.027763
17,-97.972406,30.320471,48453037000,908.793155,649.000000,259.793155,48416.616423,74.601874
18,-98.009337,30.349621,48453035400,1649.915410,1063.000000,586.915410,129741.342743,122.052063
19,-97.984566,30.367501,48453033100,7746.198950,5228.000000,2518.198950,515114.777041,98.529988
20,-97.926677,30.382464,48453031500,1403.302125,1078.000000,325.302125,95944.098407,89.001947
21,-97.937276,30.351176,48453031500,597.509903,459.000000,138.509903,36571.363898,79.676174
22,-97.86814,30.373525,48453035000,353.643761,248.000000,105.643761,12369.232793,49.875939
23,-97.834683,30.374974,48453032900,800.287488,590.000000,210.287488,22106.073581,37.467921
24,-97.845706,30.351794,48453032900,896.593271,661.000000,235.593271,21358.724120,32.312745
25,-97.974997,30.221922,48453036600,198.142707,138.000000,60.142707,9841.899303,71.318111
26,-97.964299,30.292875,48453036600,1109.886324,773.000000,336.886324,64845.835904,83.888533
27,-97.939978,30.32358,48453034000,490.700541,371.000000,119.700541,25627.200468,69.076012
28,-97.905759,30.343668,48453035100,371.004944,251.000000,120.004944,19591.866862,78.055246
29,-97.89921,30.321831,48453034000,935.108578,707.000000,228.108578,136261.735487,192.732299
30,-97.705243,30.653697,48491020121,633.434482,516.000000,117.434482,13300.086371,25.775361
31,-97.869942,30.344763,48453033900,1554.418604,1200.000000,354.418604,218277.660271,181.898050
32,-97.858595,30.332143,48453033900,664.513953,513.000000,151.513953,97815.432313,190.673357
33,-97.841425,30.318718,48453001912,847.099623,611.000000,236.099623,18702.403746,30.609499
34,-97.832125,30.30131,48453001912,341.058113,246.000000,95.058113,7956.623070,32.343996
35,-97.919182,30.304379,48453001916,202.743902,150.000000,52.743902,8392.977715,55.953185
36,-97.888816,30.298805,48453001916,800.162602,592.000000,208.162602,31372.373353,52.993874
37,-97.921387,30.352597,48453031500,1377.266835,1058.000000,319.266835,185491.714145,175.322981
38,-97.871556,30.308173,48453001916,433.871951,321.000000,112.871951,16701.629926,52.030000
39,-97.779089,30.351189,48453030700,1507.283050,1040.000000,467.283050,27467.717668,26.411267
40,-97.744053,30.384802,48453030100,327.362370,235.000000,92.362370,3951.757368,16.815989
41,-97.833651,30.288711,48453001917,918.255061,638.000000,280.255061,21801.079756,34.170971
42,-97.902792,30.286234,48453001921,199.303443,155.000000,44.303443,3319.097327,21.413531
43,-98.013199,30.272366,48453036600,231.166492,161.000000,70.166492,15664.542912,97.295298
44,-97.879621,30.286428,48453001921,207.018415,161.000000,46.018415,4488.593960,27.879466
45,-97.899068,30.267169,48453001920,107.241474,89.000000,18.241474,2002.991188,22.505519
46,-97.86426,30.287223,48453001921,694.347478,540.000000,154.347478,17635.315824,32.657992
47,-97.665825,30.513457,48491020701,537.148515,468.000000,69.148515,9312.997279,19.899567
48,-97.703502,30.308846,48453002105,727.552279,621.000000,106.552279,13869.376511,22.333940
49,-97.843688,30.286457,48453001917,889.469635,618.000000,271.469635,20635.612990,33.390960
50,-97.836009,30.279555,48453001917,1197.473684,832.000000,365.473684,27831.362634,33.451157
51,-97.932402,30.205053,48453031100,181.249428,129.000000,52.249428,3271.055253,25.357017
52,-97.873192,30.273341,48453001921,299.598078,233.000000,66.598078,5087.562311,21.835031
53,-97.909655,30.196482,48453036700,349.970249,247.000000,102.970249,6512.411859,26.366040
54,-97.901713,30.172804,48453033300,83.731557,58.000000,25.731557,1235.737261,21.305815
55,-97.851746,30.260857,48453001914,291.144279,220.000000,71.144279,4416.454770,20.074794
56,-97.829376,30.259205,48453001914,247.472637,187.000000,60.472637,3680.708021,19.682931
57,-97.825581,30.247459,48453001914,2491.930347,1883.000000,608.930347,39153.564510,20.793183
58,-97.819398,30.235346,48453001915,23.215465,17.000000,6.215465,198.717013,11.689236
59,-97.895281,30.25396,48453001920,66.272821,55.000000,11.272821,989.858180,17.997421
60,-97.879541,30.24144,48453001920,196.408543,163.000000,33.408543,3030.900842,18.594484
61,-97.872037,30.246756,48453001920,774.789528,643.000000,131.789528,12698.776809,19.749264
62,-97.858211,30.245081,48453001915,647.301802,474.000000,173.301802,8865.881240,18.704391
63,-97.852166,30.240247,48453001915,662.323574,485.000000,177.323574,9509.117034,19.606427
64,-97.928478,30.267416,48453036600,419.258482,292.000000,127.258482,7959.461046,27.258428
65,-97.93101,30.237106,48453036600,643.245890,448.000000,195.245890,18714.655085,41.773784
66,-97.915824,30.244016,48453033000,396.320475,318.000000,78.320475,12306.292420,38.699033
67,-97.909155,30.249879,48453033000,324.035608,260.000000,64.035608,6564.936434,25.249756
68,-97.892018,30.238308,48453033000,2790.445105,2239.000000,551.445105,59772.971909,26.696280
69,-97.985156,30.244942,48453036600,272.805177,190.000000,82.805177,11074.314461,58.285866
70,-97.943499,30.250014,48453036600,89.020637,62.000000,27.020637,2915.888684,47.030463
71,-97.954558,30.209143,48453031100,206.540046,147.000000,59.540046,10645.932242,72.421308
72,-97.947086,30.21593,48453031100,282.411899,201.000000,81.411899,11388.567285,56.659539
73,-97.905353,30.221875,48453031100,1157.748284,824.000000,333.748284,21009.891080,25.497441
74,-97.884729,30.210384,48453034800,2428.391463,1740.000000,688.391463,37078.917939,21.309723
75,-97.883969,30.222138,48453034700,1062.448980,685.000000,377.448980,13093.470992,19.114556
76,-97.928999,30.22221,48453031100,341.423341,243.000000,98.423341,11163.791932,45.941531
77,-97.858915,30.230631,48453032000,201.417112,162.000000,39.417112,2353.087636,14.525232
78,-97.850001,30.229226,48453032000,1445.975936,1163.000000,282.975936,19184.949817,16.496088
79,-97.839501,30.232836,48453032000,1871.189840,1505.000000,366.189840,24001.445717,15.947804
80,-97.835974,30.224841,48453032000,621.657754,500.000000,121.657754,7765.958636,15.531917
81,-97.862221,30.225853,48453031200,554.846939,435.000000,119.846939,7266.422619,16.704420
82,-97.865677,30.217987,48453031200,1201.530612,942.000000,259.530612,17222.181647,18.282571
83,-97.849136,30.220626,48453031200,589.285714,462.000000,127.285714,7707.209399,16.682271
84,-97.858294,30.214768,48453031200,570.153061,447.000000,123.153061,8582.930978,19.201188
