Origin,Origin_x,Origin_y,Origin_geoid,P_r_aug,Total_Demand,Demand_Not_Traveling,Total_Travel_Time,Average_Travel_Time
1,-97.861763,30.550045,48491020338,824.907098,705.000000,119.907098,18994.867702,26.943075
2,-97.873341,30.595955,48491020342,373.122118,303.000000,70.122118,7925.227109,26.155865
3,-97.842574,30.537706,48491020325,959.882146,899.000000,60.882146,22602.408829,25.141723
4,-97.967226,30.531993,48453036300,2495.444620,2289.000000,206.444620,199729.950547,87.256422
5,-97.901257,30.49655,48453037500,553.806735,445.000000,108.806735,22655.571821,50.911397
6,-97.882086,30.460701,48453035600,2907.036338,2061.000000,846.036338,85673.528098,41.568912
7,-97.827879,30.498174,48491020336,1999.118701,1787.000000,212.118701,49582.063351,27.745978
8,-98.083907,30.434403,48453035200,461.778199,318.000000,143.778199,56936.368352,179.045183
9,-98.053644,30.488843,48453036400,340.228261,277.000000,63.228261,37361.759459,134.879998
10,-97.968645,30.405429,48453037600,2456.675802,1825.000000,631.675802,1628294.551221,892.216192
11,-98.056627,30.367501,48453035300,958.111658,703.000000,255.111658,102113.398168,145.253767
12,-97.941993,30.421566,48453031400,1900.855891,1215.000000,685.855891,73422.905569,60.430375
13,-97.888347,30.416288,48453035800,558.323509,423.000000,135.323509,34769.847135,82.198220
14,-97.839977,30.449261,48453035800,925.259526,701.000000,224.259526,20953.651664,29.891087
15,-97.83899,30.398674,48453034600,635.724858,532.000000,103.724858,25314.103250,47.582901
16,-98.076591,30.33372,48453036500,2867.945826,1750.000000,1117.945826,261343.758355,149.339290
17,-97.972406,30.320471,48453037000,908.793155,649.000000,259.793155,48509.423594,74.744875
18,-98.009337,30.349621,48453035400,1649.915410,1063.000000,586.915410,130165.942438,122.451498
19,-97.984566,30.367501,48453033100,7746.198950,5228.000000,2518.198950,509946.666922,97.541444
20,-97.926677,30.382464,48453031500,1403.302125,1078.000000,325.302125,96506.839647,89.523970
21,-97.937276,30.351176,48453031500,597.509903,459.000000,138.509903,36125.838600,78.705531
22,-97.86814,30.373525,48453035000,353.643761,248.000000,105.643761,12767.947685,51.483660
23,-97.834683,30.374974,48453032900,800.287488,590.000000,210.287488,23101.181878,39.154546
24,-97.845706,30.351794,48453032900,896.593271,661.000000,235.593271,21125.132139,31.959353
25,-97.974997,30.221922,48453036600,198.142707,138.000000,60.142707,9773.489005,70.822384
26,-97.964299,30.292875,48453036600,1109.886324,773.000000,336.886324,65808.382205,85.133742
27,-97.939978,30.32358,48453034000,490.700541,371.000000,119.700541,26793.809433,72.220511
28,-97.905759,30.343668,48453035100,371.004944,251.000000,120.004944,19833.075575,79.016237
29,-97.89921,30.321831,48453034000,935.108578,707.000000,228.108578,136510.995163,193.084859
30,-97.705243,30.653697,48491020121,633.434482,516.000000,117.434482,13092.459979,25.372984
31,-97.869942,30.344763,48453033900,1554.418604,1200.000000,354.418604,222147.893971,185.123245
32,-97.858595,30.332143,48453033900,664.513953,513.000000,151.513953,98886.976657,192.762138
33,-97.841425,30.318718,48453001912,847.099623,611.000000,236.099623,18388.137424,30.095151
34,-97.832125,30.30131,48453001912,341.058113,246.000000,95.058113,8222.013016,33.422817
35,-97.919182,30.304379,48453001916,202.743902,150.000000,52.743902,9407.900163,62.719334
36,-97.888816,30.298805,48453001916,800.162602,592.000000,208.162602,32157.452246,54.320021
37,-97.921387,30.352597,48453031500,1377.266835,1058.000000,319.266835,185874.407539,175.684695
38,-97.871556,30.308173,48453001916,433.871951,321.000000,112.871951,16604.015053,51.725904
39,-97.779089,30.351189,48453030700,1507.283050,1040.000000,467.283050,31533.590171,30.320760
40,-97.744053,30.384802,48453030100,327.362370,235.000000,92.362370,3603.652647,15.334692
41,-97.833651,30.288711,48453001917,918.255061,638.000000,280.255061,20464.080897,32.075362
42,-97.902792,30.286234,48453001921,199.303443,155.000000,44.303443,3210.322881,20.711761
43,-98.013199,30.272366,48453036600,231.166492,161.000000,70.166492,15815.472432,98.232748
44,-97.879621,30.286428,48453001921,207.018415,161.000000,46.018415,4285.983733,26.621017
45,-97.899068,30.267169,48453001920,107.241474,89.000000,18.241474,1918.722474,21.558679
46,-97.86426,30.287223,48453001921,694.347478,540.000000,154.347478,17359.349931,32.146944
47,-97.665825,30.513457,48491020701,537.148515,468.000000,69.148515,9033.928037,19.303265
48,-97.703502,30.308846,48453002105,727.552279,621.000000,106.552279,16329.843324,26.296044
49,-97.843688,30.286457,48453001917,889.469635,618.000000,271.469635,19367.012643,31.338208
50,-97.836009,30.279555,48453001917,1197.473684,832.000000,365.473684,26235.164012,31.532649
51,-97.932402,30.205053,48453031100,181.249428,129.000000,52.249428,3089.029680,23.945967
52,-97.873192,30.273341,48453001921,299.598078,233.000000,66.598078,4733.484102,20.315382
53,-97.909655,30.196482,48453036700,349.970249,247.000000,102.970249,6146.182043,24.883328
54,-97.901713,30.172804,48453033300,83.731557,58.000000,25.731557,1140.216052,19.658897
55,-97.851746,30.260857,48453001914,291.144279,220.000000,71.144279,4091.182986,18.596286
56,-97.829376,30.259205,48453001914,247.472637,187.000000,60.472637,3425.650977,18.318989
57,-97.825581,30.247459,48453001914,2491.930347,1883.000000,608.930347,37027.918460,19.664322
58,-97.819398,30.235346,48453001915,23.215465,17.000000,6.215465,170.106344,10.006256
59,-97.895281,30.25396,48453001920,66.272821,55.000000,11.272821,939.726645,17.085939
60,-97.879541,30.24144,48453001920,196.408543,163.000000,33.408543,2817.786404,17.287033
61,-97.872037,30.246756,48453001920,774.789528,643.000000,131.789528,11664.206053,18.140289
62,-97.858211,30.245081,48453001915,647.301802,474.000000,173.301802,8184.283190,17.266420
63,-97.852166,30.240247,48453001915,662.323574,485.000000,177.323574,8906.882652,18.364706
64,-97.928478,30.267416,48453036600,419.258482,292.000000,127.258482,7545.456595,25.840605
65,-97.93101,30.237106,48453036600,643.245890,448.000000,195.245890,17967.688992,40.106449
66,-97.915824,30.244016,48453033000,396.320475,318.000000,78.320475,11876.595119,37.347783
67,-97.909155,30.249879,48453033000,324.035608,260.000000,64.035608,6125.520143,23.559693
68,-97.892018,30.238308,48453033000,2790.445105,2239.000000,551.445105,54789.727568,24.470624
69,-97.985156,30.244942,48453036600,272.805177,190.000000,82.805177,10826.513593,56.981650
70,-97.943499,30.250014,48453036600,89.020637,62.000000,27.020637,2846.067359,45.904312
