Tail,Tail_x,Tail_y,Tail_geoid,Head,Head_x,Head_y,Head_geoid,Flow,Cost
719,-97.942473,29.884042,48209010100,1259,-97.942571,29.884912,48209010100,2.213843,0.240000
1259,-97.942571,29.884912,48209010100,719,-97.942473,29.884042,48209010100,0.079811,0.240000
909,-97.940672,29.884244,48209010100,1260,-97.940536,29.88521,48209010100,0.000000,0.280000
1260,-97.940536,29.88521,48209010100,909,-97.940672,29.884244,48209010100,7.315880,0.280000
705,-97.945474,29.88051,48209010100,1528,-97.943378,29.881903,48209010100,28.997211,0.640000
1528,-97.943378,29.881903,48209010100,705,-97.945474,29.88051,48209010100,179.090634,0.640000
719,-97.942473,29.884042,48209010100,1278,-97.94376,29.883846,48209010100,0.535615,0.320000
1278,-97.94376,29.883846,48209010100,719,-97.942473,29.884042,48209010100,0.964058,0.320000
705,-97.945474,29.88051,48209010100,1577,-97.94591,29.878314,48209010100,12.381331,0.600000
1577,-97.94591,29.878314,48209010100,705,-97.945474,29.88051,48209010100,0.382189,0.600000
705,-97.945474,29.88051,48209010100,1581,-97.947202,29.880625,48209010100,58.265627,0.400000
1581,-97.947202,29.880625,48209010100,705,-97.945474,29.88051,48209010100,111.483859,0.400000
910,-97.939316,29.875972,48209010500,1632,-97.93981,29.875412,48209010500,45.921034,0.200000
1632,-97.93981,29.875412,48209010500,910,-97.939316,29.875972,48209010500,83.070775,0.200000
704,-97.942358,29.881756,48209010100,1655,-97.942005,29.879804,48209010500,9.508535,0.560000
1655,-97.942005,29.879804,48209010500,704,-97.942358,29.881756,48209010100,9.393870,0.560000
908,-97.94009,29.881982,48209010100,1652,-97.939989,29.88011,48209010500,0.000000,0.520000
1652,-97.939989,29.88011,48209010500,908,-97.94009,29.881982,48209010100,0.000000,0.520000
704,-97.942358,29.881756,48209010100,1664,-97.942749,29.88265,48209010100,9.465279,0.280000
1664,-97.942749,29.88265,48209010100,704,-97.942358,29.881756,48209010100,23.281622,0.280000
704,-97.942358,29.881756,48209010100,1665,-97.941092,29.882348,48209010100,0.000000,0.360000
1665,-97.941092,29.882348,48209010100,704,-97.942358,29.881756,48209010100,40.222338,0.360000
719,-97.942473,29.884042,48209010100,1280,-97.941438,29.884391,48209010100,24.317562,0.280000
1280,-97.941438,29.884391,48209010100,719,-97.942473,29.884042,48209010100,6.663356,0.280000
704,-97.942358,29.881756,48209010100,1654,-97.943323,29.88144,48209010100,0.259439,0.240000
1654,-97.943323,29.88144,48209010100,704,-97.942358,29.881756,48209010100,0.259439,0.240000
719,-97.942473,29.884042,48209010100,1667,-97.942407,29.882698,48209010100,4.393820,0.360000
1667,-97.942407,29.882698,48209010100,719,-97.942473,29.884042,48209010100,56.748068,0.360000
908,-97.94009,29.881982,48209010100,1656,-97.941035,29.882041,48209010100,6.982823,0.240000
1656,-97.941035,29.882041,48209010100,908,-97.94009,29.881982,48209010100,21.377531,0.240000
909,-97.940672,29.884244,48209010100,1668,-97.940445,29.882965,48209010100,2.746036,0.360000
1668,-97.940445,29.882965,48209010100,909,-97.940672,29.884244,48209010100,18.093844,0.360000
909,-97.940672,29.884244,48209010100,1280,-97.941438,29.884391,48209010100,12.685133,0.200000
1280,-97.941438,29.884391,48209010100,909,-97.940672,29.884244,48209010100,0.893649,0.200000
913,-97.941105,29.88739,48209010200,1902,-97.941802,29.886562,48209010200,14.913587,0.280000
1902,-97.941802,29.886562,48209010200,913,-97.941105,29.88739,48209010200,0.000000,0.280000
913,-97.941105,29.88739,48209010200,1905,-97.940314,29.886604,48209010200,0.314447,0.280000
1905,-97.940314,29.886604,48209010200,913,-97.941105,29.88739,48209010200,21.186378,0.280000
913,-97.941105,29.88739,48209010200,1906,-97.941299,29.888282,48209010200,1.368107,0.240000
1906,-97.941299,29.888282,48209010200,913,-97.941105,29.88739,48209010200,6.678358,0.240000
702,-97.939213,29.887069,48209010200,1896,-97.93914,29.885398,48209010100,314.331471,0.480000
1896,-97.93914,29.885398,48209010100,702,-97.939213,29.887069,48209010200,962.463430,0.480000
702,-97.939213,29.887069,48209010200,1897,-97.939234,29.88764,48209010200,0.078612,0.160000
1897,-97.939234,29.88764,48209010200,702,-97.939213,29.887069,48209010200,0.393058,0.160000
376,-97.738873,30.27864,48453000700,2780,-97.739643,30.276807,48453000700,228.772946,0.520000
2780,-97.739643,30.276807,48453000700,376,-97.738873,30.27864,48453000700,1716.977095,0.520000
405,-97.74621,30.265461,48453001102,3048,-97.746952,30.265967,48453001102,31.886667,0.240000
3048,-97.746952,30.265967,48453001102,405,-97.74621,30.265461,48453001102,503.710079,0.240000
849,-97.748407,30.269483,48453001102,3023,-97.747413,30.268103,48453001102,27.218204,0.440000
3023,-97.747413,30.268103,48453001102,849,-97.748407,30.269483,48453001102,174.083748,0.440000
849,-97.748407,30.269483,48453001102,3172,-97.749152,30.269871,48453001101,24.150284,0.200000
3172,-97.749152,30.269871,48453001101,849,-97.748407,30.269483,48453001102,618.898958,0.200000
849,-97.748407,30.269483,48453001102,3050,-97.746957,30.270073,48453001101,14.757965,0.400000
