Tail,Tail_x,Tail_y,Tail_geoid,Head,Head_x,Head_y,Head_geoid,Flow,Cost
719,-97.942473,29.884042,48209010100,1259,-97.942571,29.884912,48209010100,20.721685,0.240000
1259,-97.942571,29.884912,48209010100,719,-97.942473,29.884042,48209010100,0.999970,0.240000
909,-97.940672,29.884244,48209010100,1260,-97.940536,29.88521,48209010100,6.984720,0.280000
1260,-97.940536,29.88521,48209010100,909,-97.940672,29.884244,48209010100,38.049102,0.280000
705,-97.945474,29.88051,48209010100,1528,-97.943378,29.881903,48209010100,168.236944,0.640000
1528,-97.943378,29.881903,48209010100,705,-97.945474,29.88051,48209010100,345.141215,0.640000
719,-97.942473,29.884042,48209010100,1278,-97.94376,29.883846,48209010100,8.001988,0.320000
1278,-97.94376,29.883846,48209010100,719,-97.942473,29.884042,48209010100,10.100343,0.320000
705,-97.945474,29.88051,48209010100,1577,-97.94591,29.878314,48209010100,71.323543,0.600000
1577,-97.94591,29.878314,48209010100,705,-97.945474,29.88051,48209010100,83.024737,0.600000
705,-97.945474,29.88051,48209010100,1581,-97.947202,29.880625,48209010100,178.424982,0.400000
1581,-97.947202,29.880625,48209010100,705,-97.945474,29.88051,48209010100,284.853301,0.400000
910,-97.939316,29.875972,48209010500,1632,-97.93981,29.875412,48209010500,110.913068,0.200000
1632,-97.93981,29.875412,48209010500,910,-97.939316,29.875972,48209010500,379.790121,0.200000
704,-97.942358,29.881756,48209010100,1655,-97.942005,29.879804,48209010500,31.916368,0.560000
1655,-97.942005,29.879804,48209010500,704,-97.942358,29.881756,48209010100,46.028581,0.560000
908,-97.94009,29.881982,48209010100,1652,-97.939989,29.88011,48209010500,0.000000,0.520000
1652,-97.939989,29.88011,48209010500,908,-97.94009,29.881982,48209010100,0.000000,0.520000
704,-97.942358,29.881756,48209010100,1664,-97.942749,29.88265,48209010100,56.057665,0.280000
1664,-97.942749,29.88265,48209010100,704,-97.942358,29.881756,48209010100,53.230554,0.280000
704,-97.942358,29.881756,48209010100,1665,-97.941092,29.882348,48209010100,0.000000,0.360000
1665,-97.941092,29.882348,48209010100,704,-97.942358,29.881756,48209010100,94.816174,0.360000
719,-97.942473,29.884042,48209010100,1280,-97.941438,29.884391,48209010100,81.134320,0.280000
1280,-97.941438,29.884391,48209010100,719,-97.942473,29.884042,48209010100,30.129730,0.280000
704,-97.942358,29.881756,48209010100,1654,-97.943323,29.88144,48209010100,3.000000,0.240000
1654,-97.943323,29.88144,48209010100,704,-97.942358,29.881756,48209010100,3.000000,0.240000
719,-97.942473,29.884042,48209010100,1667,-97.942407,29.882698,48209010100,19.002403,0.360000
1667,-97.942407,29.882698,48209010100,719,-97.942473,29.884042,48209010100,138.999907,0.360000
908,-97.94009,29.881982,48209010100,1656,-97.941035,29.882041,48209010100,22.922568,0.240000
