Tail,Tail_x,Tail_y,Tail_geoid,Head,Head_x,Head_y,Head_geoid,Flow,Cost
719,-97.942473,29.884042,48209010100,1259,-97.942571,29.884912,48209010100,20.325727,0.240000
1259,-97.942571,29.884912,48209010100,719,-97.942473,29.884042,48209010100,0.999991,0.240000
909,-97.940672,29.884244,48209010100,1260,-97.940536,29.88521,48209010100,6.984368,0.280000
1260,-97.940536,29.88521,48209010100,909,-97.940672,29.884244,48209010100,38.067698,0.280000
705,-97.945474,29.88051,48209010100,1528,-97.943378,29.881903,48209010100,168.548655,0.640000
1528,-97.943378,29.881903,48209010100,705,-97.945474,29.88051,48209010100,346.294417,0.640000
719,-97.942473,29.884042,48209010100,1278,-97.94376,29.883846,48209010100,8.002161,0.320000
1278,-97.94376,29.883846,48209010100,719,-97.942473,29.884042,48209010100,10.109576,0.320000
705,-97.945474,29.88051,48209010100,1577,-97.94591,29.878314,48209010100,71.366574,0.600000
1577,-97.94591,29.878314,48209010100,705,-97.945474,29.88051,48209010100,83.042118,0.600000
705,-97.945474,29.88051,48209010100,1581,-97.947202,29.880625,48209010100,178.311357,0.400000
1581,-97.947202,29.880625,48209010100,705,-97.945474,29.88051,48209010100,285.717854,0.400000
910,-97.939316,29.875972,48209010500,1632,-97.93981,29.875412,48209010500,110.909837,0.200000
1632,-97.93981,29.875412,48209010500,910,-97.939316,29.875972,48209010500,381.029021,0.200000
704,-97.942358,29.881756,48209010100,1655,-97.942005,29.879804,48209010500,31.898211,0.560000
1655,-97.942005,29.879804,48209010500,704,-97.942358,29.881756,48209010100,46.111480,0.560000
908,-97.94009,29.881982,48209010100,1652,-97.939989,29.88011,48209010500,0.000000,0.520000
1652,-97.939989,29.88011,48209010500,908,-97.94009,29.881982,48209010100,0.000000,0.520000
704,-97.942358,29.881756,48209010100,1664,-97.942749,29.88265,48209010100,56.087440,0.280000
1664,-97.942749,29.88265,48209010100,704,-97.942358,29.881756,48209010100,53.404004,0.280000
704,-97.942358,29.881756,48209010100,1665,-97.941092,29.882348,48209010100,0.000000,0.360000
1665,-97.941092,29.882348,48209010100,704,-97.942358,29.881756,48209010100,95.086153,0.360000
719,-97.942473,29.884042,48209010100,1280,-97.941438,29.884391,48209010100,81.552099,0.280000
1280,-97.941438,29.884391,48209010100,719,-97.942473,29.884042,48209010100,32.478636,0.280000
704,-97.942358,29.881756,48209010100,1654,-97.943323,29.88144,48209010100,3.000000,0.240000
1654,-97.943323,29.88144,48209010100,704,-97.942358,29.881756,48209010100,3.000000,0.240000
719,-97.942473,29.884042,48209010100,1667,-97.942407,29.882698,48209010100,18.998987,0.360000
1667,-97.942407,29.882698,48209010100,719,-97.942473,29.884042,48209010100,137.012539,0.360000
908,-97.94009,29.881982,48209010100,1656,-97.941035,29.882041,48209010100,22.908738,0.240000
1656,-97.941035,29.882041,48209010100,908,-97.94009,29.881982,48209010100,51.754972,0.240000
909,-97.940672,29.884244,48209010100,1668,-97.940445,29.882965,48209010100,16.027722,0.360000
1668,-97.940445,29.882965,48209010100,909,-97.940672,29.884244,48209010100,37.342948,0.360000
909,-97.940672,29.884244,48209010100,1280,-97.941438,29.884391,48209010100,46.888848,0.200000
1280,-97.941438,29.884391,48209010100,909,-97.940672,29.884244,48209010100,10.007435,0.200000
913,-97.941105,29.88739,48209010200,1902,-97.941802,29.886562,48209010200,62.068770,0.280000
1902,-97.941802,29.886562,48209010200,913,-97.941105,29.88739,48209010200,0.000000,0.280000
913,-97.941105,29.88739,48209010200,1905,-97.940314,29.886604,48209010200,4.000000,0.280000
1905,-97.940314,29.886604,48209010200,913,-97.941105,29.88739,48209010200,62.191159,0.280000
913,-97.941105,29.88739,48209010200,1906,-97.941299,29.888282,48209010200,12.992708,0.240000
1906,-97.941299,29.888282,48209010200,913,-97.941105,29.88739,48209010200,19.124957,0.240000
702,-97.939213,29.887069,48209010200,1896,-97.93914,29.885398,48209010100,1280.259370,0.480000
1896,-97.93914,29.885398,48209010100,702,-97.939213,29.887069,48209010200,2121.087136,0.480000
702,-97.939213,29.887069,48209010200,1897,-97.939234,29.88764,48209010200,1.000000,0.160000
1897,-97.939234,29.88764,48209010200,702,-97.939213,29.887069,48209010200,5.000000,0.160000
376,-97.738873,30.27864,48453000700,2780,-97.739643,30.276807,48453000700,440.140973,0.520000
2780,-97.739643,30.276807,48453000700,376,-97.738873,30.27864,48453000700,534.825324,0.520000
405,-97.74621,30.265461,48453001102,3048,-97.746952,30.265967,48453001102,73.583955,0.240000
3048,-97.746952,30.265967,48453001102,405,-97.74621,30.265461,48453001102,209.919269,0.240000
849,-97.748407,30.269483,48453001102,3023,-97.747413,30.268103,48453001102,54.314679,0.440000
3023,-97.747413,30.268103,48453001102,849,-97.748407,30.269483,48453001102,35.880325,0.440000
849,-97.748407,30.269483,48453001102,3172,-97.749152,30.269871,48453001101,55.555283,0.200000
3172,-97.749152,30.269871,48453001101,849,-97.748407,30.269483,48453001102,278.428324,0.200000
849,-97.748407,30.269483,48453001102,3050,-97.746957,30.270073,48453001101,27.745039,0.400000
3050,-97.746957,30.270073,48453001101,849,-97.748407,30.269483,48453001102,0.000000,0.400000
379,-97.740184,30.270625,48453001101,3303,-97.738686,30.270825,48453001101,137.826538,0.360000
3303,-97.738686,30.270825,48453001101,379,-97.740184,30.270625,48453001101,753.741830,0.360000
