Tail,Tail_x,Tail_y,Tail_geoid,Head,Head_x,Head_y,Head_geoid,Flow,Cost
719,-97.942473,29.884042,48209010100,1259,-97.942571,29.884912,48209010100,42.681835,0.240000
1259,-97.942571,29.884912,48209010100,719,-97.942473,29.884042,48209010100,1.980039,0.240000
909,-97.940672,29.884244,48209010100,1260,-97.940536,29.88521,48209010100,12.823936,0.280000
1260,-97.940536,29.88521,48209010100,909,-97.940672,29.884244,48209010100,72.195808,0.280000
705,-97.945474,29.88051,48209010100,1528,-97.943378,29.881903,48209010100,270.134189,0.640000
1528,-97.943378,29.881903,48209010100,705,-97.945474,29.88051,48209010100,480.468560,0.640000
719,-97.942473,29.884042,48209010100,1278,-97.94376,29.883846,48209010100,27.294118,0.320000
1278,-97.94376,29.883846,48209010100,719,-97.942473,29.884042,48209010100,20.958551,0.320000
705,-97.945474,29.88051,48209010100,1577,-97.94591,29.878314,48209010100,31.511533,0.600000
1577,-97.94591,29.878314,48209010100,705,-97.945474,29.88051,48209010100,254.350803,0.600000
705,-97.945474,29.88051,48209010100,1581,-97.947202,29.880625,48209010100,149.534509,0.400000
1581,-97.947202,29.880625,48209010100,705,-97.945474,29.88051,48209010100,478.783683,0.400000
910,-97.939316,29.875972,48209010500,1632,-97.93981,29.875412,48209010500,79.749677,0.200000
1632,-97.93981,29.875412,48209010500,910,-97.939316,29.875972,48209010500,7.127308,0.200000
704,-97.942358,29.881756,48209010100,1655,-97.942005,29.879804,48209010500,11.883667,0.560000
1655,-97.942005,29.879804,48209010500,704,-97.942358,29.881756,48209010100,89.229564,0.560000
908,-97.94009,29.881982,48209010100,1652,-97.939989,29.88011,48209010500,0.000000,0.520000
1652,-97.939989,29.88011,48209010500,908,-97.94009,29.881982,48209010100,0.000000,0.520000
704,-97.942358,29.881756,48209010100,1664,-97.942749,29.88265,48209010100,79.779120,0.280000
1664,-97.942749,29.88265,48209010100,704,-97.942358,29.881756,48209010100,92.867873,0.280000
704,-97.942358,29.881756,48209010100,1665,-97.941092,29.882348,48209010100,0.000000,0.360000
1665,-97.941092,29.882348,48209010100,704,-97.942358,29.881756,48209010100,157.513991,0.360000
719,-97.942473,29.884042,48209010100,1280,-97.941438,29.884391,48209010100,50.007800,0.280000
1280,-97.941438,29.884391,48209010100,719,-97.942473,29.884042,48209010100,64.921872,0.280000
704,-97.942358,29.881756,48209010100,1654,-97.943323,29.88144,48209010100,6.343714,0.240000
1654,-97.943323,29.88144,48209010100,704,-97.942358,29.881756,48209010100,7.359257,0.240000
719,-97.942473,29.884042,48209010100,1667,-97.942407,29.882698,48209010100,18.906678,0.360000
1667,-97.942407,29.882698,48209010100,719,-97.942473,29.884042,48209010100,219.811506,0.360000
908,-97.94009,29.881982,48209010100,1656,-97.941035,29.882041,48209010100,7.173825,0.240000
1656,-97.941035,29.882041,48209010100,908,-97.94009,29.881982,48209010100,82.721088,0.240000
909,-97.940672,29.884244,48209010100,1668,-97.940445,29.882965,48209010100,20.660395,0.360000
1668,-97.940445,29.882965,48209010100,909,-97.940672,29.884244,48209010100,60.740237,0.360000
909,-97.940672,29.884244,48209010100,1280,-97.941438,29.884391,48209010100,25.337676,0.200000
1280,-97.941438,29.884391,48209010100,909,-97.940672,29.884244,48209010100,22.629111,0.200000
913,-97.941105,29.88739,48209010200,1902,-97.941802,29.886562,48209010200,56.810746,0.280000
1902,-97.941802,29.886562,48209010200,913,-97.941105,29.88739,48209010200,0.001999,0.280000
913,-97.941105,29.88739,48209010200,1905,-97.940314,29.886604,48209010200,7.801520,0.280000
1905,-97.940314,29.886604,48209010200,913,-97.941105,29.88739,48209010200,106.291357,0.280000
913,-97.941105,29.88739,48209010200,1906,-97.941299,29.888282,48209010200,21.209312,0.240000
1906,-97.941299,29.888282,48209010200,913,-97.941105,29.88739,48209010200,33.261216,0.240000
702,-97.939213,29.887069,48209010200,1896,-97.93914,29.885398,48209010100,1411.518917,0.480000
1896,-97.93914,29.885398,48209010100,702,-97.939213,29.887069,48209010200,3514.068207,0.480000
702,-97.939213,29.887069,48209010200,1897,-97.939234,29.88764,48209010200,2.491658,0.160000
1897,-97.939234,29.88764,48209010200,702,-97.939213,29.887069,48209010200,14.499372,0.160000
376,-97.738873,30.27864,48453000700,2780,-97.739643,30.276807,48453000700,324.770305,0.520000
2780,-97.739643,30.276807,48453000700,376,-97.738873,30.27864,48453000700,515.916103,0.520000
405,-97.74621,30.265461,48453001102,3048,-97.746952,30.265967,48453001102,335.291979,0.240000
3048,-97.746952,30.265967,48453001102,405,-97.74621,30.265461,48453001102,277.240783,0.240000
849,-97.748407,30.269483,48453001102,3023,-97.747413,30.268103,48453001102,109.437297,0.440000
3023,-97.747413,30.268103,48453001102,849,-97.748407,30.269483,48453001102,282.650029,0.440000
