Tail,Tail_x,Tail_y,Tail_geoid,Head,Head_x,Head_y,Head_geoid,Flow,Cost
719,-97.942473,29.884042,48209010100,1259,-97.942571,29.884912,48209010100,19.746409,0.240000
1259,-97.942571,29.884912,48209010100,719,-97.942473,29.884042,48209010100,0.992779,0.240000
909,-97.940672,29.884244,48209010100,1260,-97.940536,29.88521,48209010100,6.912948,0.280000
1260,-97.940536,29.88521,48209010100,909,-97.940672,29.884244,48209010100,37.405999,0.280000
705,-97.945474,29.88051,48209010100,1528,-97.943378,29.881903,48209010100,169.719093,0.640000
1528,-97.943378,29.881903,48209010100,705,-97.945474,29.88051,48209010100,348.970539,0.640000
719,-97.942473,29.884042,48209010100,1278,-97.94376,29.883846,48209010100,7.975856,0.320000
1278,-97.94376,29.883846,48209010100,719,-97.942473,29.884042,48209010100,9.973905,0.320000
705,-97.945474,29.88051,48209010100,1577,-97.94591,29.878314,48209010100,70.959237,0.600000
1577,-97.94591,29.878314,48209010100,705,-97.945474,29.88051,48209010100,83.106080,0.600000
705,-97.945474,29.88051,48209010100,1581,-97.947202,29.880625,48209010100,178.391921,0.400000
1581,-97.947202,29.880625,48209010100,705,-97.945474,29.88051,48209010100,283.675774,0.400000
910,-97.939316,29.875972,48209010500,1632,-97.93981,29.875412,48209010500,111.040945,0.200000
1632,-97.93981,29.875412,48209010500,910,-97.939316,29.875972,48209010500,384.664300,0.200000
704,-97.942358,29.881756,48209010100,1655,-97.942005,29.879804,48209010500,31.976303,0.560000
1655,-97.942005,29.879804,48209010500,704,-97.942358,29.881756,48209010100,45.983998,0.560000
908,-97.94009,29.881982,48209010100,1652,-97.939989,29.88011,48209010500,0.000000,0.520000
1652,-97.939989,29.88011,48209010500,908,-97.94009,29.881982,48209010100,0.000000,0.520000
704,-97.942358,29.881756,48209010100,1664,-97.942749,29.88265,48209010100,56.066832,0.280000
1664,-97.942749,29.88265,48209010100,704,-97.942358,29.881756,48209010100,52.767421,0.280000
704,-97.942358,29.881756,48209010100,1665,-97.941092,29.882348,48209010100,0.000000,0.360000
1665,-97.941092,29.882348,48209010100,704,-97.942358,29.881756,48209010100,90.122418,0.360000
719,-97.942473,29.884042,48209010100,1280,-97.941438,29.884391,48209010100,82.508573,0.280000
1280,-97.941438,29.884391,48209010100,719,-97.942473,29.884042,48209010100,30.646354,0.280000
704,-97.942358,29.881756,48209010100,1654,-97.943323,29.88144,48209010100,2.987202,0.240000
1654,-97.943323,29.88144,48209010100,704,-97.942358,29.881756,48209010100,3.040910,0.240000
719,-97.942473,29.884042,48209010100,1667,-97.942407,29.882698,48209010100,18.845940,0.360000
1667,-97.942407,29.882698,48209010100,719,-97.942473,29.884042,48209010100,136.579366,0.360000
908,-97.94009,29.881982,48209010100,1656,-97.941035,29.882041,48209010100,22.898107,0.240000
1656,-97.941035,29.882041,48209010100,908,-97.94009,29.881982,48209010100,46.484266,0.240000
909,-97.940672,29.884244,48209010100,1668,-97.940445,29.882965,48209010100,16.296619,0.360000
1668,-97.940445,29.882965,48209010100,909,-97.940672,29.884244,48209010100,36.920598,0.360000
909,-97.940672,29.884244,48209010100,1280,-97.941438,29.884391,48209010100,46.917896,0.200000
1280,-97.941438,29.884391,48209010100,909,-97.940672,29.884244,48209010100,10.085744,0.200000
913,-97.941105,29.88739,48209010200,1902,-97.941802,29.886562,48209010200,62.019201,0.280000
1902,-97.941802,29.886562,48209010200,913,-97.941105,29.88739,48209010200,0.000000,0.280000
913,-97.941105,29.88739,48209010200,1905,-97.940314,29.886604,48209010200,3.992897,0.280000
1905,-97.940314,29.886604,48209010200,913,-97.941105,29.88739,48209010200,65.733474,0.280000
913,-97.941105,29.88739,48209010200,1906,-97.941299,29.888282,48209010200,13.000188,0.240000
1906,-97.941299,29.888282,48209010200,913,-97.941105,29.88739,48209010200,18.854684,0.240000
702,-97.939213,29.887069,48209010200,1896,-97.93914,29.885398,48209010100,1300.984170,0.480000
1896,-97.93914,29.885398,48209010100,702,-97.939213,29.887069,48209010200,2182.535265,0.480000
702,-97.939213,29.887069,48209010200,1897,-97.939234,29.88764,48209010200,1.000137,0.160000
1897,-97.939234,29.88764,48209010200,702,-97.939213,29.887069,48209010200,5.055134,0.160000
376,-97.738873,30.27864,48453000700,2780,-97.739643,30.276807,48453000700,63.551353,0.520000
2780,-97.739643,30.276807,48453000700,376,-97.738873,30.27864,48453000700,88.267777,0.520000
405,-97.74621,30.265461,48453001102,3048,-97.746952,30.265967,48453001102,7.433038,0.240000
3048,-97.746952,30.265967,48453001102,405,-97.74621,30.265461,48453001102,34.565805,0.240000
849,-97.748407,30.269483,48453001102,3023,-97.747413,30.268103,48453001102,8.661933,0.440000
3023,-97.747413,30.268103,48453001102,849,-97.748407,30.269483,48453001102,6.113056,0.440000
849,-97.748407,30.269483,48453001102,3172,-97.749152,30.269871,48453001101,6.610057,0.200000
3172,-97.749152,30.269871,48453001101,849,-97.748407,30.269483,48453001102,54.970752,0.200000
849,-97.748407,30.269483,48453001102,3050,-97.746957,30.270073,48453001101,3.194717,0.400000
3050,-97.746957,30.270073,48453001101,849,-97.748407,30.269483,48453001102,0.000000,0.400000
379,-97.740184,30.270625,48453001101,3303,-97.738686,30.270825,48453001101,12.258757,0.360000
3303,-97.738686,30.270825,48453001101,379,-97.740184,30.270625,48453001101,56.130097,0.360000
379,-97.740184,30.270625,48453001101,3304,-97.740772,30.268341,48453001101,14.781447,0.640000
3304,-97.740772,30.268341,48453001101,379,-97.740184,30.270625,48453001101,66.547350,0.640000
377,-97.740269,30.274993,48453000700,3309,-97.73713,30.275019,48453000700,21.473761,0.760000
3309,-97.73713,30.275019,48453000700,377,-97.740269,30.274993,48453000700,30.218169,0.760000
382,-97.738381,30.266557,48453001103,3311,-97.740092,30.267027,48453001103,0.261924,0.440000
3311,-97.740092,30.267027,48453001103,382,-97.738381,30.266557,48453001103,0.014845,0.440000
405,-97.74621,30.265461,48453001102,3046,-97.746417,30.26374,48453001102,12.818619,0.480000
3046,-97.746417,30.26374,48453001102,405,-97.74621,30.265461,48453001102,7.802161,0.480000
405,-97.74621,30.265461,48453001102,3324,-97.743505,30.265003,48453001103,0.914438,0.640000
3324,-97.743505,30.265003,48453001103,405,-97.74621,30.265461,48453001102,0.017408,0.640000
380,-97.744601,30.268129,48453001102,3327,-97.74247,30.267767,48453001103,0.038814,0.520000
3327,-97.74247,30.267767,48453001103,380,-97.744601,30.268129,48453001102,0.041718,0.520000
406,-97.742416,30.264483,48453001103,3328,-97.742929,30.26276,48453001103,0.031693,0.480000
3328,-97.742929,30.26276,48453001103,406,-97.742416,30.264483,48453001103,0.000000,0.480000
406,-97.742416,30.264483,48453001103,3329,-97.74156,30.26646,48453001103,0.067521,0.600000
3329,-97.74156,30.26646,48453001103,406,-97.742416,30.264483,48453001103,0.380663,0.600000
406,-97.742416,30.264483,48453001103,3324,-97.743505,30.265003,48453001103,12.084839,0.280000
3324,-97.743505,30.265003,48453001103,406,-97.742416,30.264483,48453001103,62.686285,0.280000
405,-97.74621,30.265461,48453001102,3335,-97.745092,30.267456,48453001102,3.386562,0.600000
3335,-97.745092,30.267456,48453001102,405,-97.74621,30.265461,48453001102,11.427408,0.600000
380,-97.744601,30.268129,48453001102,3053,-97.745963,30.26867,48453001102,16.146043,0.360000
3053,-97.745963,30.26867,48453001102,380,-97.744601,30.268129,48453001102,105.705983,0.360000
380,-97.744601,30.268129,48453001102,3325,-97.744177,30.267205,48453001102,20.352158,0.280000
3325,-97.744177,30.267205,48453001102,380,-97.744601,30.268129,48453001102,19.802511,0.280000
380,-97.744601,30.268129,48453001102,3297,-97.74345,30.269081,48453001101,8.682074,0.400000
3297,-97.74345,30.269081,48453001101,380,-97.744601,30.268129,48453001102,32.261954,0.400000
406,-97.742416,30.264483,48453001103,3331,-97.741224,30.264046,48453001103,23.377886,0.320000
3331,-97.741224,30.264046,48453001103,406,-97.742416,30.264483,48453001103,35.585457,0.320000
381,-97.741182,30.267364,48453001103,3327,-97.74247,30.267767,48453001103,0.947716,0.320000
3327,-97.74247,30.267767,48453001103,381,-97.741182,30.267364,48453001103,0.234979,0.320000
381,-97.741182,30.267364,48453001103,3304,-97.740772,30.268341,48453001101,20.505103,0.280000
3304,-97.740772,30.268341,48453001101,381,-97.741182,30.267364,48453001103,47.130897,0.280000
381,-97.741182,30.267364,48453001103,3311,-97.740092,30.267027,48453001103,24.959134,0.280000
3311,-97.740092,30.267027,48453001103,381,-97.741182,30.267364,48453001103,47.297625,0.280000
381,-97.741182,30.267364,48453001103,3329,-97.74156,30.26646,48453001103,8.692006,0.280000
3329,-97.74156,30.26646,48453001103,381,-97.741182,30.267364,48453001103,38.444067,0.280000
378,-97.743373,30.271875,48453001101,3322,-97.742775,30.27095,48453001101,8.749680,0.280000
3322,-97.742775,30.27095,48453001101,378,-97.743373,30.271875,48453001101,9.376090,0.280000
378,-97.743373,30.271875,48453001101,3337,-97.742107,30.272779,48453001101,2.476569,0.400000
3337,-97.742107,30.272779,48453001101,378,-97.743373,30.271875,48453001101,11.920522,0.400000
377,-97.740269,30.274993,48453000700,2779,-97.743195,30.276069,48453000700,3.595707,0.760000
2779,-97.743195,30.276069,48453000700,377,-97.740269,30.274993,48453000700,24.637421,0.760000
378,-97.743373,30.271875,48453001101,3341,-97.744542,30.272475,48453001101,5.267207,0.320000
3341,-97.744542,30.272475,48453001101,378,-97.743373,30.271875,48453001101,53.885720,0.320000
379,-97.740184,30.270625,48453001101,3343,-97.741096,30.271477,48453001101,14.729519,0.320000
3343,-97.741096,30.271477,48453001101,379,-97.740184,30.270625,48453001101,62.825698,0.320000
379,-97.740184,30.270625,48453001101,3307,-97.739349,30.272069,48453001101,0.000000,0.440000
3307,-97.739349,30.272069,48453001101,379,-97.740184,30.270625,48453001101,0.168179,0.440000
377,-97.740269,30.274993,48453000700,2780,-97.739643,30.276807,48453000700,4.569812,0.520000
2780,-97.739643,30.276807,48453000700,377,-97.740269,30.274993,48453000700,51.438737,0.520000
382,-97.738381,30.266557,48453001103,3312,-97.738174,30.267616,48453001101,3.040136,0.280000
3312,-97.738174,30.267616,48453001101,382,-97.738381,30.266557,48453001103,3.972934,0.280000
382,-97.738381,30.266557,48453001103,3299,-97.738673,30.265681,48453001103,9.577305,0.240000
3299,-97.738673,30.265681,48453001103,382,-97.738381,30.266557,48453001103,9.609536,0.240000
382,-97.738381,30.266557,48453001103,3345,-97.73691,30.265964,48453001103,0.000000,0.400000
3345,-97.73691,30.265964,48453001103,382,-97.738381,30.266557,48453001103,9.180033,0.400000
384,-97.733763,30.27371,48453000700,3357,-97.734578,30.273141,48453000700,23.100950,0.240000
3357,-97.734578,30.273141,48453000700,384,-97.733763,30.27371,48453000700,55.932899,0.240000
383,-97.736137,30.270537,48453001101,3314,-97.73793,30.269638,48453001101,3.273861,0.480000
