Tail,Tail_x,Tail_y,Tail_geoid,Head,Head_x,Head_y,Head_geoid,Flow,Cost
719,-97.942473,29.884042,48209010100,1259,-97.942571,29.884912,48209010100,39.494145,0.240000
1259,-97.942571,29.884912,48209010100,719,-97.942473,29.884042,48209010100,1.746194,0.240000
909,-97.940672,29.884244,48209010100,1260,-97.940536,29.88521,48209010100,11.835258,0.280000
1260,-97.940536,29.88521,48209010100,909,-97.940672,29.884244,48209010100,65.727479,0.280000
705,-97.945474,29.88051,48209010100,1528,-97.943378,29.881903,48209010100,249.967810,0.640000
1528,-97.943378,29.881903,48209010100,705,-97.945474,29.88051,48209010100,457.217329,0.640000
719,-97.942473,29.884042,48209010100,1278,-97.94376,29.883846,48209010100,24.822122,0.320000
1278,-97.94376,29.883846,48209010100,719,-97.942473,29.884042,48209010100,18.916273,0.320000
705,-97.945474,29.88051,48209010100,1577,-97.94591,29.878314,48209010100,30.217945,0.600000
1577,-97.94591,29.878314,48209010100,705,-97.945474,29.88051,48209010100,238.821676,0.600000
705,-97.945474,29.88051,48209010100,1581,-97.947202,29.880625,48209010100,138.814245,0.400000
1581,-97.947202,29.880625,48209010100,705,-97.945474,29.88051,48209010100,457.486880,0.400000
910,-97.939316,29.875972,48209010500,1632,-97.93981,29.875412,48209010500,76.712996,0.200000
1632,-97.93981,29.875412,48209010500,910,-97.939316,29.875972,48209010500,6.699347,0.200000
704,-97.942358,29.881756,48209010100,1655,-97.942005,29.879804,48209010500,11.338485,0.560000
1655,-97.942005,29.879804,48209010500,704,-97.942358,29.881756,48209010100,85.271497,0.560000
908,-97.94009,29.881982,48209010100,1652,-97.939989,29.88011,48209010500,0.000000,0.520000
1652,-97.939989,29.88011,48209010500,908,-97.94009,29.881982,48209010100,0.003632,0.520000
704,-97.942358,29.881756,48209010100,1664,-97.942749,29.88265,48209010100,74.033501,0.280000
1664,-97.942749,29.88265,48209010100,704,-97.942358,29.881756,48209010100,87.339543,0.280000
704,-97.942358,29.881756,48209010100,1665,-97.941092,29.882348,48209010100,0.000000,0.360000
1665,-97.941092,29.882348,48209010100,704,-97.942358,29.881756,48209010100,148.801650,0.360000
719,-97.942473,29.884042,48209010100,1280,-97.941438,29.884391,48209010100,47.402387,0.280000
1280,-97.941438,29.884391,48209010100,719,-97.942473,29.884042,48209010100,65.353315,0.280000
704,-97.942358,29.881756,48209010100,1654,-97.943323,29.88144,48209010100,5.628014,0.240000
1654,-97.943323,29.88144,48209010100,704,-97.942358,29.881756,48209010100,6.522874,0.240000
719,-97.942473,29.884042,48209010100,1667,-97.942407,29.882698,48209010100,17.281346,0.360000
1667,-97.942407,29.882698,48209010100,719,-97.942473,29.884042,48209010100,205.891985,0.360000
908,-97.94009,29.881982,48209010100,1656,-97.941035,29.882041,48209010100,6.739346,0.240000
1656,-97.941035,29.882041,48209010100,908,-97.94009,29.881982,48209010100,77.394493,0.240000
909,-97.940672,29.884244,48209010100,1668,-97.940445,29.882965,48209010100,19.512588,0.360000
1668,-97.940445,29.882965,48209010100,909,-97.940672,29.884244,48209010100,57.720404,0.360000
909,-97.940672,29.884244,48209010100,1280,-97.941438,29.884391,48209010100,23.475870,0.200000
1280,-97.941438,29.884391,48209010100,909,-97.940672,29.884244,48209010100,20.305419,0.200000
913,-97.941105,29.88739,48209010200,1902,-97.941802,29.886562,48209010200,53.031762,0.280000
1902,-97.941802,29.886562,48209010200,913,-97.941105,29.88739,48209010200,0.000000,0.280000
913,-97.941105,29.88739,48209010200,1905,-97.940314,29.886604,48209010200,6.930051,0.280000
1905,-97.940314,29.886604,48209010200,913,-97.941105,29.88739,48209010200,101.694786,0.280000
913,-97.941105,29.88739,48209010200,1906,-97.941299,29.888282,48209010200,19.038187,0.240000
1906,-97.941299,29.888282,48209010200,913,-97.941105,29.88739,48209010200,30.523624,0.240000
702,-97.939213,29.887069,48209010200,1896,-97.93914,29.885398,48209010100,1299.794618,0.480000
1896,-97.93914,29.885398,48209010100,702,-97.939213,29.887069,48209010200,3400.390744,0.480000
702,-97.939213,29.887069,48209010200,1897,-97.939234,29.88764,48209010200,2.205382,0.160000
1897,-97.939234,29.88764,48209010200,702,-97.939213,29.887069,48209010200,10.095156,0.160000
376,-97.738873,30.27864,48453000700,2780,-97.739643,30.276807,48453000700,282.280561,0.520000
2780,-97.739643,30.276807,48453000700,376,-97.738873,30.27864,48453000700,469.776469,0.520000
405,-97.74621,30.265461,48453001102,3048,-97.746952,30.265967,48453001102,303.299067,0.240000
3048,-97.746952,30.265967,48453001102,405,-97.74621,30.265461,48453001102,259.633461,0.240000
849,-97.748407,30.269483,48453001102,3023,-97.747413,30.268103,48453001102,99.550513,0.440000
3023,-97.747413,30.268103,48453001102,849,-97.748407,30.269483,48453001102,251.450801,0.440000
849,-97.748407,30.269483,48453001102,3172,-97.749152,30.269871,48453001101,163.317105,0.200000
3172,-97.749152,30.269871,48453001101,849,-97.748407,30.269483,48453001102,471.710744,0.200000
849,-97.748407,30.269483,48453001102,3050,-97.746957,30.270073,48453001101,228.132381,0.400000
3050,-97.746957,30.270073,48453001101,849,-97.748407,30.269483,48453001102,0.000000,0.400000
379,-97.740184,30.270625,48453001101,3303,-97.738686,30.270825,48453001101,615.587910,0.360000
3303,-97.738686,30.270825,48453001101,379,-97.740184,30.270625,48453001101,1191.745160,0.360000
379,-97.740184,30.270625,48453001101,3304,-97.740772,30.268341,48453001101,305.693561,0.640000
3304,-97.740772,30.268341,48453001101,379,-97.740184,30.270625,48453001101,1209.105684,0.640000
377,-97.740269,30.274993,48453000700,3309,-97.73713,30.275019,48453000700,117.819625,0.760000
3309,-97.73713,30.275019,48453000700,377,-97.740269,30.274993,48453000700,670.139775,0.760000
382,-97.738381,30.266557,48453001103,3311,-97.740092,30.267027,48453001103,185.452198,0.440000
3311,-97.740092,30.267027,48453001103,382,-97.738381,30.266557,48453001103,4.623003,0.440000
405,-97.74621,30.265461,48453001102,3046,-97.746417,30.26374,48453001102,140.956962,0.480000
3046,-97.746417,30.26374,48453001102,405,-97.74621,30.265461,48453001102,369.070713,0.480000
405,-97.74621,30.265461,48453001102,3324,-97.743505,30.265003,48453001103,10.806576,0.640000
3324,-97.743505,30.265003,48453001103,405,-97.74621,30.265461,48453001102,8.776353,0.640000
380,-97.744601,30.268129,48453001102,3327,-97.74247,30.267767,48453001103,20.775791,0.520000
3327,-97.74247,30.267767,48453001103,380,-97.744601,30.268129,48453001102,21.188312,0.520000
406,-97.742416,30.264483,48453001103,3328,-97.742929,30.26276,48453001103,0.000000,0.480000
3328,-97.742929,30.26276,48453001103,406,-97.742416,30.264483,48453001103,0.000000,0.480000
406,-97.742416,30.264483,48453001103,3329,-97.74156,30.26646,48453001103,47.667062,0.600000
3329,-97.74156,30.26646,48453001103,406,-97.742416,30.264483,48453001103,15.024758,0.600000
406,-97.742416,30.264483,48453001103,3324,-97.743505,30.265003,48453001103,332.354710,0.280000
3324,-97.743505,30.265003,48453001103,406,-97.742416,30.264483,48453001103,731.903995,0.280000
