Origin,Origin_x,Origin_y,Origin_geoid,P_r_aug,Total_Demand,Demand_Not_Traveling,Total_Travel_Time,Average_Travel_Time
1,-97.861763,30.550045,48491020338,824.907098,322.247644,502.659454,13615.444299,42.251494
2,-97.873341,30.595955,48491020342,373.122118,118.000243,255.121875,5260.180846,44.577712
3,-97.842574,30.537706,48491020325,959.882146,477.307245,482.574901,16858.029458,35.319031
4,-97.967226,30.531993,48453036300,2495.444620,2115.729673,379.714947,177529.498789,83.909349
5,-97.901257,30.49655,48453037500,553.806735,360.949854,192.856881,19819.349139,54.908871
6,-97.882086,30.460701,48453035600,2907.036338,1661.854313,1245.182025,79234.827320,47.678564
7,-97.827879,30.498174,48491020336,1999.118701,984.385728,1014.732973,36508.109521,37.087199
8,-98.083907,30.434403,48453035200,461.778199,292.099449,169.678750,61594.894326,210.869601
9,-98.053644,30.488843,48453036400,340.228261,187.799590,152.428671,30229.612858,160.967406
10,-97.968645,30.405429,48453037600,2456.675802,1822.920489,633.755313,1630653.114220,894.527833
11,-98.056627,30.367501,48453035300,958.111658,567.514020,390.597638,112579.502076,198.373076
12,-97.941993,30.421566,48453031400,1900.855891,1109.377292,791.478599,83664.546213,75.415773
13,-97.888347,30.416288,48453035800,558.323509,315.526904,242.796605,28472.995631,90.239518
14,-97.839977,30.449261,48453035800,925.259526,385.506091,539.753435,17372.607199,45.064417
15,-97.83899,30.398674,48453034600,635.724858,388.052660,247.672198,20118.602068,51.845031
16,-98.076591,30.33372,48453036500,2867.945826,1654.506632,1213.439194,289119.457035,174.746629
17,-97.972406,30.320471,48453037000,908.793155,320.630699,588.162456,36119.211825,112.650510
18,-98.009337,30.349621,48453035400,1649.915410,666.482020,983.433390,107695.478252,161.587972
19,-97.984566,30.367501,48453033100,7746.198950,4399.004965,3347.193985,532357.298871,121.017663
20,-97.926677,30.382464,48453031500,1403.302125,705.117911,698.184214,75709.218789,107.371005
21,-97.937276,30.351176,48453031500,597.509903,279.130846,318.379057,31410.245394,112.528751
22,-97.86814,30.373525,48453035000,353.643761,176.423760,177.220001,10231.973488,57.996573
23,-97.834683,30.374974,48453032900,800.287488,424.942717,375.344771,17525.193714,41.241309
24,-97.845706,30.351794,48453032900,896.593271,450.475314,446.117957,18913.231302,41.985056
25,-97.974997,30.221922,48453036600,198.142707,90.450719,107.691988,8424.965901,93.144266
26,-97.964299,30.292875,48453036600,1109.886324,384.371213,725.515111,44357.870738,115.403727
27,-97.939978,30.32358,48453034000,490.700541,157.066144,333.634397,17007.054648,108.279571
28,-97.905759,30.343668,48453035100,371.004944,158.499026,212.505918,16454.488232,103.814444
29,-97.89921,30.321831,48453034000,935.108578,666.475507,268.633071,141070.757823,211.666830
30,-97.705243,30.653697,48491020121,633.434482,232.154348,401.280134,9487.570930,40.867513
31,-97.869942,30.344763,48453033900,1554.418604,1048.215091,506.203513,222734.124884,212.488951
32,-97.858595,30.332143,48453033900,664.513953,444.750614,219.763339,92334.103536,207.608715
33,-97.841425,30.318718,48453001912,847.099623,308.295908,538.803715,9747.163082,31.616258
34,-97.832125,30.30131,48453001912,341.058113,118.975646,222.082467,4360.727915,36.652274
35,-97.919182,30.304379,48453001916,202.743902,69.492893,133.251009,4569.022998,65.748061
36,-97.888816,30.298805,48453001916,800.162602,306.698844,493.463758,19960.389115,65.081397
37,-97.921387,30.352597,48453031500,1377.266835,1034.711371,342.555464,187101.050852,180.824388
38,-97.871556,30.308173,48453001916,433.871951,155.178149,278.693802,9663.521104,62.273723
39,-97.779089,30.351189,48453030700,1507.283050,430.025907,1077.257143,12188.864168,28.344488
40,-97.744053,30.384802,48453030100,327.362370,52.743336,274.619034,1499.194023,28.424331
41,-97.833651,30.288711,48453001917,918.255061,575.341688,342.913373,23828.714080,41.416630
42,-97.902792,30.286234,48453001921,199.303443,45.527938,153.775505,1665.998232,36.592877
43,-98.013199,30.272366,48453036600,231.166492,120.453006,110.713486,15567.649477,129.242515
44,-97.879621,30.286428,48453001921,207.018415,107.542532,99.475883,4041.575079,37.581178
45,-97.899068,30.267169,48453001920,107.241474,39.683421,67.558053,1474.477465,37.156007
46,-97.86426,30.287223,48453001921,694.347478,397.036940,297.310538,15941.405939,40.150939
47,-97.665825,30.513457,48491020701,537.148515,189.852534,347.295981,6170.852727,32.503399
48,-97.703502,30.308846,48453002105,727.552279,192.932062,534.620217,3873.537243,20.077209
49,-97.843688,30.286457,48453001917,889.469635,561.409834,328.059801,23282.869298,41.472144
50,-97.836009,30.279555,48453001917,1197.473684,737.105413,460.368271,29854.855681,40.502831
51,-97.932402,30.205053,48453031100,181.249428,68.413964,112.835464,2527.647590,36.946369
52,-97.873192,30.273341,48453001921,299.598078,98.270286,201.327792,3325.470819,33.840044
53,-97.909655,30.196482,48453036700,349.970249,147.609616,202.360633,5445.711237,36.892659
54,-97.901713,30.172804,48453033300,83.731557,29.915991,53.815566,959.573563,32.075606
55,-97.851746,30.260857,48453001914,291.144279,96.617573,194.526706,3037.572390,31.439129
56,-97.829376,30.259205,48453001914,247.472637,78.872176,168.600461,2421.145801,30.697084
57,-97.825581,30.247459,48453001914,2491.930347,842.506184,1649.424163,24109.011971,28.615828
58,-97.819398,30.235346,48453001915,23.215465,4.205636,19.009829,147.542885,35.082178
59,-97.895281,30.25396,48453001920,66.272821,24.098089,42.174732,801.130304,33.244558
60,-97.879541,30.24144,48453001920,196.408543,81.565827,114.842716,2653.856902,32.536382
61,-97.872037,30.246756,48453001920,774.789528,304.172768,470.616760,9622.208116,31.634022
62,-97.858211,30.245081,48453001915,647.301802,194.828950,452.472852,6044.094439,31.022568
63,-97.852166,30.240247,48453001915,662.323574,204.321355,458.002219,6155.847379,30.128262
64,-97.928478,30.267416,48453036600,419.258482,117.375864,301.882618,4868.749957,41.479993
65,-97.93101,30.237106,48453036600,643.245890,328.421684,314.824206,17726.704899,53.975440
66,-97.915824,30.244016,48453033000,396.320475,225.388570,170.931905,11017.157378,48.880728
67,-97.909155,30.249879,48453033000,324.035608,144.087639,179.947969,5462.876382,37.913567
68,-97.892018,30.238308,48453033000,2790.445105,1381.549776,1408.895329,51249.709046,37.095811
69,-97.985156,30.244942,48453036600,272.805177,127.278919,145.526258,9622.372569,75.600678
70,-97.943499,30.250014,48453036600,89.020637,37.487951,51.532686,2417.989327,64.500439
71,-97.954558,30.209143,48453031100,206.540046,102.964230,103.575816,9372.393375,91.025722
72,-97.947086,30.21593,48453031100,282.411899,141.997845,140.414054,10442.053681,73.536705
73,-97.905353,30.221875,48453031100,1157.748284,420.657280,737.091004,15990.291411,38.012634
74,-97.884729,30.210384,48453034800,2428.391463,1064.889988,1363.501475,34506.173766,32.403510
75,-97.883969,30.222138,48453034700,1062.448980,356.892725,705.556255,11892.512928,33.322374
76,-97.928999,30.22221,48453031100,341.423341,166.235585,175.187756,9719.671869,58.469261
77,-97.858915,30.230631,48453032000,201.417112,66.538492,134.878620,1925.061921,28.931553
78,-97.850001,30.229226,48453032000,1445.975936,490.108509,955.867427,13960.472334,28.484452
79,-97.839501,30.232836,48453032000,1871.189840,640.692024,1230.497816,17313.138333,27.022559
80,-97.835974,30.224841,48453032000,621.657754,211.951686,409.706068,5700.244113,26.894073
81,-97.862221,30.225853,48453031200,554.846939,207.714533,347.132406,5871.327917,28.266332
82,-97.865677,30.217987,48453031200,1201.530612,477.139548,724.391064,14207.554660,29.776519
83,-97.849136,30.220626,48453031200,589.285714,210.892261,378.393453,5925.466365,28.097126
84,-97.858294,30.214768,48453031200,570.153061,239.320924,330.832137,6982.143590,29.174815
85,-97.836175,30.214574,48453033400,282.864198,121.074944,161.789254,2874.596262,23.742289
86,-97.845563,30.206238,48453033500,3525.411447,1759.636862,1765.774585,50505.373887,28.702157
87,-97.773059,30.39592,48453032600,316.508781,121.660382,194.848399,3575.844675,29.392022
88,-97.872225,30.20472,48453034800,919.718376,335.295359,584.423017,10471.841056,31.231691
89,-97.858353,30.188692,48453031300,2408.519933,1021.181855,1387.338078,31444.925728,30.792680
90,-97.937337,30.194893,48453031100,74.466819,32.652059,41.814760,1627.172254,49.833680
91,-97.920445,30.209985,48453031100,189.679634,77.899960,111.779674,2759.822102,35.427773
92,-97.895714,30.191616,48453036700,698.523615,335.780058,362.743557,11337.007941,33.763196
93,-97.914187,30.179056,48453033300,20.211066,6.563249,13.647817,224.762215,34.245571
94,-97.890011,30.183883,48453036800,2156.911141,1066.309499,1090.601642,37729.770871,35.383508
95,-97.809077,30.342242,48453001912,715.390189,303.025609,412.364580,9058.062213,29.892068
96,-97.868659,30.166515,48453033300,1384.457992,801.310851,583.147141,35292.783776,44.043811
97,-97.866404,30.152804,48453033300,421.545082,213.205641,208.339441,8956.175598,42.007217
98,-97.829257,30.204417,48453031000,2168.663643,1038.105825,1130.557818,30184.824871,29.076828
99,-97.841393,30.188004,48453031700,1431.567729,656.520633,775.047096,19175.225737,29.207347
100,-97.842194,30.17107,48453031900,1620.010231,682.835394,937.174837,20843.049916,30.524267
101,-97.854535,30.164297,48453037100,3420.459708,1825.413745,1595.045963,79037.031188,43.298146
102,-97.842915,30.133666,48453033200,927.871664,581.405803,346.465861,22488.632183,38.679752
103,-97.832171,30.599148,48491020340,511.286269,204.427600,306.858669,8546.621931,41.807574
104,-97.799189,30.579994,48491020339,107.821698,29.056745,78.764953,1089.561193,37.497704
105,-97.756155,30.589421,48491020604,404.996740,124.100476,280.896264,4565.850877,36.791566
106,-97.692748,30.614041,48491020604,1174.118989,408.810189,765.308800,16429.152924,40.187729
107,-97.663039,30.627603,48491021405,918.885839,324.336228,594.549611,13508.870822,41.650823
108,-97.671384,30.575265,48491021510,98.012125,19.613939,78.398186,665.911041,33.950908
109,-97.644672,30.569989,48491021516,90.533708,19.540738,70.992970,971.387097,49.710870
110,-97.803089,30.522036,48491020350,762.199061,263.498776,498.700285,9814.714813,37.247668
111,-97.768768,30.518674,48491020345,1180.127749,336.697605,843.430144,13964.408412,41.474629
112,-97.737027,30.527329,48491020310,1714.180145,506.442694,1207.737451,19202.342769,37.916122
113,-97.739952,30.542739,48491020606,657.910448,183.085183,474.825265,7039.130633,38.447298
114,-97.693987,30.540723,48491020607,23.911634,2.939330,20.972304,136.803680,46.542465
115,-97.683218,30.544608,48491021513,733.251694,336.093134,397.158560,9928.461519,29.540804
116,-97.664092,30.550837,48491021515,4378.240739,1430.625457,2947.615282,57898.271550,40.470601
117,-97.811989,30.480535,48491020356,727.565291,277.590743,449.974548,9314.709697,33.555549
118,-97.806242,30.471692,48491020334,1813.473570,451.044654,1362.428916,16054.686956,35.594451
119,-97.793977,30.500992,48491020311,180.974047,38.706517,142.267530,1421.749612,36.731531
120,-97.758083,30.483751,48491020508,1883.746994,616.876644,1266.870350,23309.807192,37.786821
121,-97.733466,30.506262,48491020515,5249.700914,2198.133909,3051.567005,73968.739068,33.650697
122,-97.710151,30.516396,48491020505,2198.204651,546.521906,1651.682745,19744.522056,36.127595
123,-97.699474,30.526432,48491020602,2308.364605,846.253884,1462.110721,28872.460528,34.117965
124,-97.693185,30.529538,48491020602,22.575693,5.053815,17.521878,169.568883,33.552649
125,-97.677935,30.530948,48491021502,2131.627605,871.205248,1260.422357,30129.278431,34.583445
126,-97.657977,30.537547,48491021518,846.573484,298.790047,547.783437,10821.185906,36.216688
127,-97.628339,30.537873,48491021511,1689.127962,745.464353,943.663609,25936.612428,34.792559
128,-97.687699,30.525447,48491021503,476.928000,151.320421,325.607579,4210.288925,27.823667
129,-97.674702,30.522907,48491021503,1367.856001,600.753757,767.102244,18792.946903,31.282279
130,-97.660354,30.527937,48491021517,2305.745819,1518.285261,787.460558,45203.091552,29.772463
131,-97.684306,30.514658,48491021503,145.728000,45.903562,99.824438,1180.689587,25.721088
132,-97.675414,30.517125,48491021503,249.504000,87.335659,162.168341,2192.925655,25.109167
133,-97.609093,30.468471,48453046100,413.687861,134.759728,278.928133,4374.793564,32.463657
134,-97.649805,30.51606,48491021511,310.631517,123.896868,186.734649,3659.682182,29.538133
135,-97.690696,30.520364,48491020602,310.415778,88.315107,222.100671,2436.981945,27.594169
136,-97.681971,30.510451,48491020701,200.856816,40.109038,160.747778,1035.465545,25.816265
137,-97.675429,30.512392,48491020701,407.452399,127.840598,279.611801,3852.673414,30.136541
138,-97.659832,30.516269,48491020701,6.886519,1.435111,5.451408,54.933719,38.278374
139,-97.748408,30.477235,48491020503,55.616842,8.542172,47.074670,265.808257,31.117175
140,-97.699917,30.499365,48491020503,3886.557893,940.061360,2946.496533,34058.582843,36.230170
141,-97.681264,30.506831,48491020701,112.479817,22.567480,89.912337,553.482190,24.525653
142,-97.687935,30.489825,48491020512,1880.556492,897.073866,983.482626,25315.410616,28.219985
143,-97.678514,30.500887,48491020701,325.961919,92.459735,233.502184,2834.656434,30.658280
144,-97.668835,30.503811,48491020704,1480.318716,673.053105,807.265611,20505.881457,30.466959
145,-97.648706,30.505463,48491020712,3539.618574,1279.660444,2259.958130,44066.998781,34.436478
146,-97.621085,30.512273,48491020706,3916.062897,1302.422147,2613.640750,51147.357453,39.270952
147,-97.698393,30.481309,48491020513,38.369822,8.095015,30.274807,261.824666,32.343937
148,-97.683939,30.482178,48491020512,744.868465,328.248871,416.619594,8497.773588,25.888204
149,-97.669035,30.488674,48491020709,2553.066875,775.824943,1777.241932,25207.604992,32.491357
150,-97.631009,30.492029,48491020713,1455.172632,699.550103,755.622529,21332.246741,30.494237
151,-97.816014,30.454371,48491020404,1664.758551,693.637836,971.120715,25226.365801,36.368209
152,-97.804425,30.460688,48491020403,1188.088889,385.348654,802.740235,14383.097246,37.324893
153,-97.786828,30.463568,48491020408,1822.672139,490.102002,1332.570137,18472.067876,37.690252
154,-97.769391,30.469152,48491020409,1193.744600,334.119217,859.625383,12508.726282,37.437913
155,-97.734708,30.465101,48491020411,584.089340,185.947594,398.141746,6149.453811,33.070897
156,-97.703262,30.473658,48491020513,122.085799,18.571935,103.513864,394.955610,21.266261
157,-97.68639,30.460659,48453045600,3119.980670,1141.838036,1978.142634,36193.142149,31.697264
158,-97.671883,30.453786,48453045700,1252.409091,382.655871,869.753220,11618.095894,30.361734
159,-97.654187,30.467254,48453046400,2283.165371,786.823456,1496.341915,24624.241589,31.295765
160,-97.635163,30.460126,48453042700,5877.647843,1941.510775,3936.137068,67400.052926,34.715261
161,-97.799555,30.452107,48491020405,2488.259450,1079.094283,1409.165167,37044.712960,34.329450
162,-97.78093,30.443651,48491020406,593.821313,181.216190,412.605123,5254.443170,28.995440
163,-97.785175,30.45527,48491020408,1697.880893,629.268787,1068.612106,23259.834317,36.963274
164,-97.771871,30.458188,48491020409,1279.012071,410.008668,869.003403,14863.140399,36.250796
165,-97.776564,30.449527,48491020406,1060.796107,449.444274,611.351833,15172.495355,33.758346
166,-97.763846,30.452449,48491020410,1880.827758,577.171949,1303.655809,21894.604490,37.934284
167,-97.704426,30.453141,48453043000,351.936805,87.330693,264.606112,2420.186569,27.712898
168,-97.76236,30.446519,48491020410,2877.978522,1177.287389,1700.691133,43836.161783,37.234886
169,-97.755978,30.442063,48491020411,2076.762097,722.214198,1354.547899,25646.169802,35.510476
170,-97.731102,30.442247,48453034100,747.412474,198.644323,548.768151,6069.792969,30.556086
171,-97.712671,30.43446,48453042000,1850.067628,436.690560,1413.377068,14165.965121,32.439366
172,-97.681327,30.444289,48453042300,2579.140187,905.618598,1673.521589,28967.177970,31.986068
173,-97.679807,30.431584,48453042900,2575.015429,1197.937075,1377.078354,32847.189850,27.419796
174,-97.654831,30.43806,48453044100,2548.476624,1049.261408,1499.215216,30397.061261,28.969960
175,-97.632319,30.429712,48453044400,5163.800764,2294.131479,2869.669285,74411.946994,32.435781
176,-97.613692,30.446884,48453046300,1115.360825,582.707803,532.653022,16756.037957,28.755472
177,-97.756928,30.412276,48453002500,2542.425742,874.950591,1667.475151,27412.556354,31.330405
178,-97.825646,30.440343,48453034300,2572.604344,1158.132824,1414.471520,45777.049973,39.526597
179,-97.812579,30.433092,48453034300,1247.025770,496.670404,750.355366,19448.508279,39.157776
180,-97.80419,30.426198,48453034300,1728.161697,720.151457,1008.010240,26210.639779,36.396010
181,-97.792283,30.440545,48453033700,1412.116738,332.043391,1080.073347,13491.047890,40.630376
182,-97.790268,30.430965,48453033800,2039.914967,925.303963,1114.611004,30891.288464,33.385017
183,-97.745077,30.432578,48453034200,3726.164061,1366.632619,2359.531442,45742.600336,33.471029
184,-97.836201,30.419188,48453034600,212.704934,127.676091,85.028843,6322.833404,49.522455
185,-97.806945,30.409079,48453030500,223.714126,103.251486,120.462640,3438.176712,33.299053
186,-97.785683,30.418049,48453032600,974.960085,373.136220,601.823865,13182.005708,35.327596
187,-97.782925,30.44012,48491020405,1142.352461,474.914779,667.437682,15410.016348,32.447961
188,-97.772391,30.427536,48453032700,2176.466188,939.379773,1237.086415,28727.395678,30.581237
189,-97.776502,30.416096,48453032600,1210.928685,399.790004,811.138681,12331.280534,30.844394
190,-97.757609,30.421041,48453002500,1155.074257,376.908741,778.165516,11277.239160,29.920344
