Origin,Origin_x,Origin_y,Origin_geoid,P_r_aug,Total_Demand,Demand_Not_Traveling,Total_Travel_Time,Average_Travel_Time
1,-97.861763,30.550045,48491020338,824.907098,150.700879,674.206219,7158.336320,47.500296
2,-97.873341,30.595955,48491020342,373.122118,58.978233,314.143885,2788.433665,47.279030
3,-97.842574,30.537706,48491020325,959.882146,198.680544,761.201602,8516.641507,42.866007
4,-97.967226,30.531993,48453036300,2495.444620,1839.411733,656.032887,138042.839938,75.047276
5,-97.901257,30.49655,48453037500,553.806735,261.504456,292.302279,12536.662390,47.940531
6,-97.882086,30.460701,48453035600,2907.036338,1066.085182,1840.951156,48347.010697,45.350045
7,-97.827879,30.498174,48491020336,1999.118701,472.654719,1526.463982,19239.426293,40.705034
8,-98.083907,30.434403,48453035200,461.778199,295.252223,166.525976,61304.997947,207.636025
9,-98.053644,30.488843,48453036400,340.228261,117.700042,222.528219,20783.575492,176.580868
10,-97.968645,30.405429,48453037600,2456.675802,1818.223743,638.452059,1608591.593146,884.704976
11,-98.056627,30.367501,48453035300,958.111658,503.512961,454.598697,102591.555511,203.751569
12,-97.941993,30.421566,48453031400,1900.855891,970.040655,930.815236,64697.273677,66.695425
13,-97.888347,30.416288,48453035800,558.323509,270.882294,287.441215,22655.392130,83.635559
14,-97.839977,30.449261,48453035800,925.259526,248.220118,677.039408,10668.507330,42.980027
15,-97.83899,30.398674,48453034600,635.724858,264.271573,371.453285,12617.335050,47.743822
16,-98.076591,30.33372,48453036500,2867.945826,1653.918904,1214.026922,276176.033324,166.982814
17,-97.972406,30.320471,48453037000,908.793155,268.531375,640.261780,29955.175370,111.551864
18,-98.009337,30.349621,48453035400,1649.915410,547.714423,1102.200987,91207.601709,166.524009
19,-97.984566,30.367501,48453033100,7746.198950,4008.723888,3737.475062,468923.212239,116.975682
20,-97.926677,30.382464,48453031500,1403.302125,612.551156,790.750969,64100.112364,104.644505
21,-97.937276,30.351176,48453031500,597.509903,232.547105,364.962798,26167.500439,112.525591
22,-97.86814,30.373525,48453035000,353.643761,150.352958,203.290803,7654.590397,50.910807
23,-97.834683,30.374974,48453032900,800.287488,293.219367,507.068121,10208.740122,34.816050
24,-97.845706,30.351794,48453032900,896.593271,319.196229,577.397042,11238.194980,35.207794
25,-97.974997,30.221922,48453036600,198.142707,84.098132,114.044575,7087.851730,84.280727
26,-97.964299,30.292875,48453036600,1109.886324,318.710973,791.175351,35724.332551,112.090062
27,-97.939978,30.32358,48453034000,490.700541,120.921150,369.779391,13435.060205,111.105958
28,-97.905759,30.343668,48453035100,371.004944,165.726894,205.278050,15731.202151,94.922446
29,-97.89921,30.321831,48453034000,935.108578,661.216922,273.891656,132815.387586,200.865077
30,-97.705243,30.653697,48491020121,633.434482,110.970736,522.463746,4919.467388,44.331214
31,-97.869942,30.344763,48453033900,1554.418604,1030.077286,524.341318,208382.353665,202.297785
32,-97.858595,30.332143,48453033900,664.513953,439.616931,224.897022,86860.254650,197.581686
33,-97.841425,30.318718,48453001912,847.099623,47.008265,800.091358,1636.345244,34.809735
34,-97.832125,30.30131,48453001912,341.058113,36.017269,305.040844,1312.580443,36.443086
35,-97.919182,30.304379,48453001916,202.743902,42.189429,160.554473,2693.778728,63.849613
36,-97.888816,30.298805,48453001916,800.162602,188.823731,611.338871,11330.043081,60.003279
37,-97.921387,30.352597,48453031500,1377.266835,1022.023120,355.243715,172610.026512,168.890530
38,-97.871556,30.308173,48453001916,433.871951,91.381148,342.490803,5113.702455,55.960147
39,-97.779089,30.351189,48453030700,1507.283050,71.379396,1435.903654,2997.798318,41.998090
40,-97.744053,30.384802,48453030100,327.362370,11.448176,315.914194,436.641353,38.140690
41,-97.833651,30.288711,48453001917,918.255061,467.383415,450.871646,15397.318174,32.943655
42,-97.902792,30.286234,48453001921,199.303443,13.219169,186.084274,507.367117,38.381166
43,-98.013199,30.272366,48453036600,231.166492,130.064081,101.102411,15595.207058,119.904027
44,-97.879621,30.286428,48453001921,207.018415,60.539364,146.479051,2001.140514,33.055196
45,-97.899068,30.267169,48453001920,107.241474,14.990217,92.251257,703.920477,46.958659
46,-97.86426,30.287223,48453001921,694.347478,237.512574,456.834904,8401.539464,35.373030
47,-97.665825,30.513457,48491020701,537.148515,75.728695,461.419820,2763.870686,36.497007
48,-97.703502,30.308846,48453002105,727.552279,14.334428,713.217851,830.856802,57.962329
49,-97.843688,30.286457,48453001917,889.469635,448.497170,440.972465,14793.461494,32.984515
50,-97.836009,30.279555,48453001917,1197.473684,591.949423,605.524261,18946.641261,32.007196
51,-97.932402,30.205053,48453031100,181.249428,26.667051,154.582377,1017.859542,38.169183
52,-97.873192,30.273341,48453001921,299.598078,20.011026,279.587052,758.032435,37.880737
53,-97.909655,30.196482,48453036700,349.970249,72.194141,277.776108,2624.438856,36.352518
54,-97.901713,30.172804,48453033300,83.731557,6.838565,76.892992,198.259353,28.991367
55,-97.851746,30.260857,48453001914,291.144279,17.859706,273.284573,754.551078,42.248796
56,-97.829376,30.259205,48453001914,247.472637,15.016953,232.455684,748.979501,49.875599
57,-97.825581,30.247459,48453001914,2491.930347,134.506265,2357.424082,5984.105129,44.489416
58,-97.819398,30.235346,48453001915,23.215465,1.244917,21.970548,96.165097,77.246190
59,-97.895281,30.25396,48453001920,66.272821,7.808986,58.463835,305.058335,39.065040
60,-97.879541,30.24144,48453001920,196.408543,38.245567,158.162976,1238.623860,32.386076
61,-97.872037,30.246756,48453001920,774.789528,77.335151,697.454377,2907.670314,37.598301
62,-97.858211,30.245081,48453001915,647.301802,38.664506,608.637296,1712.227529,44.284222
63,-97.852166,30.240247,48453001915,662.323574,37.832882,624.490692,1618.477462,42.779651
64,-97.928478,30.267416,48453036600,419.258482,48.211018,371.047464,2117.863408,43.929034
65,-97.93101,30.237106,48453036600,643.245890,246.065015,397.180875,11938.213830,48.516502
66,-97.915824,30.244016,48453033000,396.320475,148.885370,247.435105,6778.239596,45.526566
67,-97.909155,30.249879,48453033000,324.035608,70.853688,253.181920,2686.045299,37.909746
68,-97.892018,30.238308,48453033000,2790.445105,743.157402,2047.287703,26181.976783,35.230729
69,-97.985156,30.244942,48453036600,272.805177,106.429322,166.375855,7259.597994,68.210507
70,-97.943499,30.250014,48453036600,89.020637,33.238001,55.782636,1897.585091,57.090831
71,-97.954558,30.209143,48453031100,206.540046,92.877061,113.662985,7624.016630,82.087186
72,-97.947086,30.21593,48453031100,282.411899,119.311017,163.100882,7857.530225,65.857541
73,-97.905353,30.221875,48453031100,1157.748284,217.770780,939.977504,7906.108554,36.304726
74,-97.884729,30.210384,48453034800,2428.391463,444.168584,1984.222879,14528.745319,32.709980
75,-97.883969,30.222138,48453034700,1062.448980,99.153872,963.295108,3780.217292,38.124757
76,-97.928999,30.22221,48453031100,341.423341,127.773984,213.649357,6660.279800,52.125477
77,-97.858915,30.230631,48453032000,201.417112,15.937093,185.480019,613.757707,38.511270
78,-97.850001,30.229226,48453032000,1445.975936,64.230000,1381.745936,3073.568827,47.852543
79,-97.839501,30.232836,48453032000,1871.189840,83.567891,1787.621949,3866.489798,46.267649
80,-97.835974,30.224841,48453032000,621.657754,37.876145,583.781609,1344.172600,35.488632
81,-97.862221,30.225853,48453031200,554.846939,48.434661,506.412278,1673.837478,34.558670
82,-97.865677,30.217987,48453031200,1201.530612,116.388169,1085.142443,4215.552109,36.219765
83,-97.849136,30.220626,48453031200,589.285714,52.959185,536.326529,1804.455037,34.072560
84,-97.858294,30.214768,48453031200,570.153061,78.451369,491.701692,2435.910784,31.049946
85,-97.836175,30.214574,48453033400,282.864198,22.441388,260.422810,700.049431,31.194569
86,-97.845563,30.206238,48453033500,3525.411447,634.923080,2890.488367,19453.520555,30.639177
87,-97.773059,30.39592,48453032600,316.508781,47.341517,269.167264,1447.082755,30.566886
88,-97.872225,30.20472,48453034800,919.718376,121.273773,798.444603,3965.538605,32.699062
89,-97.858353,30.188692,48453031300,2408.519933,319.722679,2088.797254,10799.794802,33.778632
90,-97.937337,30.194893,48453031100,74.466819,18.016861,56.449958,860.787773,47.776789
91,-97.920445,30.209985,48453031100,189.679634,37.435331,152.244303,1275.571421,34.073999
92,-97.895714,30.191616,48453036700,698.523615,182.285172,516.238443,5760.000373,31.598842
93,-97.914187,30.179056,48453033300,20.211066,1.299599,18.911467,36.695588,28.236075
94,-97.890011,30.183883,48453036800,2156.911141,594.142813,1562.768328,19823.408537,33.364720
95,-97.809077,30.342242,48453001912,715.390189,79.888774,635.501415,2495.392943,31.235840
96,-97.868659,30.166515,48453033300,1384.457992,618.512298,765.945694,22417.660068,36.244486
97,-97.866404,30.152804,48453033300,421.545082,154.879998,266.665084,5440.685570,35.128394
98,-97.829257,30.204417,48453031000,2168.663643,368.272212,1800.391431,11421.486801,31.013708
99,-97.841393,30.188004,48453031700,1431.567729,243.321942,1188.245787,7450.773164,30.621049
100,-97.842194,30.17107,48453031900,1620.010231,195.272986,1424.737245,6793.457443,34.789540
101,-97.854535,30.164297,48453037100,3420.459708,1390.602608,2029.857100,50155.797879,36.067671
102,-97.842915,30.133666,48453033200,927.871664,363.504674,564.366990,12343.685001,33.957431
103,-97.832171,30.599148,48491020340,511.286269,99.566203,411.720066,4606.060678,46.261287
104,-97.799189,30.579994,48491020339,107.821698,12.965572,94.856126,548.298090,42.288768
