Origin,Origin_x,Origin_y,Origin_geoid,P_r_aug,Total_Demand,Demand_Not_Traveling,Total_Travel_Time,Average_Travel_Time
1,-97.861763,30.550045,48491020338,824.907098,676.124371,148.782727,18465.006765,27.310074
2,-97.873341,30.595955,48491020342,373.122118,292.363883,80.758235,8020.267395,27.432483
3,-97.842574,30.537706,48491020325,959.882146,869.263171,90.618975,21603.569557,24.852738
4,-97.967226,30.531993,48453036300,2495.444620,2268.886217,226.558403,191692.309050,84.487405
5,-97.901257,30.49655,48453037500,553.806735,437.126972,116.679763,22740.945856,52.023662
6,-97.882086,30.460701,48453035600,2907.036338,2065.492963,841.543375,86566.441199,41.910790
7,-97.827879,30.498174,48491020336,1999.118701,1712.354186,286.764515,47711.033767,27.862830
8,-98.083907,30.434403,48453035200,461.778199,316.094674,145.683525,58507.252474,185.094079
9,-98.053644,30.488843,48453036400,340.228261,187.711014,152.517247,27779.798537,147.992374
10,-97.968645,30.405429,48453037600,2456.675802,1823.259528,633.416274,1631820.082895,895.001538
11,-98.056627,30.367501,48453035300,958.111658,701.981510,256.130148,104014.613704,148.172868
12,-97.941993,30.421566,48453031400,1900.855891,1222.424102,678.431789,78262.289975,64.022208
13,-97.888347,30.416288,48453035800,558.323509,421.907170,136.416339,33801.287651,80.115462
14,-97.839977,30.449261,48453035800,925.259526,695.818534,229.440992,22044.055742,31.680754
15,-97.83899,30.398674,48453034600,635.724858,526.273864,109.450994,24758.219801,47.044365
16,-98.076591,30.33372,48453036500,2867.945826,1760.914507,1107.031319,269714.538821,153.167310
17,-97.972406,30.320471,48453037000,908.793155,646.023952,262.769203,49488.549167,76.604821
18,-98.009337,30.349621,48453035400,1649.915410,1054.842035,595.073375,131127.958780,124.310517
19,-97.984566,30.367501,48453033100,7746.198950,5239.904467,2506.294483,530434.989025,101.229897
20,-97.926677,30.382464,48453031500,1403.302125,1069.804562,333.497563,93375.643856,87.282899
21,-97.937276,30.351176,48453031500,597.509903,451.865734,145.644169,36417.214070,80.592998
22,-97.86814,30.373525,48453035000,353.643761,247.875244,105.768517,12226.666691,49.325889
23,-97.834683,30.374974,48453032900,800.287488,588.658929,211.628559,22286.331900,37.859499
24,-97.845706,30.351794,48453032900,896.593271,662.211797,234.381474,24533.252710,37.047441
25,-97.974997,30.221922,48453036600,198.142707,138.361470,59.781237,10361.968523,74.890564
26,-97.964299,30.292875,48453036600,1109.886324,773.349294,336.537030,66676.185132,86.217426
27,-97.939978,30.32358,48453034000,490.700541,370.815263,119.885278,26381.447355,71.144448
28,-97.905759,30.343668,48453035100,371.004944,254.023242,116.981702,19899.675613,78.338011
29,-97.89921,30.321831,48453034000,935.108578,709.265853,225.842725,141041.640370,198.855817
30,-97.705243,30.653697,48491020121,633.434482,516.652166,116.782316,13870.085868,26.846081
31,-97.869942,30.344763,48453033900,1554.418604,1198.793962,355.624642,222286.151496,185.424817
32,-97.858595,30.332143,48453033900,664.513953,511.784968,152.728985,96494.837692,188.545666
33,-97.841425,30.318718,48453001912,847.099623,611.661005,235.438618,17954.223668,29.353226
34,-97.832125,30.30131,48453001912,341.058113,245.346858,95.711255,7795.560590,31.773631
35,-97.919182,30.304379,48453001916,202.743902,149.139071,53.604831,7672.191326,51.443202
36,-97.888816,30.298805,48453001916,800.162602,592.893751,207.268851,33964.278323,57.285607
37,-97.921387,30.352597,48453031500,1377.266835,1057.896548,319.370287,185588.755724,175.431857
38,-97.871556,30.308173,48453001916,433.871951,317.240344,116.631607,18156.585963,57.232903
39,-97.779089,30.351189,48453030700,1507.283050,1037.501533,469.781517,22764.999831,21.942136
40,-97.744053,30.384802,48453030100,327.362370,230.996858,96.365512,3615.192134,15.650395
41,-97.833651,30.288711,48453001917,918.255061,637.134347,281.120714,25675.084528,40.297756
42,-97.902792,30.286234,48453001921,199.303443,152.716030,46.587413,3764.158497,24.648090
43,-98.013199,30.272366,48453036600,231.166492,159.280454,71.886038,16248.854932,102.014118
44,-97.879621,30.286428,48453001921,207.018415,157.737977,49.280438,5228.422145,33.146248
45,-97.899068,30.267169,48453001920,107.241474,86.411303,20.830171,2232.954174,25.840996
46,-97.86426,30.287223,48453001921,694.347478,536.891831,157.455647,19906.615821,37.077517
47,-97.665825,30.513457,48491020701,537.148515,461.734937,75.413578,9567.096880,20.719890
48,-97.703502,30.308846,48453002105,727.552279,581.537527,146.014752,8995.788186,15.468973
49,-97.843688,30.286457,48453001917,889.469635,616.778946,272.690689,24816.853389,40.236220
50,-97.836009,30.279555,48453001917,1197.473684,837.252649,360.221035,33008.562687,39.424853
51,-97.932402,30.205053,48453031100,181.249428,130.049473,51.199955,3756.459446,28.884849
52,-97.873192,30.273341,48453001921,299.598078,230.467457,69.130621,5913.602489,25.659165
53,-97.909655,30.196482,48453036700,349.970249,244.633136,105.337113,7203.933364,29.447905
54,-97.901713,30.172804,48453033300,83.731557,55.353601,28.377956,1354.001325,24.460944
55,-97.851746,30.260857,48453001914,291.144279,217.782734,73.361545,5206.470866,23.906720
56,-97.829376,30.259205,48453001914,247.472637,184.385426,63.087211,4293.337566,23.284582
57,-97.825581,30.247459,48453001914,2491.930347,1886.533919,605.396428,42070.848977,22.300606
58,-97.819398,30.235346,48453001915,23.215465,15.823302,7.392163,235.873534,14.906720
59,-97.895281,30.25396,48453001920,66.272821,52.896581,13.376240,1193.985590,22.572075
60,-97.879541,30.24144,48453001920,196.408543,159.367639,37.040904,3819.404881,23.966000
61,-97.872037,30.246756,48453001920,774.789528,635.715940,139.073588,14902.932251,23.442754
62,-97.858211,30.245081,48453001915,647.301802,470.663484,176.638318,10456.146863,22.215760
63,-97.852166,30.240247,48453001915,662.323574,481.659063,180.664511,10690.597689,22.195363
64,-97.928478,30.267416,48453036600,419.258482,290.500489,128.757993,8821.843454,30.367741
65,-97.93101,30.237106,48453036600,643.245890,451.261166,191.984724,20604.359343,45.659500
66,-97.915824,30.244016,48453033000,396.320475,315.945302,80.375173,13518.452677,42.787320
67,-97.909155,30.249879,48453033000,324.035608,257.939302,66.096306,7736.940561,29.995198
68,-97.892018,30.238308,48453033000,2790.445105,2230.088439,560.356666,69685.990613,31.248084
69,-97.985156,30.244942,48453036600,272.805177,189.284840,83.520337,11591.768392,61.239814
70,-97.943499,30.250014,48453036600,89.020637,59.097746,29.922891,2991.676582,50.622516
71,-97.954558,30.209143,48453031100,206.540046,147.433901,59.106145,11334.025930,76.875304
72,-97.947086,30.21593,48453031100,282.411899,202.342881,80.069018,12421.051928,61.386157
73,-97.905353,30.221875,48453031100,1157.748284,825.791190,331.957094,24019.277844,29.086382
74,-97.884729,30.210384,48453034800,2428.391463,1747.076369,681.315094,44686.198267,25.577702
75,-97.883969,30.222138,48453034700,1062.448980,697.634274,364.814706,17017.178778,24.392693
76,-97.928999,30.22221,48453031100,341.423341,245.357225,96.066116,12123.265186,49.410671
77,-97.858915,30.230631,48453032000,201.417112,158.681271,42.735841,3022.431868,19.047187
78,-97.850001,30.229226,48453032000,1445.975936,1149.040720,296.935216,24179.941739,21.043590
79,-97.839501,30.232836,48453032000,1871.189840,1487.889963,383.299877,30133.223481,20.252320
80,-97.835974,30.224841,48453032000,621.657754,491.576690,130.081064,9593.189080,19.515142
81,-97.862221,30.225853,48453031200,554.846939,431.341655,123.505284,9136.567172,21.181741
82,-97.865677,30.217987,48453031200,1201.530612,936.025708,265.504904,21120.242779,22.563742
83,-97.849136,30.220626,48453031200,589.285714,457.392623,131.893091,9578.876162,20.942349
84,-97.858294,30.214768,48453031200,570.153061,442.453811,127.699250,10314.691028,23.312470
85,-97.836175,30.214574,48453033400,282.864198,248.182646,34.681552,4406.994980,17.757063
86,-97.845563,30.206238,48453033500,3525.411447,2895.772091,629.639356,68526.199850,23.664224
87,-97.773059,30.39592,48453032600,316.508781,225.625877,90.882904,5572.488894,24.697916
88,-97.872225,30.20472,48453034800,919.718376,660.002151,259.716225,15764.248199,23.885147
89,-97.858353,30.188692,48453031300,2408.519933,1867.223846,541.296087,45319.532444,24.271076
90,-97.937337,30.194893,48453031100,74.466819,51.668096,22.798723,2196.062530,42.503260
91,-97.920445,30.209985,48453031100,189.679634,132.363680,57.315954,3681.188010,27.811164
92,-97.895714,30.191616,48453036700,698.523615,494.236187,204.287428,14161.709637,28.653729
93,-97.914187,30.179056,48453033300,20.211066,11.544280,8.666786,240.078111,20.796282
94,-97.890011,30.183883,48453036800,2156.911141,1511.867351,645.043790,46263.559186,30.600277
95,-97.809077,30.342242,48453001912,715.390189,518.482931,196.907258,14158.052802,27.306690
96,-97.868659,30.166515,48453033300,1384.457992,956.576938,427.881054,37211.255403,38.900431
97,-97.866404,30.152804,48453033300,421.545082,287.976264,133.568818,9751.925750,33.863644
98,-97.829257,30.204417,48453031000,2168.663643,1800.794086,367.869557,41818.858111,23.222454
99,-97.841393,30.188004,48453031700,1431.567729,1135.060015,296.507714,26163.154630,23.050019
100,-97.842194,30.17107,48453031900,1620.010231,1285.844622,334.165609,29389.868081,22.856469
101,-97.854535,30.164297,48453037100,3420.459708,2258.326930,1162.132778,85530.283094,37.873295
102,-97.842915,30.133666,48453033200,927.871664,773.521154,154.350510,26839.652020,34.698019
103,-97.832171,30.599148,48491020340,511.286269,430.555684,80.730585,12439.169776,28.890966
104,-97.799189,30.579994,48491020339,107.821698,79.053344,28.768354,1731.441688,21.902194
105,-97.756155,30.589421,48491020604,404.996740,320.595796,84.400944,8052.353028,25.116839
106,-97.692748,30.614041,48491020604,1174.118989,950.060286,224.058703,24821.362049,26.126092
107,-97.663039,30.627603,48491021405,918.885839,780.027654,138.858185,19811.268746,25.398162
108,-97.671384,30.575265,48491021510,98.012125,79.726466,18.285659,1390.380521,17.439385
109,-97.644672,30.569989,48491021516,90.533708,54.634881,35.898827,1257.173279,23.010451
110,-97.803089,30.522036,48491020350,762.199061,611.121851,151.077210,14793.171510,24.206583
111,-97.768768,30.518674,48491020345,1180.127749,716.196055,463.931694,18887.990454,26.372654
112,-97.737027,30.527329,48491020310,1714.180145,1341.180231,372.999914,31155.165574,23.229664
113,-97.739952,30.542739,48491020606,657.910448,465.293944,192.616504,11327.507074,24.344841
114,-97.693987,30.540723,48491020607,23.911634,15.767467,8.144167,248.216572,15.742324
115,-97.683218,30.544608,48491021513,733.251694,685.803757,47.447937,14903.964101,21.732112
116,-97.664092,30.550837,48491021515,4378.240739,3338.974618,1039.266121,87626.877167,26.243649
117,-97.811989,30.480535,48491020356,727.565291,641.680210,85.885081,14187.685593,22.110212
118,-97.806242,30.471692,48491020334,1813.473570,1504.176516,309.297054,32237.080948,21.431714
119,-97.793977,30.500992,48491020311,180.974047,121.019510,59.954537,2370.763309,19.589927
120,-97.758083,30.483751,48491020508,1883.746994,1526.427188,357.319806,37192.793453,24.365914
121,-97.733466,30.506262,48491020515,5249.700914,4753.045966,496.654948,113406.982086,23.859854
122,-97.710151,30.516396,48491020505,2198.204651,1730.594453,467.610198,36768.304802,21.246055
123,-97.699474,30.526432,48491020602,2308.364605,2020.179280,288.185325,44850.071875,22.201035
124,-97.693185,30.529538,48491020602,22.575693,19.164223,3.411470,293.551812,15.317699
125,-97.677935,30.530948,48491021502,2131.627605,1886.329858,245.297747,44466.233587,23.572883
126,-97.657977,30.537547,48491021518,846.573484,694.045128,152.528356,16785.834014,24.185508
127,-97.628339,30.537873,48491021511,1689.127962,1509.610682,179.517280,38102.508397,25.239957
128,-97.687699,30.525447,48491021503,476.928000,427.579845,49.348155,7713.144111,18.039073
129,-97.674702,30.522907,48491021503,1367.856001,1225.905365,141.950636,27234.612496,22.215918
130,-97.660354,30.527937,48491021517,2305.745819,2226.507659,79.238160,58013.891719,26.056004
131,-97.684306,30.514658,48491021503,145.728000,131.664147,14.063853,2103.567988,15.976771
132,-97.675414,30.517125,48491021503,249.504000,221.644321,27.859679,3665.802103,16.539120
133,-97.609093,30.468471,48453046100,413.687861,335.313776,78.374085,7687.178259,22.925328
134,-97.649805,30.51606,48491021511,310.631517,276.682640,33.948877,5548.068708,20.052103
135,-97.690696,30.520364,48491020602,310.415778,271.731549,38.684229,4674.782773,17.203681
136,-97.681971,30.510451,48491020701,200.856816,174.206513,26.650303,2454.268113,14.088268
137,-97.675429,30.512392,48491020701,407.452399,350.359106,57.093293,6506.987868,18.572338
138,-97.659832,30.516269,48491020701,6.886519,5.580976,1.305543,61.408996,11.003271
139,-97.748408,30.477235,48491020503,55.616842,40.153550,15.463292,606.010852,15.092336
140,-97.699917,30.499365,48491020503,3886.557893,2937.984024,948.573869,64414.994779,21.924896
141,-97.681264,30.506831,48491020701,112.479817,96.110649,16.369168,1245.312407,12.957070
142,-97.687935,30.489825,48491020512,1880.556492,1764.593658,115.962834,37095.019393,21.021848
143,-97.678514,30.500887,48491020701,325.961919,281.249389,44.712530,5092.443255,18.106504
144,-97.668835,30.503811,48491020704,1480.318716,1374.356584,105.962132,29906.030734,21.760023
145,-97.648706,30.505463,48491020712,3539.618574,2990.825866,548.792708,68052.131810,22.753626
146,-97.621085,30.512273,48491020706,3916.062897,2743.234077,1172.828820,74406.723516,27.123724
147,-97.698393,30.481309,48491020513,38.369822,31.350830,7.018992,419.324887,13.375241
148,-97.683939,30.482178,48491020512,744.868465,698.980342,45.888123,13220.040063,18.913322
149,-97.669035,30.488674,48491020709,2553.066875,2227.544248,325.522627,46138.133581,20.712555
150,-97.631009,30.492029,48491020713,1455.172632,1346.151940,109.020692,31243.540320,23.209520
151,-97.816014,30.454371,48491020404,1664.758551,1404.878406,259.880145,35499.682557,25.268865
