Origin,Origin_x,Origin_y,Origin_geoid,P_r_aug,Total_Demand,Demand_Not_Traveling,Total_Travel_Time,Average_Travel_Time
1,-97.861763,30.550045,48491020338,824.907098,752.419558,72.487540,19218.318675,25.542024
2,-97.873341,30.595955,48491020342,373.122118,327.320463,45.801655,9182.846495,28.054606
3,-97.842574,30.537706,48491020325,959.882146,926.474032,33.408114,21558.376644,23.269272
4,-97.967226,30.531993,48453036300,2495.444620,2364.170418,131.274202,199196.817353,84.256539
5,-97.901257,30.49655,48453037500,553.806735,448.813438,104.993297,22914.425728,51.055570
6,-97.882086,30.460701,48453035600,2907.036338,2096.540644,810.495694,91928.499541,43.847707
7,-97.827879,30.498174,48491020336,1999.118701,1903.039812,96.078889,49572.306073,26.049012
8,-98.083907,30.434403,48453035200,461.778199,316.937998,144.840201,58294.055660,183.928895
9,-98.053644,30.488843,48453036400,340.228261,335.590139,4.638122,39359.133758,117.283344
10,-97.968645,30.405429,48453037600,2456.675802,1827.820136,628.855666,1611495.553220,881.648868
11,-98.056627,30.367501,48453035300,958.111658,703.716143,254.395515,103673.689977,147.323166
12,-97.941993,30.421566,48453031400,1900.855891,1220.134477,680.721414,78184.866200,64.078893
13,-97.888347,30.416288,48453035800,558.323509,420.355180,137.968329,34132.597986,81.199423
14,-97.839977,30.449261,48453035800,925.259526,729.164991,196.094535,24189.251951,33.173907
15,-97.83899,30.398674,48453034600,635.724858,530.831139,104.893719,25479.088006,47.998480
16,-98.076591,30.33372,48453036500,2867.945826,1758.253952,1109.691874,269244.039471,153.131485
17,-97.972406,30.320471,48453037000,908.793155,656.012510,252.780645,51718.012649,78.836930
18,-98.009337,30.349621,48453035400,1649.915410,1072.202566,577.712844,136143.201925,126.975262
19,-97.984566,30.367501,48453033100,7746.198950,5235.670486,2510.528464,540623.466983,103.257733
20,-97.926677,30.382464,48453031500,1403.302125,1071.204765,332.097360,94838.778929,88.534687
21,-97.937276,30.351176,48453031500,597.509903,460.521060,136.988843,39063.815843,84.825254
22,-97.86814,30.373525,48453035000,353.643761,248.339789,105.303972,12471.158602,50.218125
23,-97.834683,30.374974,48453032900,800.287488,597.880549,202.406939,23700.913640,39.641553
24,-97.845706,30.351794,48453032900,896.593271,661.525251,235.068020,25281.380858,38.216804
25,-97.974997,30.221922,48453036600,198.142707,137.864081,60.278626,10486.054562,76.060816
26,-97.964299,30.292875,48453036600,1109.886324,770.947675,338.938649,67173.970319,87.131685
27,-97.939978,30.32358,48453034000,490.700541,367.714033,122.986508,25817.314899,70.210306
28,-97.905759,30.343668,48453035100,371.004944,252.151188,118.853756,19807.346974,78.553455
29,-97.89921,30.321831,48453034000,935.108578,702.538437,232.570141,139407.495176,198.433976
30,-97.705243,30.653697,48491020121,633.434482,519.823021,113.611461,14330.239888,27.567536
31,-97.869942,30.344763,48453033900,1554.418604,1199.876269,354.542335,222704.412155,185.606148
32,-97.858595,30.332143,48453033900,664.513953,501.527480,162.986473,98274.402216,195.950185
33,-97.841425,30.318718,48453001912,847.099623,602.411839,244.687784,17784.902595,29.522830
34,-97.832125,30.30131,48453001912,341.058113,241.021912,100.036201,7775.959941,32.262461
35,-97.919182,30.304379,48453001916,202.743902,148.842609,53.901293,7497.168218,50.369772
36,-97.888816,30.298805,48453001916,800.162602,589.427488,210.735114,33444.488951,56.740633
37,-97.921387,30.352597,48453031500,1377.266835,1057.914460,319.352375,186875.179240,176.644886
38,-97.871556,30.308173,48453001916,433.871951,313.991554,119.880397,18021.804446,57.395825
39,-97.779089,30.351189,48453030700,1507.283050,1062.910392,444.372658,24472.682038,23.024219
40,-97.744053,30.384802,48453030100,327.362370,248.329710,79.032660,4268.282294,17.187965
41,-97.833651,30.288711,48453001917,918.255061,639.696944,278.558117,26919.405516,42.081498
42,-97.902792,30.286234,48453001921,199.303443,154.263468,45.039975,3818.760834,24.754797
43,-98.013199,30.272366,48453036600,231.166492,158.164917,73.001575,16153.612033,102.131448
44,-97.879621,30.286428,48453001921,207.018415,158.688268,48.330147,5422.045303,34.167903
45,-97.899068,30.267169,48453001920,107.241474,87.579745,19.661729,2361.688717,26.966152
46,-97.86426,30.287223,48453001921,694.347478,533.085988,161.261490,20545.866717,38.541374
47,-97.665825,30.513457,48491020701,537.148515,470.549636,66.598879,10501.801344,22.318158
48,-97.703502,30.308846,48453002105,727.552279,706.396909,21.155370,9281.659246,13.139439
49,-97.843688,30.286457,48453001917,889.469635,617.592929,271.876706,25621.532570,41.486117
50,-97.836009,30.279555,48453001917,1197.473684,826.728250,370.745434,33039.519962,39.964184
51,-97.932402,30.205053,48453031100,181.249428,125.952306,55.297122,3606.930462,28.637272
52,-97.873192,30.273341,48453001921,299.598078,231.849243,67.748835,6136.550345,26.467847
53,-97.909655,30.196482,48453036700,349.970249,248.157377,101.812872,7778.142585,31.343588
54,-97.901713,30.172804,48453033300,83.731557,58.169651,25.561906,1595.374227,27.426230
55,-97.851746,30.260857,48453001914,291.144279,219.306357,71.837922,5475.181058,24.965902
56,-97.829376,30.259205,48453001914,247.472637,186.943589,60.529048,4582.552481,24.513023
57,-97.825581,30.247459,48453001914,2491.930347,1889.599998,602.330349,45547.917358,24.104529
58,-97.819398,30.235346,48453001915,23.215465,17.205852,6.009613,336.710352,19.569525
59,-97.895281,30.25396,48453001920,66.272821,54.561996,11.710825,1299.288116,23.813060
60,-97.879541,30.24144,48453001920,196.408543,161.772406,34.636137,4086.809803,25.262713
61,-97.872037,30.246756,48453001920,774.789528,644.047698,130.741830,15978.155707,24.808963
62,-97.858211,30.245081,48453001915,647.301802,476.062781,171.239021,11308.106913,23.753394
63,-97.852166,30.240247,48453001915,662.323574,488.855514,173.468060,11740.241441,24.015770
64,-97.928478,30.267416,48453036600,419.258482,291.889173,127.369309,9256.955763,31.713940
65,-97.93101,30.237106,48453036600,643.245890,448.567035,194.678855,21141.849061,47.131972
66,-97.915824,30.244016,48453033000,396.320475,317.031903,79.288572,13761.684365,43.407885
67,-97.909155,30.249879,48453033000,324.035608,256.951302,67.084306,7828.824590,30.468126
68,-97.892018,30.238308,48453033000,2790.445105,2232.815920,557.629185,72718.862424,32.568230
69,-97.985156,30.244942,48453036600,272.805177,190.283746,82.521431,11863.177315,62.344670
70,-97.943499,30.250014,48453036600,89.020637,61.482207,27.538430,3296.969788,53.624779
71,-97.954558,30.209143,48453031100,206.540046,145.508256,61.031790,11273.482389,77.476582
72,-97.947086,30.21593,48453031100,282.411899,200.933071,81.478828,12495.439130,62.187071
73,-97.905353,30.221875,48453031100,1157.748284,821.330981,336.417303,24733.135767,30.113482
74,-97.884729,30.210384,48453034800,2428.391463,1748.809609,679.581854,48399.674827,27.675783
75,-97.883969,30.222138,48453034700,1062.448980,683.710450,378.738530,17351.105829,25.377857
76,-97.928999,30.22221,48453031100,341.423341,240.289528,101.133813,11992.308560,49.907745
77,-97.858915,30.230631,48453032000,201.417112,162.608193,38.808919,3329.653279,20.476541
78,-97.850001,30.229226,48453032000,1445.975936,1163.053239,282.922697,26320.550241,22.630564
79,-97.839501,30.232836,48453032000,1871.189840,1511.371028,359.818812,33420.280154,22.112558
80,-97.835974,30.224841,48453032000,621.657754,504.908234,116.749520,11108.376151,22.000782
81,-97.862221,30.225853,48453031200,554.846939,435.889747,118.957192,10022.258488,22.992646
82,-97.865677,30.217987,48453031200,1201.530612,939.970143,261.560469,22768.135041,24.222190
83,-97.849136,30.220626,48453031200,589.285714,461.448883,127.836831,10465.147302,22.678887
84,-97.858294,30.214768,48453031200,570.153061,446.084566,124.068495,11330.033417,25.398847
85,-97.836175,30.214574,48453033400,282.864198,257.121720,25.742478,5225.659324,20.323679
86,-97.845563,30.206238,48453033500,3525.411447,2950.533949,574.877498,76662.394909,25.982550
87,-97.773059,30.39592,48453032600,316.508781,226.046777,90.462004,5758.512278,25.474870
88,-97.872225,30.20472,48453034800,919.718376,659.132439,260.585937,16665.323899,25.283726
89,-97.858353,30.188692,48453031300,2408.519933,1876.724055,531.795878,49509.010299,26.380549
90,-97.937337,30.194893,48453031100,74.466819,52.711362,21.755457,2355.795877,44.692373
91,-97.920445,30.209985,48453031100,189.679634,134.997289,54.682345,4023.864994,29.807006
92,-97.895714,30.191616,48453036700,698.523615,491.900049,206.623566,14719.312265,29.923380
93,-97.914187,30.179056,48453033300,20.211066,14.567023,5.644043,433.683517,29.771596
94,-97.890011,30.183883,48453036800,2156.911141,1502.123028,654.788113,48579.597300,32.340625
95,-97.809077,30.342242,48453001912,715.390189,518.096840,197.293349,14966.162480,28.886805
96,-97.868659,30.166515,48453033300,1384.457992,964.443753,420.014239,40125.374363,41.604681
97,-97.866404,30.152804,48453033300,421.545082,293.317719,128.227363,10706.209569,36.500385
98,-97.829257,30.204417,48453031000,2168.663643,1829.806417,338.857226,46668.166875,25.504428
99,-97.841393,30.188004,48453031700,1431.567729,1137.230582,294.337147,28236.198168,24.828912
100,-97.842194,30.17107,48453031900,1620.010231,1309.575549,310.434682,33324.470915,25.446772
101,-97.854535,30.164297,48453037100,3420.459708,2230.439612,1190.020096,88302.075022,39.589539
102,-97.842915,30.133666,48453033200,927.871664,780.445872,147.425792,29154.507048,37.356219
103,-97.832171,30.599148,48491020340,511.286269,461.572740,49.713529,14616.746728,31.667266
104,-97.799189,30.579994,48491020339,107.821698,86.250170,21.571528,2062.006827,23.907278
105,-97.756155,30.589421,48491020604,404.996740,338.701225,66.295515,9006.359620,26.590868
106,-97.692748,30.614041,48491020604,1174.118989,953.239537,220.879452,25791.534042,27.056719
107,-97.663039,30.627603,48491021405,918.885839,794.273503,124.612336,20957.068353,26.385204
108,-97.671384,30.575265,48491021510,98.012125,85.558973,12.453152,1904.136435,22.255251
109,-97.644672,30.569989,48491021516,90.533708,55.386114,35.147594,1287.767449,23.250727
110,-97.803089,30.522036,48491020350,762.199061,712.312593,49.886468,13309.184590,18.684472
