Origin,Origin_x,Origin_y,Origin_geoid,P_r_aug,Total_Demand,Demand_Not_Traveling,Total_Travel_Time,Average_Travel_Time
1,-97.861763,30.550045,48491020338,824.907098,789.565848,35.341250,21391.202851,27.092361
2,-97.873341,30.595955,48491020342,373.122118,346.039923,27.082195,10813.176229,31.248349
3,-97.842574,30.537706,48491020325,959.882146,944.810442,15.071704,23935.508705,25.333662
4,-97.967226,30.531993,48453036300,2495.444620,2430.192594,65.252026,208144.052381,85.649200
5,-97.901257,30.49655,48453037500,553.806735,454.490895,99.315840,23613.527093,51.955996
6,-97.882086,30.460701,48453035600,2907.036338,2141.052408,765.983930,100893.820253,47.123471
7,-97.827879,30.498174,48491020336,1999.118701,1970.046919,29.071782,54467.212418,27.647673
8,-98.083907,30.434403,48453035200,461.778199,317.015164,144.763035,59262.898391,186.940264
9,-98.053644,30.488843,48453036400,340.228261,340.118604,0.109657,33843.846575,99.506014
10,-97.968645,30.405429,48453037600,2456.675802,1830.769948,625.905854,1616261.099729,882.831347
11,-98.056627,30.367501,48453035300,958.111658,703.928869,254.182789,104146.997501,147.951025
12,-97.941993,30.421566,48453031400,1900.855891,1225.760144,675.095747,80021.606227,65.283250
13,-97.888347,30.416288,48453035800,558.323509,418.943066,139.380443,34572.644986,82.523493
14,-97.839977,30.449261,48453035800,925.259526,762.181032,163.078494,27310.306094,35.831784
15,-97.83899,30.398674,48453034600,635.724858,529.417799,106.307059,26170.171551,49.431983
16,-98.076591,30.33372,48453036500,2867.945826,1760.568044,1107.377782,272007.008518,154.499572
17,-97.972406,30.320471,48453037000,908.793155,654.751691,254.041464,52892.964997,80.783243
18,-98.009337,30.349621,48453035400,1649.915410,1077.829552,572.085858,139786.151236,129.692261
19,-97.984566,30.367501,48453033100,7746.198950,5235.133081,2511.065869,549834.122324,105.027726
20,-97.926677,30.382464,48453031500,1403.302125,1063.279077,340.023048,95740.376680,90.042566
21,-97.937276,30.351176,48453031500,597.509903,459.792074,137.717829,39599.514986,86.124832
22,-97.86814,30.373525,48453035000,353.643761,246.084268,107.559493,12753.985702,51.827717
23,-97.834683,30.374974,48453032900,800.287488,605.166404,195.121084,25550.885377,42.221256
24,-97.845706,30.351794,48453032900,896.593271,662.063570,234.529701,26687.002112,40.308821
25,-97.974997,30.221922,48453036600,198.142707,137.468466,60.674241,10574.960024,76.926443
26,-97.964299,30.292875,48453036600,1109.886324,766.018236,343.868088,67956.892217,88.714457
27,-97.939978,30.32358,48453034000,490.700541,365.872435,124.828106,25789.287690,70.487102
28,-97.905759,30.343668,48453035100,371.004944,252.874067,118.130877,20464.259678,80.926684
29,-97.89921,30.321831,48453034000,935.108578,702.654514,232.454064,140473.399493,199.918163
