Origin,Origin_x,Origin_y,Origin_geoid,P_r_aug,Total_Demand,Demand_Not_Traveling,Total_Travel_Time,Average_Travel_Time
1,-97.861763,30.550045,48491020338,824.907098,695.175055,129.732043,19080.834945,27.447525
2,-97.873341,30.595955,48491020342,373.122118,297.689680,75.432438,8016.910653,26.930428
3,-97.842574,30.537706,48491020325,959.882146,894.712959,65.169187,22527.220002,25.178153
4,-97.967226,30.531993,48453036300,2495.444620,2260.238206,235.206414,195477.884026,86.485523
5,-97.901257,30.49655,48453037500,553.806735,442.363986,111.442749,22913.055104,51.796837
6,-97.882086,30.460701,48453035600,2907.036338,2060.885642,846.150696,86419.899103,41.933379
7,-97.827879,30.498174,48491020336,1999.118701,1772.550815,226.567886,49818.726601,28.105669
8,-98.083907,30.434403,48453035200,461.778199,316.410516,145.367683,57525.054421,181.805128
9,-98.053644,30.488843,48453036400,340.228261,228.925104,111.303157,30023.188360,131.148519
10,-97.968645,30.405429,48453037600,2456.675802,1824.067872,632.607930,1629825.147861,893.511241
11,-98.056627,30.367501,48453035300,958.111658,703.671011,254.440647,103852.020516,147.586044
12,-97.941993,30.421566,48453031400,1900.855891,1216.192340,684.663551,77818.730569,63.985546
13,-97.888347,30.416288,48453035800,558.323509,423.490014,134.833495,33985.382699,80.250730
14,-97.839977,30.449261,48453035800,925.259526,696.236348,229.023178,22033.036896,31.645916
15,-97.83899,30.398674,48453034600,635.724858,532.078043,103.646815,25178.164012,47.320434
16,-98.076591,30.33372,48453036500,2867.945826,1754.742114,1113.203712,266810.680347,152.051221
17,-97.972406,30.320471,48453037000,908.793155,649.217041,259.576114,49462.796589,76.188383
18,-98.009337,30.349621,48453035400,1649.915410,1068.881177,581.034233,133760.119487,125.140308
19,-97.984566,30.367501,48453033100,7746.198950,5240.339745,2505.859205,532095.554449,101.538370
20,-97.926677,30.382464,48453031500,1403.302125,1074.728805,328.573320,93823.507398,87.299705
21,-97.937276,30.351176,48453031500,597.509903,455.542326,141.967577,36965.515340,81.146171
22,-97.86814,30.373525,48453035000,353.643761,246.446336,107.197425,12048.875183,48.890462
23,-97.834683,30.374974,48453032900,800.287488,591.135318,209.152170,22222.786537,37.593400
24,-97.845706,30.351794,48453032900,896.593271,662.141064,234.452207,24552.125084,37.079901
25,-97.974997,30.221922,48453036600,198.142707,138.113647,60.029060,10383.044676,75.177543
26,-97.964299,30.292875,48453036600,1109.886324,767.678849,342.207475,66108.961273,86.115387
27,-97.939978,30.32358,48453034000,490.700541,369.523635,121.176906,26038.737268,70.465688
28,-97.905759,30.343668,48453035100,371.004944,249.842425,121.162519,19369.185451,77.525606
29,-97.89921,30.321831,48453034000,935.108578,703.865533,231.243045,139387.698370,198.031715
30,-97.705243,30.653697,48491020121,633.434482,516.124354,117.310128,13978.931906,27.084426
31,-97.869942,30.344763,48453033900,1554.418604,1199.479680,354.938924,221524.033097,184.683440
32,-97.858595,30.332143,48453033900,664.513953,500.045577,164.468376,97584.666535,195.151544
33,-97.841425,30.318718,48453001912,847.099623,599.856988,247.242635,16757.668242,27.936106
34,-97.832125,30.30131,48453001912,341.058113,241.336914,99.721199,7518.439241,31.153292
35,-97.919182,30.304379,48453001916,202.743902,150.379468,52.364434,7583.868878,50.431545
36,-97.888816,30.298805,48453001916,800.162602,589.440613,210.721989,32783.742525,55.618398
37,-97.921387,30.352597,48453031500,1377.266835,1057.994692,319.272143,185698.040019,175.518877
38,-97.871556,30.308173,48453001916,433.871951,308.060779,125.811172,16878.807220,54.790510
39,-97.779089,30.351189,48453030700,1507.283050,1033.063186,474.219864,22632.524728,21.908171
40,-97.744053,30.384802,48453030100,327.362370,232.047968,95.314402,3587.685722,15.460966
41,-97.833651,30.288711,48453001917,918.255061,637.135244,281.119817,25507.914259,40.035321
42,-97.902792,30.286234,48453001921,199.303443,154.143127,45.160316,3744.497335,24.292341
43,-98.013199,30.272366,48453036600,231.166492,158.641994,72.524498,16035.550200,101.080110
44,-97.879621,30.286428,48453001921,207.018415,158.419461,48.598954,5165.585680,32.607015
45,-97.899068,30.267169,48453001920,107.241474,87.032973,20.208501,2228.695819,25.607488
46,-97.86426,30.287223,48453001921,694.347478,532.553007,161.794471,19702.652667,36.996604
47,-97.665825,30.513457,48491020701,537.148515,466.948278,70.200237,9751.823064,20.884161
48,-97.703502,30.308846,48453002105,727.552279,608.487187,119.065092,9328.655002,15.330898
49,-97.843688,30.286457,48453001917,889.469635,616.509268,272.960367,24592.526953,39.889955
50,-97.836009,30.279555,48453001917,1197.473684,833.529891,363.943793,32603.725670,39.115245
51,-97.932402,30.205053,48453031100,181.249428,129.069880,52.179548,3763.119996,29.155679
52,-97.873192,30.273341,48453001921,299.598078,230.950591,68.647487,5843.728827,25.302939
53,-97.909655,30.196482,48453036700,349.970249,245.252875,104.717374,7184.009105,29.292252
54,-97.901713,30.172804,48453033300,83.731557,56.941874,26.789683,1390.701332,24.423175
55,-97.851746,30.260857,48453001914,291.144279,218.686290,72.457989,5144.969442,23.526712
56,-97.829376,30.259205,48453001914,247.472637,185.772161,61.700476,4300.216658,23.147799
57,-97.825581,30.247459,48453001914,2491.930347,1880.355607,611.574740,42328.418257,22.510858
58,-97.819398,30.235346,48453001915,23.215465,16.575250,6.640215,249.388085,15.045811
59,-97.895281,30.25396,48453001920,66.272821,54.037602,12.235219,1155.690682,21.386787
60,-97.879541,30.24144,48453001920,196.408543,161.729135,34.679408,3863.819452,23.890683
61,-97.872037,30.246756,48453001920,774.789528,642.156727,132.632801,15235.369011,23.725312
62,-97.858211,30.245081,48453001915,647.301802,472.022793,175.279009,10506.084231,22.257578
63,-97.852166,30.240247,48453001915,662.323574,483.180139,179.143435,10810.511816,22.373668
64,-97.928478,30.267416,48453036600,419.258482,290.688974,128.569508,8781.363553,30.208795
65,-97.93101,30.237106,48453036600,643.245890,447.473014,195.772876,20424.379297,45.643824
66,-97.915824,30.244016,48453033000,396.320475,317.934695,78.385780,13623.846145,42.851083
67,-97.909155,30.249879,48453033000,324.035608,258.215191,65.820417,7679.313572,29.739976
68,-97.892018,30.238308,48453033000,2790.445105,2233.428049,557.017056,70594.002602,31.607914
69,-97.985156,30.244942,48453036600,272.805177,190.040096,82.765081,11672.309579,61.420247
70,-97.943499,30.250014,48453036600,89.020637,59.676267,29.344370,2965.512596,49.693332
71,-97.954558,30.209143,48453031100,206.540046,146.778949,59.761097,11338.291565,77.247396
72,-97.947086,30.21593,48453031100,282.411899,200.614398,81.797501,12276.800685,61.196010
73,-97.905353,30.221875,48453031100,1157.748284,819.178897,338.569387,23880.004597,29.151147
74,-97.884729,30.210384,48453034800,2428.391463,1735.458455,692.933008,44516.222570,25.650987
75,-97.883969,30.222138,48453034700,1062.448980,685.210636,377.238344,16715.335749,24.394449
76,-97.928999,30.22221,48453031100,341.423341,242.989520,98.433821,12156.972562,50.030851
77,-97.858915,30.230631,48453032000,201.417112,160.911763,40.505349,3043.267194,18.912646
78,-97.850001,30.229226,48453032000,1445.975936,1159.581253,286.394683,24629.467192,21.239967
79,-97.839501,30.232836,48453032000,1871.189840,1500.628867,370.560973,30727.205106,20.476219
80,-97.835974,30.224841,48453032000,621.657754,498.294834,123.362920,9889.093074,19.845867
81,-97.862221,30.225853,48453031200,554.846939,434.194569,120.652370,9302.059379,21.423712
82,-97.865677,30.217987,48453031200,1201.530612,939.215187,262.315425,21378.843231,22.762455
83,-97.849136,30.220626,48453031200,589.285714,459.665039,129.620675,9699.250145,21.100691
84,-97.858294,30.214768,48453031200,570.153061,444.460373,125.692688,10429.589283,23.465735
85,-97.836175,30.214574,48453033400,282.864198,254.922748,27.941450,4539.015546,17.805455
86,-97.845563,30.206238,48453033500,3525.411447,2934.732291,590.679156,70528.668482,24.032403
87,-97.773059,30.39592,48453032600,316.508781,225.187906,91.320875,5558.267634,24.682798
88,-97.872225,30.20472,48453034800,919.718376,657.372898,262.345478,15771.567000,23.991812
89,-97.858353,30.188692,48453031300,2408.519933,1870.820793,537.699140,45837.766206,24.501420
90,-97.937337,30.194893,48453031100,74.466819,52.193451,22.273368,2215.801191,42.453625
91,-97.920445,30.209985,48453031100,189.679634,133.565798,56.113836,3724.454111,27.884789
92,-97.895714,30.191616,48453036700,698.523615,491.795991,206.727624,14042.381509,28.553266
93,-97.914187,30.179056,48453033300,20.211066,13.033572,7.177494,265.831679,20.395919
94,-97.890011,30.183883,48453036800,2156.911141,1501.771451,655.139690,46007.795178,30.635684
95,-97.809077,30.342242,48453001912,715.390189,509.646213,205.743976,13895.058917,27.264127
96,-97.868659,30.166515,48453033300,1384.457992,954.448008,430.009984,37191.885057,38.966905
97,-97.866404,30.152804,48453033300,421.545082,288.828389,132.716693,9757.654697,33.783572
98,-97.829257,30.204417,48453031000,2168.663643,1819.651328,349.012315,42692.423618,23.461870
99,-97.841393,30.188004,48453031700,1431.567729,1137.717040,293.850689,26577.225210,23.360136
100,-97.842194,30.17107,48453031900,1620.010231,1292.914371,327.095860,29778.362922,23.031968
101,-97.854535,30.164297,48453037100,3420.459708,2235.152684,1185.307024,84446.910878,37.781272
102,-97.842915,30.133666,48453033200,927.871664,781.928177,145.943487,27536.643447,35.216333
103,-97.832171,30.599148,48491020340,511.286269,440.795769,70.490500,12774.846048,28.981326
104,-97.799189,30.579994,48491020339,107.821698,80.044862,27.776836,1717.207134,21.453059
105,-97.756155,30.589421,48491020604,404.996740,324.791370,80.205370,8106.787871,24.959985
106,-97.692748,30.614041,48491020604,1174.118989,948.133717,225.985272,25191.084847,26.569127
107,-97.663039,30.627603,48491021405,918.885839,785.191058,133.694781,20309.160243,25.865246
108,-97.671384,30.575265,48491021510,98.012125,82.229936,15.782189,1388.028508,16.879844
109,-97.644672,30.569989,48491021516,90.533708,53.813916,36.719792,1118.888029,20.791797
110,-97.803089,30.522036,48491020350,762.199061,632.184426,130.014635,15198.361935,24.041026
111,-97.768768,30.518674,48491020345,1180.127749,701.491358,478.636391,18275.269623,26.052024
112,-97.737027,30.527329,48491020310,1714.180145,1345.483250,368.696895,31649.683328,23.522911
113,-97.739952,30.542739,48491020606,657.910448,462.337191,195.573257,11325.684542,24.496590
114,-97.693987,30.540723,48491020607,23.911634,16.428072,7.483562,237.686917,14.468339
115,-97.683218,30.544608,48491021513,733.251694,692.816545,40.435149,15291.241881,22.071127
116,-97.664092,30.550837,48491021515,4378.240739,3324.977785,1053.262954,88397.244935,26.585815
117,-97.811989,30.480535,48491020356,727.565291,654.423376,73.141915,14528.928996,22.201116
118,-97.806242,30.471692,48491020334,1813.473570,1532.840645,280.632925,33174.650453,21.642596
119,-97.793977,30.500992,48491020311,180.974047,124.274410,56.699637,2371.844118,19.085539
120,-97.758083,30.483751,48491020508,1883.746994,1533.995811,349.751183,37879.430634,24.693308
121,-97.733466,30.506262,48491020515,5249.700914,4820.146894,429.554020,117216.419607,24.318018
122,-97.710151,30.516396,48491020505,2198.204651,1732.302879,465.901772,37217.347968,21.484319
123,-97.699474,30.526432,48491020602,2308.364605,2042.727096,265.637509,46246.890310,22.639779
