Origin,Origin_x,Origin_y,Origin_geoid,P_r_aug,Total_Demand,Demand_Not_Traveling,Total_Travel_Time,Average_Travel_Time
1,-97.861763,30.550045,48491020338,824.907098,702.746896,122.160202,19809.664674,28.188904
2,-97.873341,30.595955,48491020342,373.122118,298.964154,74.157964,7771.706418,25.995446
3,-97.842574,30.537706,48491020325,959.882146,898.938367,60.943779,24132.526204,26.845585
4,-97.967226,30.531993,48453036300,2495.444620,2287.922959,207.521661,209971.619327,91.773903
5,-97.901257,30.49655,48453037500,553.806735,447.756002,106.050733,23718.382431,52.971668
6,-97.882086,30.460701,48453035600,2907.036338,2071.012503,836.023835,94311.100038,45.538643
7,-97.827879,30.498174,48491020336,1999.118701,1786.441648,212.677053,53558.522567,29.980561
8,-98.083907,30.434403,48453035200,461.778199,316.638585,145.139614,57957.673965,183.040465
9,-98.053644,30.488843,48453036400,340.228261,275.563738,64.664523,37393.191523,135.697069
10,-97.968645,30.405429,48453037600,2456.675802,1825.024658,631.651144,1638371.206634,897.725518
11,-98.056627,30.367501,48453035300,958.111658,703.980680,254.130978,103691.492200,147.293094
12,-97.941993,30.421566,48453031400,1900.855891,1212.506595,688.349296,77272.879113,63.729863
13,-97.888347,30.416288,48453035800,558.323509,429.735523,128.587986,38002.424495,88.432123
14,-97.839977,30.449261,48453035800,925.259526,694.231372,231.028154,22378.330424,32.234686
15,-97.83899,30.398674,48453034600,635.724858,540.070021,95.654837,29179.325860,54.028783
16,-98.076591,30.33372,48453036500,2867.945826,1755.454422,1112.491404,266045.450942,151.553608
17,-97.972406,30.320471,48453037000,908.793155,659.483296,249.309859,52135.855385,79.055612
18,-98.009337,30.349621,48453035400,1649.915410,1076.000438,573.914972,136419.753791,126.784106
19,-97.984566,30.367501,48453033100,7746.198950,5208.216189,2537.982761,519743.624355,99.793020
20,-97.926677,30.382464,48453031500,1403.302125,1091.352727,311.949398,100842.177455,92.401086
21,-97.937276,30.351176,48453031500,597.509903,453.998247,143.511656,36259.015762,79.865982
22,-97.86814,30.373525,48453035000,353.643761,261.648754,91.995007,15185.298609,58.036961
23,-97.834683,30.374974,48453032900,800.287488,569.929107,230.358381,27727.659730,48.651068
24,-97.845706,30.351794,48453032900,896.593271,650.745167,245.848104,27609.646619,42.427740
25,-97.974997,30.221922,48453036600,198.142707,134.929365,63.213342,9672.009910,71.682023
