Origin,Origin_x,Origin_y,Origin_geoid,P_r_aug,Total_Demand,Demand_Not_Traveling,Total_Travel_Time,Average_Travel_Time
1,-97.861763,30.550045,48491020338,824.907098,705.000000,119.907098,18865.639522,26.759772
2,-97.873341,30.595955,48491020342,373.122118,303.000000,70.122118,8684.848723,28.662867
3,-97.842574,30.537706,48491020325,959.882146,899.000000,60.882146,21919.020728,24.381558
4,-97.967226,30.531993,48453036300,2495.444620,2289.000000,206.444620,198532.739703,86.733394
5,-97.901257,30.49655,48453037500,553.806735,445.000000,108.806735,23087.864105,51.882841
6,-97.882086,30.460701,48453035600,2907.036338,2061.000000,846.036338,92228.702274,44.749492
7,-97.827879,30.498174,48491020336,1999.118701,1787.000000,212.118701,47657.152967,26.668804
8,-98.083907,30.434403,48453035200,461.778199,318.000000,143.778199,58597.226348,184.268007
9,-98.053644,30.488843,48453036400,340.228261,277.000000,63.228261,36204.273076,130.701347
10,-97.968645,30.405429,48453037600,2456.675802,1825.000000,631.675802,1606129.055948,880.070716
11,-98.056627,30.367501,48453035300,958.111658,703.000000,255.111658,104595.437149,148.784406
12,-97.941993,30.421566,48453031400,1900.855891,1215.000000,685.855891,78645.415407,64.728737
13,-97.888347,30.416288,48453035800,558.323509,423.000000,135.323509,34510.048066,81.584038
14,-97.839977,30.449261,48453035800,925.259526,701.000000,224.259526,23941.813601,34.153800
15,-97.83899,30.398674,48453034600,635.724858,532.000000,103.724858,25770.338372,48.440486
16,-98.076591,30.33372,48453036500,2867.945826,1750.000000,1117.945826,269044.876547,153.739929
17,-97.972406,30.320471,48453037000,908.793155,649.000000,259.793155,51623.880544,79.543730
18,-98.009337,30.349621,48453035400,1649.915410,1063.000000,586.915410,134284.559770,126.326020
19,-97.984566,30.367501,48453033100,7746.198950,5228.000000,2518.198950,539237.939480,103.144212
20,-97.926677,30.382464,48453031500,1403.302125,1078.000000,325.302125,96028.204559,89.079967
21,-97.937276,30.351176,48453031500,597.509903,459.000000,138.509903,38942.901236,84.842922
22,-97.86814,30.373525,48453035000,353.643761,248.000000,105.643761,12593.674001,50.780944
23,-97.834683,30.374974,48453032900,800.287488,590.000000,210.287488,23629.013522,40.049175
24,-97.845706,30.351794,48453032900,896.593271,661.000000,235.593271,25508.433806,38.590671
25,-97.974997,30.221922,48453036600,198.142707,138.000000,60.142707,10477.506243,75.923958
26,-97.964299,30.292875,48453036600,1109.886324,773.000000,336.886324,67663.680742,87.533869
27,-97.939978,30.32358,48453034000,490.700541,371.000000,119.700541,26236.103518,70.717260
28,-97.905759,30.343668,48453035100,371.004944,251.000000,120.004944,19870.411005,79.164984
29,-97.89921,30.321831,48453034000,935.108578,707.000000,228.108578,139659.589934,197.538317
30,-97.705243,30.653697,48491020121,633.434482,516.000000,117.434482,14350.771634,27.811573
31,-97.869942,30.344763,48453033900,1554.418604,1200.000000,354.418604,221750.262561,184.791885
32,-97.858595,30.332143,48453033900,664.513953,513.000000,151.513953,99714.544046,194.375330
33,-97.841425,30.318718,48453001912,847.099623,611.000000,236.099623,18208.452178,29.801067
34,-97.832125,30.30131,48453001912,341.058113,246.000000,95.058113,7982.867342,32.450680
35,-97.919182,30.304379,48453001916,202.743902,150.000000,52.743902,7591.616577,50.610777
36,-97.888816,30.298805,48453001916,800.162602,592.000000,208.162602,33773.910880,57.050525
37,-97.921387,30.352597,48453031500,1377.266835,1058.000000,319.266835,188002.806551,177.696415
38,-97.871556,30.308173,48453001916,433.871951,321.000000,112.871951,18469.786461,57.538276
39,-97.779089,30.351189,48453030700,1507.283050,1040.000000,467.283050,24225.800625,23.294039
40,-97.744053,30.384802,48453030100,327.362370,235.000000,92.362370,4114.930792,17.510344
41,-97.833651,30.288711,48453001917,918.255061,638.000000,280.255061,27030.162702,42.367026
42,-97.902792,30.286234,48453001921,199.303443,155.000000,44.303443,3843.772665,24.798533
43,-98.013199,30.272366,48453036600,231.166492,161.000000,70.166492,16312.586571,101.320413
44,-97.879621,30.286428,48453001921,207.018415,161.000000,46.018415,5496.741750,34.141253
45,-97.899068,30.267169,48453001920,107.241474,89.000000,18.241474,2443.331956,27.453168
46,-97.86426,30.287223,48453001921,694.347478,540.000000,154.347478,20789.154308,38.498434
47,-97.665825,30.513457,48491020701,537.148515,468.000000,69.148515,10582.755675,22.612726
48,-97.703502,30.308846,48453002105,727.552279,621.000000,106.552279,8449.430430,13.606168
49,-97.843688,30.286457,48453001917,889.469635,618.000000,271.469635,25744.523856,41.657806
50,-97.836009,30.279555,48453001917,1197.473684,832.000000,365.473684,33443.808063,40.196885
51,-97.932402,30.205053,48453031100,181.249428,129.000000,52.249428,3679.424888,28.522674
52,-97.873192,30.273341,48453001921,299.598078,233.000000,66.598078,6201.250301,26.614808
53,-97.909655,30.196482,48453036700,349.970249,247.000000,102.970249,7757.374213,31.406373
54,-97.901713,30.172804,48453033300,83.731557,58.000000,25.731557,1595.406150,27.507003
55,-97.851746,30.260857,48453001914,291.144279,220.000000,71.144279,5525.808884,25.117313
56,-97.829376,30.259205,48453001914,247.472637,187.000000,60.472637,4608.888891,24.646465
57,-97.825581,30.247459,48453001914,2491.930347,1883.000000,608.930347,45718.411224,24.279560
58,-97.819398,30.235346,48453001915,23.215465,17.000000,6.215465,337.568613,19.856977
59,-97.895281,30.25396,48453001920,66.272821,55.000000,11.272821,1310.612896,23.829325
60,-97.879541,30.24144,48453001920,196.408543,163.000000,33.408543,4148.636540,25.451758
61,-97.872037,30.246756,48453001920,774.789528,643.000000,131.789528,16046.071856,24.955011
62,-97.858211,30.245081,48453001915,647.301802,474.000000,173.301802,11313.831234,23.868842
63,-97.852166,30.240247,48453001915,662.323574,485.000000,177.323574,11683.823460,24.090358
64,-97.928478,30.267416,48453036600,419.258482,292.000000,127.258482,9297.589341,31.841059
65,-97.93101,30.237106,48453036600,643.245890,448.000000,195.245890,21089.998354,47.075889
66,-97.915824,30.244016,48453033000,396.320475,318.000000,78.320475,13795.176972,43.381060
67,-97.909155,30.249879,48453033000,324.035608,260.000000,64.035608,7923.595097,30.475366
68,-97.892018,30.238308,48453033000,2790.445105,2239.000000,551.445105,73109.120630,32.652577
69,-97.985156,30.244942,48453036600,272.805177,190.000000,82.805177,11797.313714,62.091125
70,-97.943499,30.250014,48453036600,89.020637,62.000000,27.020637,3299.347427,53.215281
71,-97.954558,30.209143,48453031100,206.540046,147.000000,59.540046,11370.987624,77.353657
72,-97.947086,30.21593,48453031100,282.411899,201.000000,81.411899,12503.794531,62.207933
73,-97.905353,30.221875,48453031100,1157.748284,824.000000,333.748284,24774.145639,30.065711
74,-97.884729,30.210384,48453034800,2428.391463,1740.000000,688.391463,48524.444859,27.887612
75,-97.883969,30.222138,48453034700,1062.448980,685.000000,377.448980,17462.429200,25.492597
76,-97.928999,30.22221,48453031100,341.423341,243.000000,98.423341,12082.087836,49.720526
77,-97.858915,30.230631,48453032000,201.417112,162.000000,39.417112,3337.182879,20.599894
78,-97.850001,30.229226,48453032000,1445.975936,1163.000000,282.975936,26560.978332,22.838330
79,-97.839501,30.232836,48453032000,1871.189840,1505.000000,366.189840,33590.566861,22.319314
80,-97.835974,30.224841,48453032000,621.657754,500.000000,121.657754,11109.678819,22.219358
81,-97.862221,30.225853,48453031200,554.846939,435.000000,119.846939,10051.908289,23.107835
82,-97.865677,30.217987,48453031200,1201.530612,942.000000,259.530612,22960.867799,24.374594
83,-97.849136,30.220626,48453031200,589.285714,462.000000,127.285714,10554.496718,22.845231
84,-97.858294,30.214768,48453031200,570.153061,447.000000,123.153061,11414.684630,25.536207
85,-97.836175,30.214574,48453033400,282.864198,256.000000,26.864198,5258.460403,20.540861
86,-97.845563,30.206238,48453033500,3525.411447,2940.000000,585.411447,77078.202790,26.217076
87,-97.773059,30.39592,48453032600,316.508781,224.000000,92.508781,5775.963170,25.785550
88,-97.872225,30.20472,48453034800,919.718376,659.000000,260.718376,16719.295804,25.370707
89,-97.858353,30.188692,48453031300,2408.519933,1875.000000,533.519933,49860.662016,26.592353
90,-97.937337,30.194893,48453031100,74.466819,53.000000,21.466819,2363.511017,44.594547
91,-97.920445,30.209985,48453031100,189.679634,135.000000,54.679634,4015.951373,29.747788
92,-97.895714,30.191616,48453036700,698.523615,493.000000,205.523615,14803.630673,30.027648
93,-97.914187,30.179056,48453033300,20.211066,14.000000,6.211066,419.737170,29.981226
94,-97.890011,30.183883,48453036800,2156.911141,1500.000000,656.911141,48786.924040,32.524616
95,-97.809077,30.342242,48453001912,715.390189,516.000000,199.390189,14999.177640,29.068174
96,-97.868659,30.166515,48453033300,1384.457992,959.000000,425.457992,40098.783005,41.813121
97,-97.866404,30.152804,48453033300,421.545082,292.000000,129.545082,10713.759734,36.690958
98,-97.829257,30.204417,48453031000,2168.663643,1823.000000,345.663643,46951.197658,25.754908
99,-97.841393,30.188004,48453031700,1431.567729,1138.000000,293.567729,28505.068683,25.048391
100,-97.842194,30.17107,48453031900,1620.010231,1298.000000,322.010231,33353.504028,25.696074
101,-97.854535,30.164297,48453037100,3420.459708,2236.000000,1184.459708,89073.622777,39.836146
102,-97.842915,30.133666,48453033200,927.871664,781.000000,146.871664,29508.478095,37.782943
103,-97.832171,30.599148,48491020340,511.286269,443.000000,68.286269,14545.239810,32.833498
104,-97.799189,30.579994,48491020339,107.821698,81.000000,26.821698,1994.233575,24.620168
105,-97.756155,30.589421,48491020604,404.996740,327.000000,77.996740,8898.715476,27.213197
106,-97.692748,30.614041,48491020604,1174.118989,948.000000,226.118989,25879.639582,27.299198
107,-97.663039,30.627603,48491021405,918.885839,786.000000,132.885839,20946.257326,26.649182
108,-97.671384,30.575265,48491021510,98.012125,83.000000,15.012125,1860.808437,22.419379
