Origin,Origin_x,Origin_y,Origin_geoid,P_r_aug,Total_Demand,Demand_Not_Traveling,Total_Travel_Time,Average_Travel_Time
1,-97.861763,30.550045,48491020338,824.907098,705.000000,119.907098,20482.085434,29.052603
2,-97.873341,30.595955,48491020342,373.122118,303.000000,70.122118,10792.215512,35.617873
3,-97.842574,30.537706,48491020325,959.882146,899.000000,60.882146,24839.331175,27.629957
4,-97.967226,30.531993,48453036300,2495.444620,2289.000000,206.444620,203226.211702,88.783841
5,-97.901257,30.49655,48453037500,553.806735,445.000000,108.806735,24436.482325,54.913443
6,-97.882086,30.460701,48453035600,2907.036338,2061.000000,846.036338,108972.008014,52.873366
7,-97.827879,30.498174,48491020336,1999.118701,1787.000000,212.118701,52779.248100,29.535114
8,-98.083907,30.434403,48453035200,461.778199,318.000000,143.778199,60638.423134,190.686865
9,-98.053644,30.488843,48453036400,340.228261,277.000000,63.228261,23467.889408,84.721622
10,-97.968645,30.405429,48453037600,2456.675802,1825.000000,631.675802,1604734.711803,879.306691
11,-98.056627,30.367501,48453035300,958.111658,703.000000,255.111658,105672.190624,150.316061
12,-97.941993,30.421566,48453031400,1900.855891,1215.000000,685.855891,83488.803372,68.715065
13,-97.888347,30.416288,48453035800,558.323509,423.000000,135.323509,36127.944959,85.408853
14,-97.839977,30.449261,48453035800,925.259526,701.000000,224.259526,29003.970125,41.375136
15,-97.83899,30.398674,48453034600,635.724858,532.000000,103.724858,27859.890671,52.368216
16,-98.076591,30.33372,48453036500,2867.945826,1750.000000,1117.945826,275838.629954,157.622074
17,-97.972406,30.320471,48453037000,908.793155,649.000000,259.793155,54669.032114,84.235797
18,-98.009337,30.349621,48453035400,1649.915410,1063.000000,586.915410,139769.126266,131.485537
19,-97.984566,30.367501,48453033100,7746.198950,5228.000000,2518.198950,559899.415453,107.096292
20,-97.926677,30.382464,48453031500,1403.302125,1078.000000,325.302125,99276.097215,92.092855
21,-97.937276,30.351176,48453031500,597.509903,459.000000,138.509903,39615.227265,86.307685
22,-97.86814,30.373525,48453035000,353.643761,248.000000,105.643761,13529.646539,54.555026
23,-97.834683,30.374974,48453032900,800.287488,590.000000,210.287488,27298.775255,46.269111
24,-97.845706,30.351794,48453032900,896.593271,661.000000,235.593271,29128.277986,44.066986
25,-97.974997,30.221922,48453036600,198.142707,138.000000,60.142707,10887.018402,78.891438
26,-97.964299,30.292875,48453036600,1109.886324,773.000000,336.886324,71267.086043,92.195454
27,-97.939978,30.32358,48453034000,490.700541,371.000000,119.700541,26837.176425,72.337403
28,-97.905759,30.343668,48453035100,371.004944,251.000000,120.004944,21002.890105,83.676853
29,-97.89921,30.321831,48453034000,935.108578,707.000000,228.108578,143349.571739,202.757527
30,-97.705243,30.653697,48491020121,633.434482,516.000000,117.434482,15949.497137,30.909878
31,-97.869942,30.344763,48453033900,1554.418604,1200.000000,354.418604,227226.331717,189.355276
32,-97.858595,30.332143,48453033900,664.513953,513.000000,151.513953,101991.471905,198.813785
33,-97.841425,30.318718,48453001912,847.099623,611.000000,236.099623,20967.632817,34.316911
34,-97.832125,30.30131,48453001912,341.058113,246.000000,95.058113,8883.868169,36.113285
35,-97.919182,30.304379,48453001916,202.743902,150.000000,52.743902,7618.004379,50.786696
36,-97.888816,30.298805,48453001916,800.162602,592.000000,208.162602,36605.950325,61.834376
37,-97.921387,30.352597,48453031500,1377.266835,1058.000000,319.266835,193560.503684,182.949436
38,-97.871556,30.308173,48453001916,433.871951,321.000000,112.871951,20476.768177,63.790555
39,-97.779089,30.351189,48453030700,1507.283050,1040.000000,467.283050,30030.889190,28.875855
40,-97.744053,30.384802,48453030100,327.362370,235.000000,92.362370,5770.337142,24.554626
41,-97.833651,30.288711,48453001917,918.255061,638.000000,280.255061,31114.319798,48.768526
42,-97.902792,30.286234,48453001921,199.303443,155.000000,44.303443,4030.331669,26.002140
43,-98.013199,30.272366,48453036600,231.166492,161.000000,70.166492,16654.666731,103.445135
44,-97.879621,30.286428,48453001921,207.018415,161.000000,46.018415,6011.661944,37.339515
45,-97.899068,30.267169,48453001920,107.241474,89.000000,18.241474,2736.793858,30.750493
46,-97.86426,30.287223,48453001921,694.347478,540.000000,154.347478,23140.522942,42.852820
47,-97.665825,30.513457,48491020701,537.148515,468.000000,69.148515,12598.638536,26.920168
48,-97.703502,30.308846,48453002105,727.552279,621.000000,106.552279,3856.350746,6.209905
49,-97.843688,30.286457,48453001917,889.469635,618.000000,271.469635,29223.121562,47.286604
50,-97.836009,30.279555,48453001917,1197.473684,832.000000,365.473684,37590.994069,45.181483
51,-97.932402,30.205053,48453031100,181.249428,129.000000,52.249428,3823.584145,29.640187
52,-97.873192,30.273341,48453001921,299.598078,233.000000,66.598078,6969.340093,29.911331
53,-97.909655,30.196482,48453036700,349.970249,247.000000,102.970249,8880.374659,35.952934
54,-97.901713,30.172804,48453033300,83.731557,58.000000,25.731557,1854.954021,31.981966
55,-97.851746,30.260857,48453001914,291.144279,220.000000,71.144279,6315.338060,28.706082
56,-97.829376,30.259205,48453001914,247.472637,187.000000,60.472637,5406.637084,28.912498
57,-97.825581,30.247459,48453001914,2491.930347,1883.000000,608.930347,56185.659841,29.838375
58,-97.819398,30.235346,48453001915,23.215465,17.000000,6.215465,471.409655,27.729980
59,-97.895281,30.25396,48453001920,66.272821,55.000000,11.272821,1502.032742,27.309686
60,-97.879541,30.24144,48453001920,196.408543,163.000000,33.408543,4663.253429,28.608917
61,-97.872037,30.246756,48453001920,774.789528,643.000000,131.789528,18817.278156,29.264818
62,-97.858211,30.245081,48453001915,647.301802,474.000000,173.301802,13593.427986,28.678118
63,-97.852166,30.240247,48453001915,662.323574,485.000000,177.323574,13977.082420,28.818727
64,-97.928478,30.267416,48453036600,419.258482,292.000000,127.258482,10783.518699,36.929859
65,-97.93101,30.237106,48453036600,643.245890,448.000000,195.245890,23143.933691,51.660566
66,-97.915824,30.244016,48453033000,396.320475,318.000000,78.320475,14658.476179,46.095837
67,-97.909155,30.249879,48453033000,324.035608,260.000000,64.035608,8481.572894,32.621434
68,-97.892018,30.238308,48453033000,2790.445105,2239.000000,551.445105,83949.807669,37.494331
69,-97.985156,30.244942,48453036600,272.805177,190.000000,82.805177,12246.242650,64.453909
70,-97.943499,30.250014,48453036600,89.020637,62.000000,27.020637,3611.792722,58.254721
71,-97.954558,30.209143,48453031100,206.540046,147.000000,59.540046,11696.953282,79.571111
72,-97.947086,30.21593,48453031100,282.411899,201.000000,81.411899,13260.691732,65.973591
73,-97.905353,30.221875,48453031100,1157.748284,824.000000,333.748284,28194.571523,34.216713
74,-97.884729,30.210384,48453034800,2428.391463,1740.000000,688.391463,58175.251491,33.434053
75,-97.883969,30.222138,48453034700,1062.448980,685.000000,377.448980,20342.591291,29.697214
76,-97.928999,30.22221,48453031100,341.423341,243.000000,98.423341,12803.463575,52.689151
77,-97.858915,30.230631,48453032000,201.417112,162.000000,39.417112,3960.105026,24.445093
78,-97.850001,30.229226,48453032000,1445.975936,1163.000000,282.975936,32094.594690,27.596384
79,-97.839501,30.232836,48453032000,1871.189840,1505.000000,366.189840,41962.982661,27.882381
80,-97.835974,30.224841,48453032000,621.657754,500.000000,121.657754,14244.336413,28.488673
81,-97.862221,30.225853,48453031200,554.846939,435.000000,119.846939,12118.423610,27.858445
82,-97.865677,30.217987,48453031200,1201.530612,942.000000,259.530612,27598.274872,29.297532
83,-97.849136,30.220626,48453031200,589.285714,462.000000,127.285714,12810.572905,27.728513
84,-97.858294,30.214768,48453031200,570.153061,447.000000,123.153061,13703.676121,30.656994
85,-97.836175,30.214574,48453033400,282.864198,256.000000,26.864198,6562.518937,25.634840
86,-97.845563,30.206238,48453033500,3525.411447,2940.000000,585.411447,93661.548174,31.857669
87,-97.773059,30.39592,48453032600,316.508781,224.000000,92.508781,6905.166753,30.826637
88,-97.872225,30.20472,48453034800,919.718376,659.000000,260.718376,19728.650999,29.937255
89,-97.858353,30.188692,48453031300,2408.519933,1875.000000,533.519933,60266.514814,32.142141
90,-97.937337,30.194893,48453031100,74.466819,53.000000,21.466819,2547.830494,48.072273
91,-97.920445,30.209985,48453031100,189.679634,135.000000,54.679634,4517.401266,33.462232
92,-97.895714,30.191616,48453036700,698.523615,493.000000,205.523615,16957.512509,34.396577
93,-97.914187,30.179056,48453033300,20.211066,14.000000,6.211066,532.785688,38.056121
94,-97.890011,30.183883,48453036800,2156.911141,1500.000000,656.911141,56699.237814,37.799492
95,-97.809077,30.342242,48453001912,715.390189,516.000000,199.390189,17976.980245,34.839109
96,-97.868659,30.166515,48453033300,1384.457992,959.000000,425.457992,46830.375342,48.832508
97,-97.866404,30.152804,48453033300,421.545082,292.000000,129.545082,12499.824267,42.807617
98,-97.829257,30.204417,48453031000,2168.663643,1823.000000,345.663643,57839.977430,31.727909
99,-97.841393,30.188004,48453031700,1431.567729,1138.000000,293.567729,34196.922899,30.050020
100,-97.842194,30.17107,48453031900,1620.010231,1298.000000,322.010231,41763.680791,32.175409
101,-97.854535,30.164297,48453037100,3420.459708,2236.000000,1184.459708,103222.905675,46.164090
102,-97.842915,30.133666,48453033200,927.871664,781.000000,146.871664,34715.352485,44.449875
103,-97.832171,30.599148,48491020340,511.286269,443.000000,68.286269,20344.207524,45.923719
104,-97.799189,30.579994,48491020339,107.821698,81.000000,26.821698,2404.532023,29.685581
105,-97.756155,30.589421,48491020604,404.996740,327.000000,77.996740,10308.511735,31.524501
106,-97.692748,30.614041,48491020604,1174.118989,948.000000,226.118989,29725.174757,31.355670
107,-97.663039,30.627603,48491021405,918.885839,786.000000,132.885839,23703.741995,30.157433
108,-97.671384,30.575265,48491021510,98.012125,83.000000,15.012125,2493.505896,30.042240
109,-97.644672,30.569989,48491021516,90.533708,55.000000,35.533708,1495.568254,27.192150
110,-97.803089,30.522036,48491020350,762.199061,641.000000,121.199061,9628.230178,15.020640
111,-97.768768,30.518674,48491020345,1180.127749,707.000000,473.127749,20035.775124,28.339144
112,-97.737027,30.527329,48491020310,1714.180145,1351.000000,363.180145,39030.544925,28.890115
113,-97.739952,30.542739,48491020606,657.910448,464.000000,193.910448,12812.672141,27.613518
114,-97.693987,30.540723,48491020607,23.911634,17.000000,6.911634,494.442162,29.084833
115,-97.683218,30.544608,48491021513,733.251694,693.000000,40.251694,18038.645087,26.029791
116,-97.664092,30.550837,48491021515,4378.240739,3325.000000,1053.240739,106254.687080,31.956297
117,-97.811989,30.480535,48491020356,727.565291,657.000000,70.565291,19100.615297,29.072474
118,-97.806242,30.471692,48491020334,1813.473570,1541.000000,272.473570,43614.634332,28.302813
119,-97.793977,30.500992,48491020311,180.974047,128.000000,52.974047,3781.307175,29.541462
120,-97.758083,30.483751,48491020508,1883.746994,1538.000000,345.746994,47379.394568,30.805848
121,-97.733466,30.506262,48491020515,5249.700914,4826.000000,423.700914,144396.594168,29.920554
122,-97.710151,30.516396,48491020505,2198.204651,1735.000000,463.204651,46754.903536,26.948071
123,-97.699474,30.526432,48491020602,2308.364605,2045.000000,263.364605,57420.641899,28.078553
124,-97.693185,30.529538,48491020602,22.575693,20.000000,2.575693,515.690120,25.784506
125,-97.677935,30.530948,48491021502,2131.627605,1911.000000,220.627605,59452.346320,31.110595
126,-97.657977,30.537547,48491021518,846.573484,696.000000,150.573484,20656.501608,29.678882
127,-97.628339,30.537873,48491021511,1689.127962,1528.000000,161.127962,49861.922384,32.632148
128,-97.687699,30.525447,48491021503,476.928000,432.000000,44.928000,9920.578670,22.964302
129,-97.674702,30.522907,48491021503,1367.856001,1239.000000,128.856001,34300.618941,27.684115
130,-97.660354,30.527937,48491021517,2305.745819,2253.000000,52.745819,75349.172806,33.443929
131,-97.684306,30.514658,48491021503,145.728000,132.000000,13.728000,2346.375073,17.775569
132,-97.675414,30.517125,48491021503,249.504000,226.000000,23.504000,5513.107567,24.394281
133,-97.609093,30.468471,48453046100,413.687861,336.000000,77.687861,9382.227842,27.923297
134,-97.649805,30.51606,48491021511,310.631517,281.000000,29.631517,7338.226289,26.114684
135,-97.690696,30.520364,48491020602,310.415778,275.000000,35.415778,6170.817073,22.439335
136,-97.681971,30.510451,48491020701,200.856816,175.000000,25.856816,2894.127361,16.537871
137,-97.675429,30.512392,48491020701,407.452399,355.000000,52.452399,8422.382047,23.725020
