Origin,Origin_x,Origin_y,Origin_geoid,P_r_aug,Total_Demand,Demand_Not_Traveling,Total_Travel_Time,Average_Travel_Time
1,-97.861763,30.550045,48491020338,824.907098,705.000000,119.907098,19221.516350,27.264562
2,-97.873341,30.595955,48491020342,373.122118,303.000000,70.122118,8159.210082,26.928086
3,-97.842574,30.537706,48491020325,959.882146,899.000000,60.882146,22821.003239,25.384876
4,-97.967226,30.531993,48453036300,2495.444620,2289.000000,206.444620,198389.659916,86.670887
5,-97.901257,30.49655,48453037500,553.806735,445.000000,108.806735,23082.539065,51.870874
6,-97.882086,30.460701,48453035600,2907.036338,2061.000000,846.036338,86109.278505,41.780339
7,-97.827879,30.498174,48491020336,1999.118701,1787.000000,212.118701,49807.506128,27.872135
8,-98.083907,30.434403,48453035200,461.778199,318.000000,143.778199,57330.968942,180.286066
9,-98.053644,30.488843,48453036400,340.228261,277.000000,63.228261,37641.118356,135.888514
10,-97.968645,30.405429,48453037600,2456.675802,1825.000000,631.675802,1624239.397354,889.994190
11,-98.056627,30.367501,48453035300,958.111658,703.000000,255.111658,103299.658749,146.941193
12,-97.941993,30.421566,48453031400,1900.855891,1215.000000,685.855891,76405.055462,62.884819
13,-97.888347,30.416288,48453035800,558.323509,423.000000,135.323509,34143.764762,80.718120
14,-97.839977,30.449261,48453035800,925.259526,701.000000,224.259526,21790.032513,31.084212
15,-97.83899,30.398674,48453034600,635.724858,532.000000,103.724858,25068.628941,47.121483
16,-98.076591,30.33372,48453036500,2867.945826,1750.000000,1117.945826,264498.260029,151.141863
17,-97.972406,30.320471,48453037000,908.793155,649.000000,259.793155,49001.564127,75.503180
18,-98.009337,30.349621,48453035400,1649.915410,1063.000000,586.915410,130079.144351,122.369844
19,-97.984566,30.367501,48453033100,7746.198950,5228.000000,2518.198950,520890.518270,99.634759
20,-97.926677,30.382464,48453031500,1403.302125,1078.000000,325.302125,94919.047470,88.051064
21,-97.937276,30.351176,48453031500,597.509903,459.000000,138.509903,36938.245752,80.475481
22,-97.86814,30.373525,48453035000,353.643761,248.000000,105.643761,12342.522135,49.768234
23,-97.834683,30.374974,48453032900,800.287488,590.000000,210.287488,22351.019746,37.883084
24,-97.845706,30.351794,48453032900,896.593271,661.000000,235.593271,22611.283494,34.207691
25,-97.974997,30.221922,48453036600,198.142707,138.000000,60.142707,9983.653952,72.345318
26,-97.964299,30.292875,48453036600,1109.886324,773.000000,336.886324,65526.091988,84.768554
27,-97.939978,30.32358,48453034000,490.700541,371.000000,119.700541,25626.169264,69.073233
28,-97.905759,30.343668,48453035100,371.004944,251.000000,120.004944,19556.532042,77.914470
29,-97.89921,30.321831,48453034000,935.108578,707.000000,228.108578,137309.679780,194.214540
30,-97.705243,30.653697,48491020121,633.434482,516.000000,117.434482,13598.653638,26.353980
31,-97.869942,30.344763,48453033900,1554.418604,1200.000000,354.418604,218234.126819,181.861772
32,-97.858595,30.332143,48453033900,664.513953,513.000000,151.513953,98117.417048,191.262022
33,-97.841425,30.318718,48453001912,847.099623,611.000000,236.099623,19104.657969,31.267853
34,-97.832125,30.30131,48453001912,341.058113,246.000000,95.058113,7981.765507,32.446201
35,-97.919182,30.304379,48453001916,202.743902,150.000000,52.743902,7819.415929,52.129440
36,-97.888816,30.298805,48453001916,800.162602,592.000000,208.162602,31908.104600,53.898825
37,-97.921387,30.352597,48453031500,1377.266835,1058.000000,319.266835,185846.380934,175.658205
38,-97.871556,30.308173,48453001916,433.871951,321.000000,112.871951,17176.223880,53.508486
39,-97.779089,30.351189,48453030700,1507.283050,1040.000000,467.283050,25681.239104,24.693499
40,-97.744053,30.384802,48453030100,327.362370,235.000000,92.362370,4055.720060,17.258383
41,-97.833651,30.288711,48453001917,918.255061,638.000000,280.255061,23915.816332,37.485606
42,-97.902792,30.286234,48453001921,199.303443,155.000000,44.303443,3483.806744,22.476173
43,-98.013199,30.272366,48453036600,231.166492,161.000000,70.166492,15886.836089,98.676001
44,-97.879621,30.286428,48453001921,207.018415,161.000000,46.018415,4805.972361,29.850760
45,-97.899068,30.267169,48453001920,107.241474,89.000000,18.241474,2091.806064,23.503439
46,-97.86426,30.287223,48453001921,694.347478,540.000000,154.347478,18609.190898,34.461465
47,-97.665825,30.513457,48491020701,537.148515,468.000000,69.148515,9609.751097,20.533656
48,-97.703502,30.308846,48453002105,727.552279,621.000000,106.552279,11522.731672,18.555123
49,-97.843688,30.286457,48453001917,889.469635,618.000000,271.469635,22774.837803,36.852488
50,-97.836009,30.279555,48453001917,1197.473684,832.000000,365.473684,30398.428332,36.536573
51,-97.932402,30.205053,48453031100,181.249428,129.000000,52.249428,3494.874480,27.092050
52,-97.873192,30.273341,48453001921,299.598078,233.000000,66.598078,5416.929680,23.248625
53,-97.909655,30.196482,48453036700,349.970249,247.000000,102.970249,6919.022235,28.012236
54,-97.901713,30.172804,48453033300,83.731557,58.000000,25.731557,1349.335864,23.264411
55,-97.851746,30.260857,48453001914,291.144279,220.000000,71.144279,4761.715559,21.644162
56,-97.829376,30.259205,48453001914,247.472637,187.000000,60.472637,3989.388062,21.333626
57,-97.825581,30.247459,48453001914,2491.930347,1883.000000,608.930347,41029.574161,21.789471
58,-97.819398,30.235346,48453001915,23.215465,17.000000,6.215465,242.951498,14.291265
59,-97.895281,30.25396,48453001920,66.272821,55.000000,11.272821,1077.523934,19.591344
60,-97.879541,30.24144,48453001920,196.408543,163.000000,33.408543,3395.363548,20.830451
61,-97.872037,30.246756,48453001920,774.789528,643.000000,131.789528,13768.090234,21.412271
62,-97.858211,30.245081,48453001915,647.301802,474.000000,173.301802,9436.640127,19.908523
63,-97.852166,30.240247,48453001915,662.323574,485.000000,177.323574,10129.635345,20.885846
64,-97.928478,30.267416,48453036600,419.258482,292.000000,127.258482,8302.753681,28.434088
65,-97.93101,30.237106,48453036600,643.245890,448.000000,195.245890,19497.283726,43.520723
66,-97.915824,30.244016,48453033000,396.320475,318.000000,78.320475,12871.177143,40.475400
67,-97.909155,30.249879,48453033000,324.035608,260.000000,64.035608,7125.208405,27.404648
68,-97.892018,30.238308,48453033000,2790.445105,2239.000000,551.445105,65080.075071,29.066581
69,-97.985156,30.244942,48453036600,272.805177,190.000000,82.805177,11315.102644,59.553172
70,-97.943499,30.250014,48453036600,89.020637,62.000000,27.020637,3019.501696,48.701640
71,-97.954558,30.209143,48453031100,206.540046,147.000000,59.540046,10887.524498,74.064793
72,-97.947086,30.21593,48453031100,282.411899,201.000000,81.411899,11766.801697,58.541302
73,-97.905353,30.221875,48453031100,1157.748284,824.000000,333.748284,22391.654752,27.174338
74,-97.884729,30.210384,48453034800,2428.391463,1740.000000,688.391463,40435.472466,23.238777
75,-97.883969,30.222138,48453034700,1062.448980,685.000000,377.448980,14688.657364,21.443295
76,-97.928999,30.22221,48453031100,341.423341,243.000000,98.423341,11580.448583,47.656167
77,-97.858915,30.230631,48453032000,201.417112,162.000000,39.417112,2668.372658,16.471436
78,-97.850001,30.229226,48453032000,1445.975936,1163.000000,282.975936,21786.472142,18.732994
79,-97.839501,30.232836,48453032000,1871.189840,1505.000000,366.189840,27451.312235,18.240075
80,-97.835974,30.224841,48453032000,621.657754,500.000000,121.657754,8777.399534,17.554799
81,-97.862221,30.225853,48453031200,554.846939,435.000000,119.846939,8207.988757,18.868940
82,-97.865677,30.217987,48453031200,1201.530612,942.000000,259.530612,19151.581665,20.330766
83,-97.849136,30.220626,48453031200,589.285714,462.000000,127.285714,8623.221119,18.664981
84,-97.858294,30.214768,48453031200,570.153061,447.000000,123.153061,9588.975639,21.451847
